org.apache.tools.ant.types.RedirectorElement	public void configure(org.apache.tools.ant.taskdefs.Redirector, java.lang.String) 	redirector	B3	0/46
org.apache.tools.ant.taskdefs.Tar	protected void tar(org.apache.tools.ant.types.ResourceCollection, org.apache.tools.tar.TarOutputStream) throws java.io.IOException	tOut	B3	0/22
org.apache.tools.ant.taskdefs.Tar	protected void tar(org.apache.tools.ant.types.ResourceCollection, org.apache.tools.tar.TarOutputStream) throws java.io.IOException	tOut	B5	0/20
org.apache.tools.ant.helper.ProjectHelper2.ElementHandler	public void onStartElement(java.lang.String, java.lang.String, java.lang.String, org.xml.sax.Attributes, org.apache.tools.ant.helper.AntXMLContext) throws org.xml.sax.SAXParseException	parentWrapper	B7	0/18
org.apache.tools.ant.helper.ProjectHelper2.ElementHandler	public void onStartElement(java.lang.String, java.lang.String, java.lang.String, org.xml.sax.Attributes, org.apache.tools.ant.helper.AntXMLContext) throws org.xml.sax.SAXParseException	parentWrapper	B16	0/2
org.apache.tools.ant.helper.ProjectHelper2.ElementHandler	public void onStartElement(java.lang.String, java.lang.String, java.lang.String, org.xml.sax.Attributes, org.apache.tools.ant.helper.AntXMLContext) throws org.xml.sax.SAXParseException	wrapper	B6	0/17
org.apache.tools.ant.taskdefs.email.EmailTask	public void execute() 	mailer	B31	0/17
org.apache.tools.ant.taskdefs.Ant	private void initializeProject() 	newProject	B1	0/16
org.apache.tools.ant.taskdefs.ExecTask	protected java.lang.String resolveExecutable(java.lang.String, boolean) 	p	B9	0/15
org.apache.tools.ant.types.XMLCatalogTest	public void testCircularReferenceCheck() 	project	B1	0/15
org.apache.tools.bzip2.CBZip2OutputStream	private void randomiseBlock() 	inUse	B1	0/15
org.apache.tools.bzip2.CBZip2OutputStream	private void randomiseBlock() 	inUse	B2	0/12
org.apache.tools.ant.taskdefs.optional.ssh.ScpFromMessageBySftp	private void getDir(com.jcraft.jsch.ChannelSftp, java.lang.String, java.io.File) throws java.io.IOException, com.jcraft.jsch.SftpException	channel	B1	0/15
org.apache.tools.ant.taskdefs.optional.ssh.ScpFromMessageBySftp	private void getDir(com.jcraft.jsch.ChannelSftp, java.lang.String, java.io.File) throws java.io.IOException, com.jcraft.jsch.SftpException	channel	B4	0/11
org.apache.tools.ant.XmlLogger	public void messageLogged(org.apache.tools.ant.BuildEvent) 	name	B3	0/14
org.apache.tools.ant.helper.ProjectHelperImpl2.TargetHandler	public void onStartElement(java.lang.String, java.lang.String, java.lang.String, org.xml.sax.Attributes, org.apache.tools.ant.helper.ProjectHelperImpl2.AntXmlContext) throws org.xml.sax.SAXParseException	project	B20	0/14
org.apache.tools.ant.types.MapperTest	public void testEmptyElementIfIsReference() 	m	B1	0/14
org.apache.tools.ant.taskdefs.optional.jsp.WLJspc	public void execute() throws org.apache.tools.ant.BuildException	j	B7	0/14
org.apache.tools.ant.taskdefs.optional.jsp.WLJspc	public void execute() throws org.apache.tools.ant.BuildException	j	B9	0/12
org.apache.tools.ant.taskdefs.cvslib.CvsVersion	public boolean supportsCvsLogWithSOption() 	version	B3	0/14
org.apache.tools.ant.taskdefs.cvslib.CvsVersion	public boolean supportsCvsLogWithSOption() 	version	B4	0/11
org.apache.tools.ant.taskdefs.cvslib.CvsVersion	public boolean supportsCvsLogWithSOption() 	version	B5	0/7
org.apache.tools.ant.taskdefs.cvslib.CvsVersion	public boolean supportsCvsLogWithSOption() 	version	B6	0/5
org.apache.tools.ant.taskdefs.cvslib.CvsVersion	public boolean supportsCvsLogWithSOption() 	version	B9	0/2
org.apache.tools.ant.taskdefs.JavacTest	public void testForkedExecutableName() 	javac	B1	0/13
org.apache.tools.ant.taskdefs.optional.javacc.JJTree	private java.lang.String createOutputFileName(java.io.File, java.lang.String, java.lang.String) 	optionalOutputFile	B1	0/13
org.apache.tools.bzip2.CBZip2OutputStream	private void sendMTFValues2(int, int) 	pos	B2	0/13
org.apache.tools.tar.TarUtils	public static int getOctalBytes(long, byte[], int, int) 	buf	B1	0/13
org.apache.tools.ant.helper.ProjectHelperImpl.TaskHandler	public void init(java.lang.String, org.xml.sax.AttributeList) throws org.xml.sax.SAXParseException	parentWrapper	B1	0/13
org.apache.tools.ant.helper.ProjectHelperImpl.TaskHandler	public void init(java.lang.String, org.xml.sax.AttributeList) throws org.xml.sax.SAXParseException	parentWrapper	B3	0/6
org.apache.tools.ant.taskdefs.Definer	protected void addDefinition(java.lang.ClassLoader, java.lang.String, java.lang.String) throws org.apache.tools.ant.BuildException	def	B3	0/13
org.apache.tools.ant.taskdefs.Definer	protected void addDefinition(java.lang.ClassLoader, java.lang.String, java.lang.String) throws org.apache.tools.ant.BuildException	def	B5	0/11
org.apache.tools.ant.taskdefs.Definer	protected void addDefinition(java.lang.ClassLoader, java.lang.String, java.lang.String) throws org.apache.tools.ant.BuildException	def	B7	0/9
org.apache.tools.ant.taskdefs.optional.net.FTP	protected int transferFiles(org.apache.commons.net.ftp.FTPClient, org.apache.tools.ant.types.FileSet) throws java.io.IOException, org.apache.tools.ant.BuildException	ftp	B17	0/12
org.apache.tools.ant.taskdefs.optional.sos.SOSTest	public void testLabelFlags() 	sosLabel	B1	0/12
org.apache.tools.ant.taskdefs.optional.vss.MSVSSTest	public void testCheckoutCommandLine() 	vssCheckout	B1	0/12
org.apache.tools.ant.taskdefs.XmlPropertyTest	private static java.io.File getGoldfile(java.io.File, boolean, boolean, boolean, boolean, boolean) 	goldFileFolder	B3	0/11
org.apache.tools.tar.TarEntry	public void writeEntryHeader(byte[]) 	outbuf	B2	0/11
org.apache.tools.tar.TarOutputStream	public void putNextEntry(org.apache.tools.tar.TarEntry) throws java.io.IOException	buffer	B1	0/11
org.apache.tools.ant.PropertyHelper	public java.lang.String replaceProperties(java.lang.String, java.lang.String, Hashtable#RAW) throws org.apache.tools.ant.BuildException	fragment	B5	0/11
org.apache.tools.ant.PropertyHelper	public java.lang.String replaceProperties(java.lang.String, java.lang.String, Hashtable#RAW) throws org.apache.tools.ant.BuildException	fragment	B6	0/9
org.apache.tools.ant.PropertyHelper	public java.lang.String replaceProperties(java.lang.String, java.lang.String, Hashtable#RAW) throws org.apache.tools.ant.BuildException	fragment	B8	0/5
org.apache.tools.ant.helper.ProjectHelperImpl.TaskHandler	public void init(java.lang.String, org.xml.sax.AttributeList) throws org.xml.sax.SAXParseException	container	B1	0/11
org.apache.tools.ant.helper.ProjectHelperImpl.TaskHandler	public void init(java.lang.String, org.xml.sax.AttributeList) throws org.xml.sax.SAXParseException	container	B3	0/4
org.apache.tools.ant.helper.ProjectHelperImpl.TaskHandler	public void init(java.lang.String, org.xml.sax.AttributeList) throws org.xml.sax.SAXParseException	wrapper	B1	0/11
org.apache.tools.ant.helper.ProjectHelperImpl.TaskHandler	public void init(java.lang.String, org.xml.sax.AttributeList) throws org.xml.sax.SAXParseException	wrapper	B3	0/4
org.apache.tools.ant.helper.ProjectHelperImpl.TaskHandler	public void init(java.lang.String, org.xml.sax.AttributeList) throws org.xml.sax.SAXParseException	task	B1	0/10
org.apache.tools.ant.taskdefs.optional.extension.resolvers.AntResolver	public java.io.File resolve(org.apache.tools.ant.taskdefs.optional.extension.Extension, org.apache.tools.ant.Project) throws org.apache.tools.ant.BuildException	ant	B1	0/10
org.apache.tools.ant.taskdefs.optional.ssh.ScpFromMessageBySftp	private void getFile(com.jcraft.jsch.ChannelSftp, com.jcraft.jsch.ChannelSftp.LsEntry, java.io.File) throws java.io.IOException, com.jcraft.jsch.SftpException	channel	B5	0/10
org.apache.tools.ant.taskdefs.optional.ssh.ScpFromMessageBySftp	private void getFile(com.jcraft.jsch.ChannelSftp, com.jcraft.jsch.ChannelSftp.LsEntry, java.io.File) throws java.io.IOException, com.jcraft.jsch.SftpException	channel	B7	0/8
org.apache.tools.ant.taskdefs.Input	public void execute() throws org.apache.tools.ant.BuildException	value	B3	0/10
org.apache.tools.ant.taskdefs.Input	public void execute() throws org.apache.tools.ant.BuildException	value	B6	0/5
org.apache.tools.ant.helper.ProjectHelperImpl.TaskHandler	public void init(java.lang.String, org.xml.sax.AttributeList) throws org.xml.sax.SAXParseException	helperImpl	B1	0/10
org.apache.tools.ant.helper.ProjectHelperImpl.TaskHandler	public void init(java.lang.String, org.xml.sax.AttributeList) throws org.xml.sax.SAXParseException	helperImpl	B3	0/4
org.apache.tools.ant.types.XMLCatalog	private org.xml.sax.InputSource filesystemLookup(org.apache.tools.ant.types.ResourceLocation) 	url	B1	0/10
org.apache.tools.ant.types.XMLCatalog	private org.xml.sax.InputSource filesystemLookup(org.apache.tools.ant.types.ResourceLocation) 	url	B4	0/3
org.apache.tools.ant.taskdefs.LoadResource	public final void execute() throws org.apache.tools.ant.BuildException	text	B12	0/10
org.apache.tools.ant.taskdefs.LoadResource	public final void execute() throws org.apache.tools.ant.BuildException	text	B13	0/8
org.apache.tools.ant.taskdefs.LoadResource	public final void execute() throws org.apache.tools.ant.BuildException	text	B15	0/5
org.apache.tools.ant.AntClassLoaderTest	public void testCleanup() throws org.apache.tools.ant.BuildException	loader	B1	0/9
org.apache.tools.ant.Task	private org.apache.tools.ant.UnknownElement getReplacement() 	wrapper	B2	0/9
org.apache.tools.ant.taskdefs.Jar	protected final void writeIndexLikeList(List#RAW, List#RAW, java.io.PrintWriter) throws java.io.IOException	dir	B3	0/9
org.apache.tools.ant.taskdefs.Recorder	public void execute() throws org.apache.tools.ant.BuildException	recorder	B3	0/9
org.apache.tools.ant.taskdefs.condition.IsReachable	public boolean eval() throws org.apache.tools.ant.BuildException	target	B5	0/9
org.apache.tools.ant.types.resources.Files	private synchronized void ensureDirectoryScannerSetup() 	ds	B2	0/9
org.apache.tools.ant.util.ResourceUtils	public static void copyResource(org.apache.tools.ant.types.Resource, org.apache.tools.ant.types.Resource, org.apache.tools.ant.types.FilterSetCollection, Vector#RAW, boolean, boolean, java.lang.String, java.lang.String, org.apache.tools.ant.Project) throws java.io.IOException	in	B8	0/9
org.apache.tools.ant.util.ResourceUtils	public static void copyResource(org.apache.tools.ant.types.Resource, org.apache.tools.ant.types.Resource, org.apache.tools.ant.types.FilterSetCollection, Vector#RAW, boolean, boolean, java.lang.String, java.lang.String, org.apache.tools.ant.Project) throws java.io.IOException	in	B23	0/9
org.apache.tools.ant.types.XMLCatalog	private org.xml.sax.InputSource urlLookup(org.apache.tools.ant.types.ResourceLocation) 	url	B1	0/9
org.apache.tools.ant.types.XMLCatalog	private org.xml.sax.InputSource urlLookup(org.apache.tools.ant.types.ResourceLocation) 	url	B4	0/3
org.apache.tools.ant.taskdefs.Jar	private void createIndexList(org.apache.tools.zip.ZipOutputStream) throws java.io.IOException	cpEntries	B2	0/9
org.apache.tools.ant.taskdefs.Jar	private void createIndexList(org.apache.tools.zip.ZipOutputStream) throws java.io.IOException	cpEntries	B3	0/5
org.apache.tools.bzip2.CBZip2OutputStream	private void sendMTFValues2(int, int) 	tmp	B5	0/9
org.apache.tools.ant.ComponentHelper	public void checkTaskClass(Class#RAW) throws org.apache.tools.ant.BuildException	project	B1	0/8
org.apache.tools.ant.taskdefs.Zip	protected void zipFile(java.io.InputStream, org.apache.tools.zip.ZipOutputStream, java.lang.String, long, java.io.File, int) throws java.io.IOException	zOut	B18	0/8
org.apache.tools.ant.taskdefs.optional.dotnet.Ildasm	public void execute() throws org.apache.tools.ant.BuildException	command	B3	0/8
org.apache.tools.ant.taskdefs.optional.perforce.SimpleP4OutputHandler	public void process(java.lang.String) throws org.apache.tools.ant.BuildException	line	B3	0/8
org.apache.tools.ant.taskdefs.optional.ssh.ScpFromMessageBySftp	public void execute() throws java.io.IOException, com.jcraft.jsch.JSchException	channel	B1	0/8
org.apache.tools.ant.taskdefs.optional.vss.MSVSSTest	public void testCreateCommandLine() 	vssCreate	B1	0/8
org.apache.tools.ant.taskdefs.optional.vss.MSVSSTest	public void testLabelCommandLine1() 	vssLabel	B1	0/8
org.apache.tools.ant.types.AbstractFileSet	public synchronized void setupDirectoryScanner(org.apache.tools.ant.FileScanner, org.apache.tools.ant.Project) 	ds	B5	0/8
org.apache.tools.ant.Task	private void replaceChildren(org.apache.tools.ant.RuntimeConfigurable, org.apache.tools.ant.UnknownElement) 	parentElement	B2	0/8
org.apache.tools.ant.Task	private void replaceChildren(org.apache.tools.ant.RuntimeConfigurable, org.apache.tools.ant.UnknownElement) 	parentElement	B3	0/7
org.apache.tools.ant.taskdefs.JavaTest.PipeEntryPoint	public static void main(java.lang.String[]) 	os	B1	0/8
org.apache.tools.ant.taskdefs.JavaTest.PipeEntryPoint	public static void main(java.lang.String[]) 	os	B2	0/6
org.apache.tools.tar.TarInputStream	public long skip(long) throws java.io.IOException	skip	B1	0/8
org.apache.tools.tar.TarInputStream	public long skip(long) throws java.io.IOException	skip	B2	0/6
org.apache.tools.ant.taskdefs.Property	protected void loadResource(java.lang.String) 	is	B1	0/8
org.apache.tools.ant.taskdefs.Property	protected void loadResource(java.lang.String) 	is	B4	0/3
org.apache.tools.ant.taskdefs.optional.net.FTP	protected void transferFiles(org.apache.commons.net.ftp.FTPClient) throws java.io.IOException, org.apache.tools.ant.BuildException	ftp	B1	0/8
org.apache.tools.ant.taskdefs.optional.net.FTP	protected void transferFiles(org.apache.commons.net.ftp.FTPClient) throws java.io.IOException, org.apache.tools.ant.BuildException	ftp	B3	0/4
org.apache.tools.ant.taskdefs.optional.net.FTP	protected void transferFiles(org.apache.commons.net.ftp.FTPClient) throws java.io.IOException, org.apache.tools.ant.BuildException	ftp	B4	0/3
org.apache.tools.ant.taskdefs.Expand	protected void expandFile(org.apache.tools.ant.util.FileUtils, java.io.File, java.io.File) 	mapper	B1	0/8
org.apache.tools.ant.taskdefs.Expand	protected void expandFile(org.apache.tools.ant.util.FileUtils, java.io.File, java.io.File) 	mapper	B2	0/3
org.apache.tools.ant.taskdefs.Expand	protected void expandFile(org.apache.tools.ant.util.FileUtils, java.io.File, java.io.File) 	mapper	B3	0/2
org.apache.tools.ant.taskdefs.optional.extension.resolvers.URLResolver	private java.io.File getDest() 	filename	B3	0/8
org.apache.tools.ant.taskdefs.optional.i18n.Translate	private void loadResourceMap(java.io.FileInputStream) throws org.apache.tools.ant.BuildException	sepIndex	B4	0/8
org.apache.tools.ant.XmlLogger	public void messageLogged(org.apache.tools.ant.BuildEvent) 	parentElement	B8	0/7
org.apache.tools.ant.taskdefs.Classloader	public void execute() 	parent	B8	0/7
org.apache.tools.ant.taskdefs.GenerateKey	public void execute() throws org.apache.tools.ant.BuildException	arg	B30	0/7
org.apache.tools.ant.taskdefs.optional.dotnet.DotnetCompile	public void execute() throws org.apache.tools.ant.BuildException	command	B1	0/7
org.apache.tools.ant.taskdefs.optional.vss.MSVSSTest	public void testCheckinCommandLine() 	vssCheckin	B1	0/7
org.apache.tools.ant.taskdefs.optional.vss.MSVSSTest	public void testHistoryCommandLine2() 	vssHistory	B1	0/7
org.apache.tools.ant.types.XMLCatalog.InternalResolver	public javax.xml.transform.Source resolve(java.lang.String, java.lang.String) throws javax.xml.transform.TransformerException	source	B4	0/7
org.apache.tools.ant.types.XMLCatalogTest	public void testEmptyElementIfIsReference() 	catalog2	B1	0/7
org.apache.tools.ant.types.selectors.DependSelectorTest	public void testValidate() 	s	B1	0/7
org.apache.tools.ant.types.selectors.ModifiedSelectorTest	public void _testScenario2() 	ch	B3	0/7
org.apache.tools.ant.types.selectors.ModifiedSelectorTest	public void testScenario1() 	ch	B3	0/7
org.apache.tools.ant.types.selectors.PresentSelectorTest	public void testValidate() 	s	B1	0/7
org.apache.tools.ant.taskdefs.Zip	protected final void addParentDirs(java.io.File, java.lang.String, org.apache.tools.zip.ZipOutputStream, java.lang.String, int) throws java.io.IOException	zOut	B7	0/7
org.apache.tools.ant.taskdefs.Zip	protected final void addParentDirs(java.io.File, java.lang.String, org.apache.tools.zip.ZipOutputStream, java.lang.String, int) throws java.io.IOException	zOut	B8	0/6
org.apache.tools.ant.taskdefs.Concat	private void concatenate(char[], java.io.Writer, java.io.Reader) throws java.io.IOException	in	B1	0/7
org.apache.tools.ant.taskdefs.Concat	private void concatenate(char[], java.io.Writer, java.io.Reader) throws java.io.IOException	in	B2	0/6
org.apache.tools.ant.taskdefs.ExecTaskTest	public void testspawn() 	myBuild	B1	0/7
org.apache.tools.ant.taskdefs.ExecTaskTest	public void testspawn() 	myBuild	B3	0/6
org.apache.tools.ant.taskdefs.email.MimeMailer	public void send() 	charset	B9	0/7
org.apache.tools.ant.taskdefs.email.MimeMailer	public void send() 	charset	B11	0/4
org.apache.tools.ant.taskdefs.optional.dotnet.NetCommand	protected void prepareExecutor() 	executable	B5	0/7
org.apache.tools.ant.taskdefs.optional.dotnet.NetCommand	protected void prepareExecutor() 	executable	B7	0/4
org.apache.tools.ant.taskdefs.Zip	protected org.apache.tools.ant.taskdefs.Zip.ArchiveState getResourcesToAdd(org.apache.tools.ant.types.ResourceCollection[], java.io.File, boolean) throws org.apache.tools.ant.BuildException	toAdd	B8	0/7
org.apache.tools.ant.taskdefs.Zip	protected org.apache.tools.ant.taskdefs.Zip.ArchiveState getResourcesToAdd(org.apache.tools.ant.types.ResourceCollection[], java.io.File, boolean) throws org.apache.tools.ant.BuildException	toAdd	B9	0/4
org.apache.tools.ant.taskdefs.Zip	protected org.apache.tools.ant.taskdefs.Zip.ArchiveState getResourcesToAdd(org.apache.tools.ant.types.ResourceCollection[], java.io.File, boolean) throws org.apache.tools.ant.BuildException	toAdd	B10	0/3
org.apache.tools.ant.taskdefs.optional.http.HttpBasicAuth	public void setAuthenticationHeader(java.net.URLConnection, java.net.URLConnection, java.lang.String, java.lang.String) throws org.apache.tools.ant.BuildException	encodedPassStr	B2	0/7
org.apache.tools.ant.taskdefs.optional.jsp.compilers.JasperC	public boolean execute() throws org.apache.tools.ant.BuildException	java	B4	0/7
org.apache.tools.ant.DirectoryScannerTest	public void testSetFollowLinks() throws java.io.IOException	included	B8	0/6
org.apache.tools.ant.Task	private void replaceChildren(org.apache.tools.ant.RuntimeConfigurable, org.apache.tools.ant.UnknownElement) 	childElement	B3	0/6
org.apache.tools.ant.helper.ProjectHelperImpl2	public static java.lang.String fromURI(java.lang.String) 	uri	B3	0/6
org.apache.tools.ant.taskdefs.CallTarget	public void execute() throws org.apache.tools.ant.BuildException	callee	B1	0/6
org.apache.tools.ant.taskdefs.ExecuteJavaTest	protected void setUp() 	ej	B1	0/6
org.apache.tools.ant.taskdefs.ExecuteOn	protected java.lang.String[] getCommandline(java.lang.String[], java.io.File[]) 	name	B6	0/6
org.apache.tools.ant.taskdefs.Expand	protected void extractFile(org.apache.tools.ant.util.FileUtils, java.io.File, java.io.File, java.io.InputStream, java.lang.String, java.util.Date, boolean, org.apache.tools.ant.util.FileNameMapper) throws java.io.IOException	included	B15	0/6
org.apache.tools.ant.taskdefs.Java	protected void setupRedirector() 	redirector	B1	0/6
org.apache.tools.ant.taskdefs.Length	public boolean eval() 	ell	B3	0/6
org.apache.tools.ant.taskdefs.MacroDef	public void execute() 	def	B5	0/6
org.apache.tools.ant.taskdefs.MacroDef	public void execute() 	helper	B5	0/6
org.apache.tools.ant.taskdefs.Tstamp.CustomFormat	public void execute(org.apache.tools.ant.Project, java.util.Date, org.apache.tools.ant.Location) 	sdf	B5	0/6
org.apache.tools.ant.taskdefs.optional.extension.ExtensionUtil	private static void addExtension(List#RAW, org.apache.tools.ant.taskdefs.optional.extension.Extension, boolean, boolean) 	extension	B1	0/6
org.apache.tools.ant.taskdefs.optional.extension.ExtensionUtil	private static void addExtension(List#RAW, org.apache.tools.ant.taskdefs.optional.extension.Extension, boolean, boolean) 	extension	B1	0/6
org.apache.tools.ant.taskdefs.optional.j2ee.WebLogicHotDeploymentTool	public void deploy() 	java	B1	0/6
org.apache.tools.ant.taskdefs.optional.jsp.JspNameMangler	private java.lang.String mapJspToBaseName(java.io.File) 	className	B1	0/6
org.apache.tools.ant.taskdefs.optional.jsp.WLJspc	protected void scanDir(java.lang.String[]) 	pack	B3	0/6
org.apache.tools.ant.taskdefs.optional.perforce.P4HandlerAdapter	public void start() throws org.apache.tools.ant.BuildException	myHandler	B1	0/6
org.apache.tools.ant.taskdefs.optional.vss.MSVSSTest	public void testHistoryCommandLine3() 	vssHistory	B1	0/6
org.apache.tools.ant.taskdefs.optional.vss.MSVSSTest	public void testLabelCommandLine2() 	vssLabel	B1	0/6
org.apache.tools.ant.types.XMLCatalog	private org.xml.sax.InputSource classpathLookup(org.apache.tools.ant.types.ResourceLocation) 	loader	B1	0/6
org.apache.tools.ant.types.optional.depend.DependScanner	public synchronized void scan() throws java.lang.IllegalStateException	analyzer	B1	0/6
org.apache.tools.ant.taskdefs.Basename	public void execute() throws org.apache.tools.ant.BuildException	value	B5	0/6
org.apache.tools.ant.taskdefs.Basename	public void execute() throws org.apache.tools.ant.BuildException	value	B6	0/4
org.apache.tools.ant.types.EnumeratedAttributeTest	public void testExceptions() 	t1	B1	0/6
org.apache.tools.ant.types.EnumeratedAttributeTest	public void testExceptions() 	t1	B2	0/5
org.apache.tools.ant.launch.Locator	public static java.io.File getResourceSource(java.lang.ClassLoader, java.lang.String) 	url	B1	0/6
org.apache.tools.ant.launch.Locator	public static java.io.File getResourceSource(java.lang.ClassLoader, java.lang.String) 	url	B3	0/4
org.apache.tools.ant.AntClassLoader.ResourceEnumeration	private void findNextResource() 	url	B1	0/6
org.apache.tools.ant.AntClassLoader.ResourceEnumeration	private void findNextResource() 	url	B2	0/5
org.apache.tools.ant.AntClassLoader.ResourceEnumeration	private void findNextResource() 	url	B3	0/2
org.apache.tools.ant.taskdefs.VerifyJar	public void execute() throws org.apache.tools.ant.BuildException	outputCache	B3	0/6
org.apache.tools.ant.taskdefs.VerifyJar	public void execute() throws org.apache.tools.ant.BuildException	outputCache	B4	0/3
org.apache.tools.ant.taskdefs.VerifyJar	public void execute() throws org.apache.tools.ant.BuildException	outputCache	B5	0/2
org.apache.tools.bzip2.CBZip2InputStream	private void makeMaps() 	nInUseShadow	B1	0/6
org.apache.tools.bzip2.CBZip2InputStream	private void makeMaps() 	nInUseShadow	B2	0/3
org.apache.tools.bzip2.CBZip2InputStream	private void makeMaps() 	nInUseShadow	B3	0/2
org.apache.tools.ant.helper.ProjectHelperImpl2.ElementHandler	public void onStartElement(java.lang.String, java.lang.String, java.lang.String, org.xml.sax.Attributes, org.apache.tools.ant.helper.ProjectHelperImpl2.AntXmlContext) throws org.xml.sax.SAXParseException	wrapper	B4	0/6
org.apache.tools.ant.helper.ProjectHelperImpl2.ElementHandler	public void onStartElement(java.lang.String, java.lang.String, java.lang.String, org.xml.sax.Attributes, org.apache.tools.ant.helper.ProjectHelperImpl2.AntXmlContext) throws org.xml.sax.SAXParseException	wrapper	B9	0/2
org.apache.tools.ant.taskdefs.Redirector	public synchronized void createStreams() 	helper	B37	0/6
org.apache.tools.ant.ProjectHelper	public static org.apache.tools.ant.ProjectHelper getProjectHelper() throws org.apache.tools.ant.BuildException	is	B4	0/6
org.apache.tools.bzip2.CBZip2InputStream	private void recvDecodingTables() throws java.io.IOException	len_t	B28	0/6
org.apache.tools.bzip2.CBZip2InputStream	private void recvDecodingTables() throws java.io.IOException	len_t	B29	0/4
org.apache.tools.bzip2.CBZip2InputStream	private void recvDecodingTables() throws java.io.IOException	len_t	B30	0/3
org.apache.tools.ant.taskdefs.Zip	protected org.apache.tools.ant.taskdefs.Zip.ArchiveState getResourcesToAdd(org.apache.tools.ant.types.FileSet[], java.io.File, boolean) throws org.apache.tools.ant.BuildException	gm	B31	0/6
org.apache.tools.ant.AntClassLoader	protected void addPathFile(java.io.File) throws java.io.IOException	classpath	B6	0/5
org.apache.tools.ant.DirectoryScannerTest	public void testIsExcludedDirectoryScanned() 	ds	B1	0/5
org.apache.tools.ant.helper.ProjectHelperImpl2.ElementHandler	public void onStartElement(java.lang.String, java.lang.String, java.lang.String, org.xml.sax.Attributes, org.apache.tools.ant.helper.ProjectHelperImpl2.AntXmlContext) throws org.xml.sax.SAXParseException	wrapper	B4	0/5
org.apache.tools.ant.taskdefs.Execute	public void spawn() throws java.io.IOException	handler	B5	0/5
org.apache.tools.ant.taskdefs.GenerateKey	public void execute() throws org.apache.tools.ant.BuildException	cmd	B30	0/5
org.apache.tools.ant.taskdefs.Jikes	protected void compile(java.lang.String[]) 	exe	B7	0/5
org.apache.tools.ant.taskdefs.Jikes	protected void compile(java.lang.String[]) 	project	B7	0/5
org.apache.tools.ant.taskdefs.ParallelTest	public void testDemux() 	p	B1	0/5
org.apache.tools.ant.taskdefs.Redirector	public synchronized void createStreams() 	reader	B23	0/5
org.apache.tools.ant.taskdefs.Redirector	public synchronized void createStreams() 	reader	B27	0/5
org.apache.tools.ant.taskdefs.SubAnt	private void execute(java.io.File, java.io.File) throws org.apache.tools.ant.BuildException	ant	B5	0/5
org.apache.tools.ant.taskdefs.TStampTest	public void testFormatPrefix() throws java.lang.Exception	format	B1	0/5
org.apache.tools.ant.taskdefs.XmlProperty	public java.lang.Object processNode(org.w3c.dom.Node, java.lang.String, java.lang.Object) 	nodeText	B19	0/5
org.apache.tools.ant.taskdefs.Zip	protected boolean createEmptyZip(java.io.File) throws org.apache.tools.ant.BuildException	empty	B1	0/5
org.apache.tools.ant.taskdefs.cvslib.ChangeLogParserTest	public void testCvs112Format() throws java.lang.Exception	parser	B1	0/5
org.apache.tools.ant.taskdefs.cvslib.ChangeLogParserTest	public void testOldCvsFormat() throws java.lang.Exception	parser	B1	0/5
org.apache.tools.ant.taskdefs.optional.http.hostname	public void execute() throws org.apache.tools.ant.BuildException	result	B3	0/5
org.apache.tools.ant.taskdefs.optional.perforce.P4Counter	public void execute() throws org.apache.tools.ant.BuildException	command	B5	0/5
org.apache.tools.ant.taskdefs.optional.perforce.P4Revert	public void execute() throws org.apache.tools.ant.BuildException	p4cmd	B1	0/5
