Complexity metrics,Qua, 13 dez 2017 15:31:40 BRST
"freemind.common.IconProperty.IconProperty(String,String,FreeMindMain,Vector<MindIcon>)",1,1,1
"freemind.common.IconProperty.actionPerformed(ActionEvent)",1,3,3
"freemind.common.IconProperty.getDescription()",1,1,1
"freemind.common.IconProperty.getLabel()",1,1,1
"freemind.common.IconProperty.getValue()",1,1,1
"freemind.common.IconProperty.layout(DefaultFormBuilder,TextTranslator)",1,1,1
"freemind.common.IconProperty.setEnabled(boolean)",1,1,1
"freemind.common.IconProperty.setIcon(MindIcon)",1,1,1
"freemind.common.IconProperty.setValue(String)",1,3,3
"freemind.common.JOptionalSplitPane.JOptionalSplitPane()",1,1,1
"freemind.common.JOptionalSplitPane.checkIndex(int)",2,1,3
"freemind.common.JOptionalSplitPane.getAmountOfComponents()",1,1,1
"freemind.common.JOptionalSplitPane.getDividerPosition()",2,2,2
"freemind.common.JOptionalSplitPane.getLastDividerPosition()",1,1,1
"freemind.common.JOptionalSplitPane.main(String[])",1,1,1
"freemind.common.JOptionalSplitPane.removeComponent(int)",3,3,6
"freemind.common.JOptionalSplitPane.setComponent(JComponent,int)",4,6,9
"freemind.common.JOptionalSplitPane.setLastDividerPosition(int)",1,1,1
"freemind.common.JOptionalSplitPane.setSingleJPanel(JComponent)",1,3,3
"freemind.common.NamedObject.NamedObject()",1,1,1
"freemind.common.NamedObject.NamedObject(Object,String)",1,1,1
"freemind.common.NamedObject.equals(Object)",2,2,2
"freemind.common.NamedObject.getName()",1,1,1
"freemind.common.NamedObject.getObject()",1,1,1
"freemind.common.NamedObject.literal(String)",1,1,1
"freemind.common.NamedObject.toString()",1,1,1
"freemind.common.NextLineProperty.NextLineProperty()",1,1,1
"freemind.common.NextLineProperty.getDescription()",1,1,1
"freemind.common.NextLineProperty.getLabel()",1,1,1
"freemind.common.NextLineProperty.layout(DefaultFormBuilder,TextTranslator)",1,1,1
"freemind.common.NextLineProperty.setEnabled(boolean)",1,1,1
"freemind.common.NumberProperty.NumberProperty(String,String,int,int,int)",1,1,1
"freemind.common.NumberProperty.getDescription()",1,1,1
"freemind.common.NumberProperty.getIntValue()",1,1,1
"freemind.common.NumberProperty.getLabel()",1,1,1
"freemind.common.NumberProperty.getValue()",1,1,1
"freemind.common.NumberProperty.layout(DefaultFormBuilder,TextTranslator)",1,1,1
"freemind.common.NumberProperty.setEnabled(boolean)",1,1,1
"freemind.common.NumberProperty.setValue(String)",1,3,5
"freemind.common.OptionalDontShowMeAgainDialog.OptionalDontShowMeAgainDialog(JFrame,Component,String,String,TextTranslator,DontShowPropertyHandler,int)",1,2,2
"freemind.common.OptionalDontShowMeAgainDialog.StandardPropertyHandler.StandardPropertyHandler(Controller,String)",1,1,1
"freemind.common.OptionalDontShowMeAgainDialog.StandardPropertyHandler.getProperty()",1,1,1
"freemind.common.OptionalDontShowMeAgainDialog.StandardPropertyHandler.setProperty(String)",1,1,1
"freemind.common.OptionalDontShowMeAgainDialog.close(int)",1,4,5
"freemind.common.OptionalDontShowMeAgainDialog.getResult()",1,1,1
"freemind.common.OptionalDontShowMeAgainDialog.show()",3,2,5
"freemind.common.PasswordProperty.PasswordProperty(String,String)",1,1,1
"freemind.common.PasswordProperty.getValue()",1,1,1
"freemind.common.PasswordProperty.initializeTextfield()",1,1,1
"freemind.common.PasswordProperty.setValue(String)",1,1,1
"freemind.common.PropertyBean.addPropertyChangeListener(PropertyChangeListener)",1,1,1
"freemind.common.PropertyBean.firePropertyChangeEvent()",1,2,2
"freemind.common.PropertyBean.removePropertyChangeListener(PropertyChangeListener)",1,1,1
"freemind.common.RemindValueProperty.RemindValueProperty(String,String,TextTranslator)",1,1,1
"freemind.common.RemindValueProperty.setState(int)",1,1,1
"freemind.common.ScalableJButton.ScalableJButton()",1,1,1
"freemind.common.ScalableJButton.ScalableJButton(String)",1,1,1
"freemind.common.ScalableJButton.componentHidden(ComponentEvent)",1,1,1
"freemind.common.ScalableJButton.componentMoved(ComponentEvent)",1,1,1
"freemind.common.ScalableJButton.componentResized(ComponentEvent)",1,1,1
"freemind.common.ScalableJButton.componentShown(ComponentEvent)",1,1,1
"freemind.common.ScalableJButton.init()",1,2,2
"freemind.common.ScalableJTable.ScalableJTable()",1,1,1
"freemind.common.ScriptEditorProperty.ScriptEditorProperty(String,String,MindMapController)",1,2,2
"freemind.common.ScriptEditorProperty.actionPerformed(ActionEvent)",1,4,4
"freemind.common.ScriptEditorProperty.getDescription()",1,1,1
"freemind.common.ScriptEditorProperty.getLabel()",1,1,1
"freemind.common.ScriptEditorProperty.getValue()",1,1,1
"freemind.common.ScriptEditorProperty.layout(DefaultFormBuilder,TextTranslator)",1,1,1
"freemind.common.ScriptEditorProperty.setEnabled(boolean)",1,1,1
"freemind.common.ScriptEditorProperty.setScriptValue(String)",1,1,2
"freemind.common.ScriptEditorProperty.setValue(String)",1,1,1
"freemind.common.SeparatorProperty.SeparatorProperty(String)",1,1,1
"freemind.common.SeparatorProperty.getDescription()",1,1,1
"freemind.common.SeparatorProperty.getLabel()",1,1,1
"freemind.common.SeparatorProperty.layout(DefaultFormBuilder,TextTranslator)",1,1,1
"freemind.common.SeparatorProperty.setEnabled(boolean)",1,1,1
"freemind.common.StringProperty.StringProperty(String,String)",1,1,1
"freemind.common.StringProperty.getDescription()",1,1,1
"freemind.common.StringProperty.getLabel()",1,1,1
"freemind.common.StringProperty.getValue()",1,1,1
"freemind.common.StringProperty.initializeTextfield()",1,1,1
"freemind.common.StringProperty.layout(DefaultFormBuilder,TextTranslator)",1,1,1
"freemind.common.StringProperty.setEnabled(boolean)",1,1,1
"freemind.common.StringProperty.setValue(String)",1,1,1
"freemind.common.ThreeCheckBoxProperty.ThreeCheckBoxProperty(String,String)",1,1,1
"freemind.common.ThreeCheckBoxProperty.getDescription()",1,1,1
"freemind.common.ThreeCheckBoxProperty.getLabel()",1,1,1
"freemind.common.ThreeCheckBoxProperty.getState()",1,1,1
"freemind.common.ThreeCheckBoxProperty.getValue()",4,2,4
"freemind.common.ThreeCheckBoxProperty.layout(DefaultFormBuilder,TextTranslator)",1,1,1
"freemind.common.ThreeCheckBoxProperty.setEnabled(boolean)",1,1,1
"freemind.common.ThreeCheckBoxProperty.setState(int)",1,1,1
"freemind.common.ThreeCheckBoxProperty.setValue(String)",2,4,5
"freemind.common.ThreeCheckBoxProperty.transformString(String)",4,1,4
"freemind.common.UnicodeReader.UnicodeReader(InputStream,String)",1,1,1
"freemind.common.UnicodeReader.close()",1,1,1
"freemind.common.UnicodeReader.getDefaultEncoding()",1,1,1
"freemind.common.UnicodeReader.getEncoding()",2,1,2
"freemind.common.UnicodeReader.init()",2,2,19
"freemind.common.UnicodeReader.read(char[],int,int)",1,1,1
"freemind.common.XmlBindingTools.XmlBindingTools()",1,1,1
"freemind.common.XmlBindingTools.createMarshaller()",1,2,2
"freemind.common.XmlBindingTools.createUnmarshaller()",1,2,2
"freemind.common.XmlBindingTools.decorateDialog(Controller,JDialog,String)",1,1,1
"freemind.common.XmlBindingTools.decorateDialog(String,JDialog)",3,4,4
"freemind.common.XmlBindingTools.getInstance()",1,3,3
"freemind.common.XmlBindingTools.marshall(XmlAction)",1,2,2
"freemind.common.XmlBindingTools.storeDialogPositions(Controller,JDialog,WindowConfigurationStorage,String)",1,1,1
"freemind.common.XmlBindingTools.storeDialogPositions(WindowConfigurationStorage,JDialog)",1,1,1
"freemind.common.XmlBindingTools.unMarshall(Reader)",1,2,2
"freemind.common.XmlBindingTools.unMarshall(String)",1,1,1
"freemind.controller.BlindIcon.BlindIcon(int)",1,1,1
"freemind.controller.BlindIcon.getIconHeight()",1,1,1
"freemind.controller.BlindIcon.getIconWidth()",1,1,1
"freemind.controller.BlindIcon.paintIcon(Component,Graphics,int,int)",1,1,1
"freemind.controller.ColorSwatch.ColorSwatch()",1,1,1
"freemind.controller.ColorSwatch.ColorSwatch(Color)",1,1,1
"freemind.controller.ColorSwatch.getColor()",1,1,1
"freemind.controller.ColorSwatch.getIconHeight()",1,1,1
"freemind.controller.ColorSwatch.getIconWidth()",1,1,1
"freemind.controller.ColorSwatch.paintIcon(Component,Graphics,int,int)",1,1,1
"freemind.controller.Controller.AboutAction.AboutAction(Controller)",1,1,1
"freemind.controller.Controller.AboutAction.actionPerformed(ActionEvent)",1,1,1
"freemind.controller.Controller.CloseAction.CloseAction(Controller)",1,1,1
"freemind.controller.Controller.CloseAction.actionPerformed(ActionEvent)",1,1,1
"freemind.controller.Controller.Closer.windowClosing(WindowEvent)",1,1,1
"freemind.controller.Controller.ColorTracker.ColorTracker(JColorChooser)",1,1,1
"freemind.controller.Controller.ColorTracker.actionPerformed(ActionEvent)",1,1,1
"freemind.controller.Controller.ColorTracker.getColor()",1,1,1
"freemind.controller.Controller.Controller(FreeMindMain)",1,2,2
"freemind.controller.Controller.DefaultLocalLinkConverter.convertLocalLink(String)",1,1,1
"freemind.controller.Controller.DisposeOnClose.componentHidden(ComponentEvent)",1,1,1
"freemind.controller.Controller.DocumentationAction.DocumentationAction(Controller)",1,1,1
"freemind.controller.Controller.DocumentationAction.actionPerformed(ActionEvent)",1,5,5
"freemind.controller.Controller.KeyDocumentationAction.KeyDocumentationAction(Controller)",1,1,1
"freemind.controller.Controller.KeyDocumentationAction.actionPerformed(ActionEvent)",1,4,4
"freemind.controller.Controller.LicenseAction.LicenseAction(Controller)",1,1,1
"freemind.controller.Controller.LicenseAction.actionPerformed(ActionEvent)",1,1,1
"freemind.controller.Controller.MoveToRootAction.MoveToRootAction(Controller)",1,1,1
"freemind.controller.Controller.MoveToRootAction.actionPerformed(ActionEvent)",1,1,1
"freemind.controller.Controller.NavigationMoveMapLeftAction.NavigationMoveMapLeftAction(Controller)",1,1,1
"freemind.controller.Controller.NavigationMoveMapLeftAction.actionPerformed(ActionEvent)",1,3,3
"freemind.controller.Controller.NavigationMoveMapRightAction.NavigationMoveMapRightAction(Controller)",1,1,1
"freemind.controller.Controller.NavigationMoveMapRightAction.actionPerformed(ActionEvent)",1,2,3
"freemind.controller.Controller.NavigationNextMapAction.NavigationNextMapAction(Controller)",1,1,1
"freemind.controller.Controller.NavigationNextMapAction.actionPerformed(ActionEvent)",1,1,1
"freemind.controller.Controller.NavigationPreviousMapAction.NavigationPreviousMapAction(Controller)",1,1,1
"freemind.controller.Controller.NavigationPreviousMapAction.actionPerformed(ActionEvent)",1,1,1
"freemind.controller.Controller.OpenURLAction.OpenURLAction(Controller,String,String)",1,1,1
"freemind.controller.Controller.OpenURLAction.actionPerformed(ActionEvent)",1,3,3
"freemind.controller.Controller.OptionAntialiasAction.actionPerformed(ActionEvent)",1,1,1
"freemind.controller.Controller.OptionAntialiasAction.changeAntialias(String)",2,2,3
"freemind.controller.Controller.OptionHTMLExportFoldingAction.OptionHTMLExportFoldingAction(Controller)",1,1,1
"freemind.controller.Controller.OptionHTMLExportFoldingAction.actionPerformed(ActionEvent)",1,1,1
"freemind.controller.Controller.OptionSelectionMechanismAction.OptionSelectionMechanismAction(Controller)",1,1,1
"freemind.controller.Controller.OptionSelectionMechanismAction.actionPerformed(ActionEvent)",1,1,1
"freemind.controller.Controller.OptionSelectionMechanismAction.changeSelection(String)",1,2,2
"freemind.controller.Controller.OptionSelectionMechanismAction.propertyChanged(String,String,String)",1,2,2
"freemind.controller.Controller.PageAction.PageAction(Controller)",1,1,1
"freemind.controller.Controller.PageAction.actionPerformed(ActionEvent)",3,2,4
"freemind.controller.Controller.PrintAction.PrintAction(Controller,boolean)",1,2,2
"freemind.controller.Controller.PrintAction.actionPerformed(ActionEvent)",2,4,5
"freemind.controller.Controller.PrintPreviewAction.PrintPreviewAction(Controller)",1,1,1
"freemind.controller.Controller.PrintPreviewAction.actionPerformed(ActionEvent)",2,1,2
"freemind.controller.Controller.PropertyAction.PropertyAction(Controller)",1,1,1
"freemind.controller.Controller.PropertyAction.actionPerformed(ActionEvent)",1,4,4
"freemind.controller.Controller.QuitAction.QuitAction(Controller)",1,1,1
"freemind.controller.Controller.QuitAction.actionPerformed(ActionEvent)",1,1,1
"freemind.controller.Controller.ShowFilterToolbarAction.ShowFilterToolbarAction(Controller)",1,1,1
"freemind.controller.Controller.ShowFilterToolbarAction.actionPerformed(ActionEvent)",1,2,2
"freemind.controller.Controller.ShowSelectionAsRectangleAction.ShowSelectionAsRectangleAction(Controller)",1,1,1
"freemind.controller.Controller.ShowSelectionAsRectangleAction.actionPerformed(ActionEvent)",1,1,1
"freemind.controller.Controller.ShowSelectionAsRectangleAction.isSelected(JMenuItem,Action)",1,1,1
"freemind.controller.Controller.SplitComponentType.SplitComponentType(int)",1,1,1
"freemind.controller.Controller.SplitComponentType.getIndex()",1,1,1
"freemind.controller.Controller.ToggleLeftToolbarAction.ToggleLeftToolbarAction(Controller)",1,1,1
"freemind.controller.Controller.ToggleLeftToolbarAction.actionPerformed(ActionEvent)",1,1,1
"freemind.controller.Controller.ToggleLeftToolbarAction.isSelected(JMenuItem,Action)",1,1,1
"freemind.controller.Controller.ToggleMenubarAction.ToggleMenubarAction(Controller)",1,1,1
"freemind.controller.Controller.ToggleMenubarAction.actionPerformed(ActionEvent)",1,1,1
"freemind.controller.Controller.ToggleMenubarAction.isSelected(JMenuItem,Action)",1,1,1
"freemind.controller.Controller.ToggleToolbarAction.ToggleToolbarAction(Controller)",1,1,1
"freemind.controller.Controller.ToggleToolbarAction.actionPerformed(ActionEvent)",1,1,1
"freemind.controller.Controller.ToggleToolbarAction.isSelected(JMenuItem,Action)",1,1,1
"freemind.controller.Controller.ZoomInAction.ZoomInAction(Controller)",1,1,1
"freemind.controller.Controller.ZoomInAction.actionPerformed(ActionEvent)",3,3,3
"freemind.controller.Controller.ZoomOutAction.ZoomOutAction(Controller)",1,1,1
"freemind.controller.Controller.ZoomOutAction.actionPerformed(ActionEvent)",3,3,3
"freemind.controller.Controller.acquirePrinterJobAndPageFormat()",2,7,8
"freemind.controller.Controller.addPropertyChangeListener(FreemindPropertyListener)",1,1,1
"freemind.controller.Controller.addPropertyChangeListenerAndPropagate(FreemindPropertyListener)",1,2,2
"freemind.controller.Controller.addTabbedPane(JTabbedPane)",6,8,10
"freemind.controller.Controller.afterMapClose(MapModule,Mode)",1,1,1
"freemind.controller.Controller.afterMapModuleChange(MapModule,Mode,MapModule,Mode)",1,6,6
"freemind.controller.Controller.beforeMapModuleChange(MapModule,Mode,MapModule,Mode)",3,5,5
"freemind.controller.Controller.changeZoomValueProperty(float)",1,2,2
"freemind.controller.Controller.close(boolean)",1,1,1
"freemind.controller.Controller.createNewMode(String)",3,3,4
"freemind.controller.Controller.deregisterMapTitleChangeListener(MapTitleChangeListener)",1,1,1
"freemind.controller.Controller.deregisterMapTitleContributor(MapTitleContributor)",1,1,1
"freemind.controller.Controller.deregisterZoomListener(ZoomListener)",1,1,1
"freemind.controller.Controller.errorMessage(Object)",1,2,3
"freemind.controller.Controller.errorMessage(Object,JComponent)",1,1,1
"freemind.controller.Controller.firePropertyChanged(String,String,String)",1,4,4
"freemind.controller.Controller.getCommonJColorChooser()",1,1,1
"freemind.controller.Controller.getDefaultFont()",1,1,1
"freemind.controller.Controller.getDefaultFontFamilyName()",1,1,1
"freemind.controller.Controller.getDefaultFontSize()",1,1,1
"freemind.controller.Controller.getDefaultFontStyle()",1,1,1
"freemind.controller.Controller.getFilterController()",1,1,1
"freemind.controller.Controller.getFontStringCode(Font)",1,1,1
"freemind.controller.Controller.getFontThroughMap(Font)",1,2,2
"freemind.controller.Controller.getFrame()",1,1,1
"freemind.controller.Controller.getIntProperty(String,int)",1,1,1
"freemind.controller.Controller.getJFrame()",2,1,2
"freemind.controller.Controller.getLastOpenedList()",1,1,1
"freemind.controller.Controller.getMap()",1,1,1
"freemind.controller.Controller.getMapModule()",1,1,1
"freemind.controller.Controller.getMapModuleManager()",1,1,1
"freemind.controller.Controller.getMapMouseMotionListener()",1,1,1
"freemind.controller.Controller.getMapMouseWheelListener()",1,1,1
"freemind.controller.Controller.getMode()",1,1,1
"freemind.controller.Controller.getModeController()",3,3,3
"freemind.controller.Controller.getModel()",2,2,2
"freemind.controller.Controller.getModes()",1,1,1
"freemind.controller.Controller.getNodeDragListener()",1,1,1
"freemind.controller.Controller.getNodeDropListener()",1,1,1
"freemind.controller.Controller.getNodeKeyListener()",1,1,1
"freemind.controller.Controller.getNodeMotionListener()",1,1,1
"freemind.controller.Controller.getNodeMouseMotionListener()",1,1,1
"freemind.controller.Controller.getPageFormat()",1,1,1
"freemind.controller.Controller.getProperty(String)",1,1,1
"freemind.controller.Controller.getPropertyChangeListeners()",1,1,1
"freemind.controller.Controller.getResource(String)",1,1,1
"freemind.controller.Controller.getResourceString(String)",1,1,1
"freemind.controller.Controller.getToolBar()",1,1,1
"freemind.controller.Controller.getToolbar()",1,1,1
"freemind.controller.Controller.getView()",2,2,2
"freemind.controller.Controller.getZooms()",1,1,2
"freemind.controller.Controller.informationMessage(Object)",1,1,1
"freemind.controller.Controller.informationMessage(Object,JComponent)",1,1,1
"freemind.controller.Controller.init()",1,1,1
"freemind.controller.Controller.initialization()",1,4,4
"freemind.controller.Controller.insertComponentIntoSplitPane(JComponent,SplitComponentType)",1,2,2
"freemind.controller.Controller.isMapModuleChangeAllowed(MapModule,Mode,MapModule,Mode)",1,1,1
"freemind.controller.Controller.isSelectionAsRectangle()",1,1,1
"freemind.controller.Controller.moveTab(int,int)",1,1,1
"freemind.controller.Controller.moveToRoot()",1,2,2
"freemind.controller.Controller.numberOfOpenMapInformation(int,int)",1,1,3
"freemind.controller.Controller.obtainFocusForSelected()",1,2,2
"freemind.controller.Controller.quit()",4,11,15
"freemind.controller.Controller.registerMapTitleChangeListener(MapTitleChangeListener)",1,1,1
"freemind.controller.Controller.registerMapTitleContributor(MapTitleContributor)",1,1,1
"freemind.controller.Controller.registerZoomListener(ZoomListener)",1,1,1
"freemind.controller.Controller.removePropertyChangeListener(FreemindPropertyListener)",1,1,1
"freemind.controller.Controller.removeSplitPane(SplitComponentType)",1,3,3
"freemind.controller.Controller.setAllActions(boolean)",1,1,5
"freemind.controller.Controller.setFrame(FreeMindMain)",1,1,1
"freemind.controller.Controller.setLeftToolbarVisible(boolean)",2,2,3
"freemind.controller.Controller.setMenubarVisible(boolean)",1,1,1
"freemind.controller.Controller.setProperty(String,String)",1,1,1
"freemind.controller.Controller.setTitle()",1,6,7
"freemind.controller.Controller.setToolbarVisible(boolean)",1,1,1
"freemind.controller.Controller.setZoom(float)",1,1,1
"freemind.controller.Controller.showCommonJColorChooserDialog(Component,String,Color)",1,1,1
"freemind.controller.Controller.storeOptionSplitPanePosition()",1,2,2
"freemind.controller.Controller.storePageFormat()",1,4,4
"freemind.controller.Controller.tabSelectionChanged()",3,4,6
"freemind.controller.Controller.toggleSelectionAsRectangle()",1,2,2
"freemind.controller.FreeMindPopupMenu.FreeMindPopupMenu()",1,2,2
"freemind.controller.FreeMindPopupMenu.addMenuListener(MenuListener)",1,1,1
"freemind.controller.FreeMindPopupMenu.firePopupMenuCanceled()",1,2,2
"freemind.controller.FreeMindPopupMenu.firePopupMenuWillBecomeInvisible()",1,2,2
"freemind.controller.FreeMindPopupMenu.firePopupMenuWillBecomeVisible()",1,2,2
"freemind.controller.FreeMindPopupMenu.removeMenuListener(MenuListener)",1,1,1
"freemind.controller.FreeMindToolBar.FreeMindToolBar()",1,1,1
"freemind.controller.FreeMindToolBar.FreeMindToolBar(String)",1,1,1
"freemind.controller.FreeMindToolBar.FreeMindToolBar(String,int)",1,1,1
"freemind.controller.FreeMindToolBar.FreeMindToolBar(int)",1,1,1
"freemind.controller.FreeMindToolBar.add(Action)",1,2,2
"freemind.controller.LastOpenedList.LastOpenedList(Controller,String)",1,2,2
"freemind.controller.LastOpenedList.add(String,String)",2,3,4
"freemind.controller.LastOpenedList.listIterator()",1,1,1
"freemind.controller.LastOpenedList.load(String)",1,3,3
"freemind.controller.LastOpenedList.mapClosed(MapModule)",1,1,1
"freemind.controller.LastOpenedList.mapOpened(MapModule)",2,2,3
"freemind.controller.LastOpenedList.open(String)",3,3,4
"freemind.controller.LastOpenedList.save()",1,2,2
"freemind.controller.LastStateStorageManagement.LastStateStorageManagement(String)",1,4,6
"freemind.controller.LastStateStorageManagement.changeOrAdd(MindmapLastStateStorage)",6,8,9
"freemind.controller.LastStateStorageManagement.clearTabIndices()",1,2,2
"freemind.controller.LastStateStorageManagement.getLastFocussedTab()",1,1,1
"freemind.controller.LastStateStorageManagement.getLastOpenList()",1,3,3
"freemind.controller.LastStateStorageManagement.getStorage(String)",3,3,3
"freemind.controller.LastStateStorageManagement.getXml()",1,1,1
"freemind.controller.LastStateStorageManagement.setLastChanged(MindmapLastStateStorage)",1,1,1
"freemind.controller.LastStateStorageManagement.setLastFocussedTab(int)",1,1,1
"freemind.controller.MainToolBar.MainToolBar(Controller)",1,2,2
"freemind.controller.MainToolBar.activate(boolean)",1,1,1
"freemind.controller.MainToolBar.setAllActions(boolean)",1,1,1
"freemind.controller.MapModuleManager.MapModuleChangeObserverCompound.addListener(MapModuleChangeObserver)",1,1,1
"freemind.controller.MapModuleManager.MapModuleChangeObserverCompound.afterMapClose(MapModule,Mode)",1,2,2
"freemind.controller.MapModuleManager.MapModuleChangeObserverCompound.afterMapModuleChange(MapModule,Mode,MapModule,Mode)",1,2,2
"freemind.controller.MapModuleManager.MapModuleChangeObserverCompound.beforeMapModuleChange(MapModule,Mode,MapModule,Mode)",1,2,2
"freemind.controller.MapModuleManager.MapModuleChangeObserverCompound.isMapModuleChangeAllowed(MapModule,Mode,MapModule,Mode)",3,2,3
"freemind.controller.MapModuleManager.MapModuleChangeObserverCompound.numberOfOpenMapInformation(int,int)",1,2,2
"freemind.controller.MapModuleManager.MapModuleChangeObserverCompound.removeListener(MapModuleChangeObserver)",1,1,1
"freemind.controller.MapModuleManager.MapModuleManager(Controller)",1,1,1
"freemind.controller.MapModuleManager.addListener(MapModuleChangeObserver)",1,1,1
"freemind.controller.MapModuleManager.addToOrChangeInMapModules(String,MapModule)",1,2,3
"freemind.controller.MapModuleManager.changeToMapModule(MapModule)",1,1,1
"freemind.controller.MapModuleManager.changeToMapModule(String)",4,2,4
"freemind.controller.MapModuleManager.changeToMapOfMode(Mode)",3,3,3
"freemind.controller.MapModuleManager.checkIfFileIsAlreadyOpened(URL)",4,4,4
"freemind.controller.MapModuleManager.close(boolean,StringBuffer)",2,5,6
"freemind.controller.MapModuleManager.fireNumberOfOpenMapInformation()",1,1,1
"freemind.controller.MapModuleManager.getMapKeys()",1,2,2
"freemind.controller.MapModuleManager.getMapModule()",1,1,1
"freemind.controller.MapModuleManager.getMapModuleVector()",1,1,1
"freemind.controller.MapModuleManager.getMapModules()",1,2,2
"freemind.controller.MapModuleManager.getModuleGivenModeController(ModeController)",3,2,3
"freemind.controller.MapModuleManager.newMapModule(MindMap,ModeController)",1,1,1
"freemind.controller.MapModuleManager.nextMapModule()",1,4,5
"freemind.controller.MapModuleManager.previousMapModule()",1,4,4
"freemind.controller.MapModuleManager.removeListener(MapModuleChangeObserver)",1,1,1
"freemind.controller.MapModuleManager.sameFile(URL,URL)",3,3,4
"freemind.controller.MapModuleManager.setMapModule(MapModule,Mode)",2,1,2
"freemind.controller.MapModuleManager.swapModules(int,int)",1,1,1
"freemind.controller.MapModuleManager.tryToChangeToMapModule(String)",2,3,3
"freemind.controller.MapModuleManager.updateMapModuleName()",1,1,1
"freemind.controller.MapMouseMotionListener.MapMouseMotionListener(Controller)",1,1,1
"freemind.controller.MapMouseMotionListener.deregister()",1,1,1
"freemind.controller.MapMouseMotionListener.handlePopup(MouseEvent)",1,4,4
"freemind.controller.MapMouseMotionListener.mouseClicked(MouseEvent)",1,1,1
"freemind.controller.MapMouseMotionListener.mouseDragged(MouseEvent)",1,2,2
"freemind.controller.MapMouseMotionListener.mouseEntered(MouseEvent)",1,1,1
"freemind.controller.MapMouseMotionListener.mouseExited(MouseEvent)",1,1,1
"freemind.controller.MapMouseMotionListener.mouseMoved(MouseEvent)",1,1,1
