Complexity metrics,Sex, 17 nov 2017 11:09:50 BRST
Method,ev(G),iv(G),v(G)
"org.apache.tools.ant.TaskAdapter.execute()",1,6,9
"org.apache.tools.ant.TaskAdapter.getProxy()",1,1,1
"org.apache.tools.ant.TaskAdapter.setProxy(Object)",1,1,1
"org.apache.tools.ant.TaskConfigurationChecker.TaskConfigurationChecker(Task)",1,1,1
"org.apache.tools.ant.TaskConfigurationChecker.assertConfig(boolean,String)",1,2,2
"org.apache.tools.ant.TaskConfigurationChecker.checkErrors()",2,3,3
"org.apache.tools.ant.TaskConfigurationChecker.fail(String)",1,1,1
"org.apache.tools.ant.UnknownElement.UnknownElement(String)",1,1,1
"org.apache.tools.ant.UnknownElement.addChild(UnknownElement)",1,1,2
"org.apache.tools.ant.UnknownElement.applyPreSet(UnknownElement)",2,3,4
"org.apache.tools.ant.UnknownElement.configure(Object)",2,4,5
"org.apache.tools.ant.UnknownElement.copy(Project)",1,4,4
"org.apache.tools.ant.UnknownElement.equalsString(String,String)",1,2,2
"org.apache.tools.ant.UnknownElement.execute()",2,3,4
"org.apache.tools.ant.UnknownElement.getChildren()",1,1,1
"org.apache.tools.ant.UnknownElement.getComponentName()",1,1,1
"org.apache.tools.ant.UnknownElement.getNamespace()",1,1,1
"org.apache.tools.ant.UnknownElement.getNotFoundException(String,String)",1,1,1
"org.apache.tools.ant.UnknownElement.getQName()",1,1,1
"org.apache.tools.ant.UnknownElement.getRealThing()",1,1,1
"org.apache.tools.ant.UnknownElement.getTag()",1,1,1
"org.apache.tools.ant.UnknownElement.getTask()",2,1,2
"org.apache.tools.ant.UnknownElement.getTaskName()",1,2,3
"org.apache.tools.ant.UnknownElement.getWrapper()",1,1,1
"org.apache.tools.ant.UnknownElement.handleChild(String,IntrospectionHelper,Object,UnknownElement,RuntimeConfigurable)",3,6,7
"org.apache.tools.ant.UnknownElement.handleChildren(Object,RuntimeConfigurable)",5,8,9
"org.apache.tools.ant.UnknownElement.handleErrorFlush(String)",1,2,2
"org.apache.tools.ant.UnknownElement.handleErrorOutput(String)",1,2,2
"org.apache.tools.ant.UnknownElement.handleFlush(String)",1,2,2
"org.apache.tools.ant.UnknownElement.handleInput(byte[],int,int)",2,2,2
"org.apache.tools.ant.UnknownElement.handleOutput(String)",1,2,2
"org.apache.tools.ant.UnknownElement.makeObject(UnknownElement,RuntimeConfigurable)",5,8,9
"org.apache.tools.ant.UnknownElement.makeTask(UnknownElement,RuntimeConfigurable)",1,2,2
"org.apache.tools.ant.UnknownElement.maybeConfigure()",2,1,2
"org.apache.tools.ant.UnknownElement.setNamespace(String)",1,2,3
"org.apache.tools.ant.UnknownElement.setQName(String)",1,1,1
"org.apache.tools.ant.UnknownElement.setRealThing(Object)",1,1,1
"org.apache.tools.ant.UnknownElement.similar(Object)",13,5,15
"org.apache.tools.ant.UnsupportedAttributeException.UnsupportedAttributeException(String,String)",1,1,1
"org.apache.tools.ant.UnsupportedAttributeException.getAttribute()",1,1,1
"org.apache.tools.ant.UnsupportedElementException.UnsupportedElementException(String,String)",1,1,1
"org.apache.tools.ant.UnsupportedElementException.getElement()",1,1,1
"org.apache.tools.ant.XmlLogger.TimedElement.toString()",1,1,1
"org.apache.tools.ant.XmlLogger.XmlLogger()",1,1,1
"org.apache.tools.ant.XmlLogger.buildFinished(BuildEvent)",1,3,5
"org.apache.tools.ant.XmlLogger.buildStarted(BuildEvent)",1,1,1
"org.apache.tools.ant.XmlLogger.getDocumentBuilder()",1,1,2
"org.apache.tools.ant.XmlLogger.getProperty(BuildEvent,String,String)",1,4,4
"org.apache.tools.ant.XmlLogger.getStack()",1,2,2
"org.apache.tools.ant.XmlLogger.getTaskElement(Task)",5,4,5
"org.apache.tools.ant.XmlLogger.messageLogged(BuildEvent)",3,6,12
"org.apache.tools.ant.XmlLogger.setEmacsMode(boolean)",1,1,1
"org.apache.tools.ant.XmlLogger.setErrorPrintStream(PrintStream)",1,1,1
"org.apache.tools.ant.XmlLogger.setMessageOutputLevel(int)",1,1,1
"org.apache.tools.ant.XmlLogger.setOutputPrintStream(PrintStream)",1,1,1
"org.apache.tools.ant.XmlLogger.synchronizedAppend(Node,Node)",1,1,1
"org.apache.tools.ant.XmlLogger.targetFinished(BuildEvent)",4,5,6
"org.apache.tools.ant.XmlLogger.targetStarted(BuildEvent)",1,1,1
"org.apache.tools.ant.XmlLogger.taskFinished(BuildEvent)",4,4,6
"org.apache.tools.ant.XmlLogger.taskStarted(BuildEvent)",1,1,2
"org.apache.tools.ant.attribute.BaseIfAttribute.convertResult(boolean)",1,1,2
"org.apache.tools.ant.attribute.BaseIfAttribute.getParams(UnknownElement)",1,3,3
"org.apache.tools.ant.attribute.BaseIfAttribute.isPositive()",1,1,1
"org.apache.tools.ant.attribute.BaseIfAttribute.setPositive(boolean)",1,1,1
"org.apache.tools.ant.attribute.IfBlankAttribute.isEnabled(UnknownElement,String)",1,2,2
"org.apache.tools.ant.attribute.IfSetAttribute.isEnabled(UnknownElement,String)",1,1,1
"org.apache.tools.ant.attribute.IfTrueAttribute.isEnabled(UnknownElement,String)",1,1,1
"org.apache.tools.ant.dispatch.DispatchTask.getAction()",1,1,1
"org.apache.tools.ant.dispatch.DispatchTask.getActionParameterName()",1,1,1
"org.apache.tools.ant.dispatch.DispatchTask.setAction(String)",1,1,1
"org.apache.tools.ant.dispatch.DispatchUtils.execute(Object)",9,17,23
"org.apache.tools.ant.filters.BaseFilterReader.BaseFilterReader()",1,1,1
"org.apache.tools.ant.filters.BaseFilterReader.BaseFilterReader(Reader)",1,1,1
"org.apache.tools.ant.filters.BaseFilterReader.getInitialized()",1,1,1
"org.apache.tools.ant.filters.BaseFilterReader.getProject()",1,1,1
"org.apache.tools.ant.filters.BaseFilterReader.read(char[],int,int)",4,2,4
"org.apache.tools.ant.filters.BaseFilterReader.readFully()",1,1,1
"org.apache.tools.ant.filters.BaseFilterReader.readLine()",4,2,4
"org.apache.tools.ant.filters.BaseFilterReader.setInitialized(boolean)",1,1,1
"org.apache.tools.ant.filters.BaseFilterReader.setProject(Project)",1,1,1
"org.apache.tools.ant.filters.BaseFilterReader.skip(long)",4,2,4
"org.apache.tools.ant.filters.BaseParamFilterReader.BaseParamFilterReader()",1,1,1
"org.apache.tools.ant.filters.BaseParamFilterReader.BaseParamFilterReader(Reader)",1,1,1
"org.apache.tools.ant.filters.BaseParamFilterReader.getParameters()",1,1,1
"org.apache.tools.ant.filters.BaseParamFilterReader.setParameters(Parameter[])",1,1,1
"org.apache.tools.ant.filters.ClassConstants.ClassConstants()",1,1,1
"org.apache.tools.ant.filters.ClassConstants.ClassConstants(Reader)",1,1,1
"org.apache.tools.ant.filters.ClassConstants.chain(Reader)",1,1,1
"org.apache.tools.ant.filters.ClassConstants.read()",7,8,15
"org.apache.tools.ant.filters.ConcatFilter.ConcatFilter()",1,1,1
"org.apache.tools.ant.filters.ConcatFilter.ConcatFilter(Reader)",1,1,1
"org.apache.tools.ant.filters.ConcatFilter.chain(Reader)",1,1,1
"org.apache.tools.ant.filters.ConcatFilter.getAppend()",1,1,1
"org.apache.tools.ant.filters.ConcatFilter.getPrepend()",1,1,1
"org.apache.tools.ant.filters.ConcatFilter.initialize()",5,9,9
"org.apache.tools.ant.filters.ConcatFilter.read()",1,8,8
"org.apache.tools.ant.filters.ConcatFilter.setAppend(File)",1,1,1
"org.apache.tools.ant.filters.ConcatFilter.setPrepend(File)",1,1,1
"org.apache.tools.ant.filters.EscapeUnicode.EscapeUnicode()",1,1,1
"org.apache.tools.ant.filters.EscapeUnicode.EscapeUnicode(Reader)",1,1,1
"org.apache.tools.ant.filters.EscapeUnicode.chain(Reader)",1,1,1
"org.apache.tools.ant.filters.EscapeUnicode.initialize()",1,1,1
"org.apache.tools.ant.filters.EscapeUnicode.read()",1,5,5
"org.apache.tools.ant.filters.ExpandProperties.ExpandProperties()",1,1,1
"org.apache.tools.ant.filters.ExpandProperties.ExpandProperties(Reader)",1,1,1
"org.apache.tools.ant.filters.ExpandProperties.add(PropertySet)",2,1,2
"org.apache.tools.ant.filters.ExpandProperties.chain(Reader)",1,1,1
"org.apache.tools.ant.filters.ExpandProperties.read()",3,5,6
"org.apache.tools.ant.filters.FixCrLfFilter.AddAsisRemove.equals(Object)",1,2,2
"org.apache.tools.ant.filters.FixCrLfFilter.AddAsisRemove.getValues()",1,1,1
"org.apache.tools.ant.filters.FixCrLfFilter.AddAsisRemove.hashCode()",1,1,1
"org.apache.tools.ant.filters.FixCrLfFilter.AddAsisRemove.newInstance()",1,1,1
"org.apache.tools.ant.filters.FixCrLfFilter.AddAsisRemove.newInstance(String)",1,1,1
"org.apache.tools.ant.filters.FixCrLfFilter.AddAsisRemove.resolve()",4,1,4
"org.apache.tools.ant.filters.FixCrLfFilter.AddEofFilter.AddEofFilter(Reader)",1,1,1
"org.apache.tools.ant.filters.FixCrLfFilter.AddEofFilter.read()",3,1,3
"org.apache.tools.ant.filters.FixCrLfFilter.AddTabFilter.AddTabFilter(Reader,int)",1,1,1
"org.apache.tools.ant.filters.FixCrLfFilter.AddTabFilter.read()",5,8,16
"org.apache.tools.ant.filters.FixCrLfFilter.CrLf.equals(Object)",1,2,2
"org.apache.tools.ant.filters.FixCrLfFilter.CrLf.getValues()",1,1,1
"org.apache.tools.ant.filters.FixCrLfFilter.CrLf.hashCode()",1,1,1
"org.apache.tools.ant.filters.FixCrLfFilter.CrLf.newInstance()",1,1,1
"org.apache.tools.ant.filters.FixCrLfFilter.CrLf.newInstance(String)",1,1,1
"org.apache.tools.ant.filters.FixCrLfFilter.CrLf.resolve()",5,4,8
"org.apache.tools.ant.filters.FixCrLfFilter.FixCrLfFilter()",1,1,1
"org.apache.tools.ant.filters.FixCrLfFilter.FixCrLfFilter(Reader)",1,1,1
"org.apache.tools.ant.filters.FixCrLfFilter.MaskJavaTabLiteralsFilter.MaskJavaTabLiteralsFilter(Reader)",1,1,1
"org.apache.tools.ant.filters.FixCrLfFilter.MaskJavaTabLiteralsFilter.editsBlocked()",1,2,2
"org.apache.tools.ant.filters.FixCrLfFilter.MaskJavaTabLiteralsFilter.read()",9,9,29
"org.apache.tools.ant.filters.FixCrLfFilter.NormalizeEolFilter.NormalizeEolFilter(Reader,String,boolean)",1,1,1
"org.apache.tools.ant.filters.FixCrLfFilter.NormalizeEolFilter.read()",2,10,19
"org.apache.tools.ant.filters.FixCrLfFilter.RemoveEofFilter.RemoveEofFilter(Reader)",1,1,2
"org.apache.tools.ant.filters.FixCrLfFilter.RemoveEofFilter.read()",2,1,3
"org.apache.tools.ant.filters.FixCrLfFilter.RemoveTabFilter.RemoveTabFilter(Reader,int)",1,1,1
"org.apache.tools.ant.filters.FixCrLfFilter.RemoveTabFilter.read()",2,4,6
"org.apache.tools.ant.filters.FixCrLfFilter.SimpleFilterReader.SimpleFilterReader(Reader)",1,1,1
"org.apache.tools.ant.filters.FixCrLfFilter.SimpleFilterReader.close()",1,1,1
"org.apache.tools.ant.filters.FixCrLfFilter.SimpleFilterReader.editsBlocked()",1,2,2
"org.apache.tools.ant.filters.FixCrLfFilter.SimpleFilterReader.mark(int)",1,1,1
"org.apache.tools.ant.filters.FixCrLfFilter.SimpleFilterReader.markSupported()",1,1,1
"org.apache.tools.ant.filters.FixCrLfFilter.SimpleFilterReader.push(char)",1,1,1
"org.apache.tools.ant.filters.FixCrLfFilter.SimpleFilterReader.push(char[])",1,1,1
"org.apache.tools.ant.filters.FixCrLfFilter.SimpleFilterReader.push(char[],int,int)",1,2,2
"org.apache.tools.ant.filters.FixCrLfFilter.SimpleFilterReader.push(int)",1,2,2
"org.apache.tools.ant.filters.FixCrLfFilter.SimpleFilterReader.read()",1,2,2
"org.apache.tools.ant.filters.FixCrLfFilter.SimpleFilterReader.read(char[])",1,1,1
"org.apache.tools.ant.filters.FixCrLfFilter.SimpleFilterReader.read(char[],int,int)",1,2,5
"org.apache.tools.ant.filters.FixCrLfFilter.SimpleFilterReader.ready()",1,1,1
"org.apache.tools.ant.filters.FixCrLfFilter.SimpleFilterReader.reset()",1,1,1
"org.apache.tools.ant.filters.FixCrLfFilter.SimpleFilterReader.skip(long)",1,1,1
"org.apache.tools.ant.filters.FixCrLfFilter.calculateEolString(CrLf)",3,1,5
"org.apache.tools.ant.filters.FixCrLfFilter.chain(Reader)",1,1,2
"org.apache.tools.ant.filters.FixCrLfFilter.getEof()",1,1,1
"org.apache.tools.ant.filters.FixCrLfFilter.getEol()",1,1,1
"org.apache.tools.ant.filters.FixCrLfFilter.getFixlast()",1,1,1
"org.apache.tools.ant.filters.FixCrLfFilter.getJavafiles()",1,1,1
"org.apache.tools.ant.filters.FixCrLfFilter.getTab()",1,1,1
"org.apache.tools.ant.filters.FixCrLfFilter.getTablength()",1,1,1
"org.apache.tools.ant.filters.FixCrLfFilter.initInternalFilters()",1,4,7
"org.apache.tools.ant.filters.FixCrLfFilter.read()",1,2,2
"org.apache.tools.ant.filters.FixCrLfFilter.setEof(AddAsisRemove)",1,1,1
"org.apache.tools.ant.filters.FixCrLfFilter.setEol(CrLf)",1,1,1
"org.apache.tools.ant.filters.FixCrLfFilter.setFixlast(boolean)",1,1,1
"org.apache.tools.ant.filters.FixCrLfFilter.setJavafiles(boolean)",1,1,1
"org.apache.tools.ant.filters.FixCrLfFilter.setTab(AddAsisRemove)",1,1,1
"org.apache.tools.ant.filters.FixCrLfFilter.setTablength(int)",2,1,3
"org.apache.tools.ant.filters.HeadFilter.HeadFilter()",1,1,1
"org.apache.tools.ant.filters.HeadFilter.HeadFilter(Reader)",1,1,1
"org.apache.tools.ant.filters.HeadFilter.chain(Reader)",1,1,1
"org.apache.tools.ant.filters.HeadFilter.getLines()",1,1,1
"org.apache.tools.ant.filters.HeadFilter.getSkip()",1,1,1
"org.apache.tools.ant.filters.HeadFilter.headFilter(String)",5,1,5
"org.apache.tools.ant.filters.HeadFilter.initialize()",5,5,5
"org.apache.tools.ant.filters.HeadFilter.read()",4,4,7
"org.apache.tools.ant.filters.HeadFilter.setLines(long)",1,1,1
"org.apache.tools.ant.filters.HeadFilter.setSkip(long)",1,1,1
"org.apache.tools.ant.filters.LineContains.Contains.getValue()",1,1,1
"org.apache.tools.ant.filters.LineContains.Contains.setValue(String)",1,1,1
"org.apache.tools.ant.filters.LineContains.LineContains()",1,1,1
"org.apache.tools.ant.filters.LineContains.LineContains(Reader)",1,1,1
"org.apache.tools.ant.filters.LineContains.addConfiguredContains(Contains)",1,1,1
"org.apache.tools.ant.filters.LineContains.chain(Reader)",1,1,1
"org.apache.tools.ant.filters.LineContains.getContains()",1,1,1
"org.apache.tools.ant.filters.LineContains.initialize()",1,5,5
"org.apache.tools.ant.filters.LineContains.isNegated()",1,1,1
"org.apache.tools.ant.filters.LineContains.read()",5,7,9
"org.apache.tools.ant.filters.LineContains.setContains(Vector<String>)",1,1,1
"org.apache.tools.ant.filters.LineContains.setNegate(boolean)",1,1,1
"org.apache.tools.ant.filters.LineContainsRegExp.LineContainsRegExp()",1,1,1
"org.apache.tools.ant.filters.LineContainsRegExp.LineContainsRegExp(Reader)",1,1,1
"org.apache.tools.ant.filters.LineContainsRegExp.addConfiguredRegexp(RegularExpression)",1,1,1
"org.apache.tools.ant.filters.LineContainsRegExp.chain(Reader)",1,1,1
"org.apache.tools.ant.filters.LineContainsRegExp.getRegexps()",1,1,1
"org.apache.tools.ant.filters.LineContainsRegExp.initialize()",1,6,6
"org.apache.tools.ant.filters.LineContainsRegExp.isNegated()",1,1,1
"org.apache.tools.ant.filters.LineContainsRegExp.read()",5,7,9
"org.apache.tools.ant.filters.LineContainsRegExp.setCaseSensitive(boolean)",1,1,1
"org.apache.tools.ant.filters.LineContainsRegExp.setNegate(boolean)",1,1,1
"org.apache.tools.ant.filters.LineContainsRegExp.setRegexps(Vector<RegularExpression>)",1,1,1
"org.apache.tools.ant.filters.PrefixLines.PrefixLines()",1,1,1
"org.apache.tools.ant.filters.PrefixLines.PrefixLines(Reader)",1,1,1
"org.apache.tools.ant.filters.PrefixLines.chain(Reader)",1,1,1
"org.apache.tools.ant.filters.PrefixLines.getPrefix()",1,1,1
"org.apache.tools.ant.filters.PrefixLines.initialize()",4,4,4
"org.apache.tools.ant.filters.PrefixLines.read()",3,5,8
"org.apache.tools.ant.filters.PrefixLines.setPrefix(String)",1,1,1
"org.apache.tools.ant.filters.ReplaceTokens.ReplaceTokens()",1,1,1
"org.apache.tools.ant.filters.ReplaceTokens.ReplaceTokens(Reader)",1,1,1
"org.apache.tools.ant.filters.ReplaceTokens.Token.getKey()",1,1,1
"org.apache.tools.ant.filters.ReplaceTokens.Token.getValue()",1,1,1
"org.apache.tools.ant.filters.ReplaceTokens.Token.setKey(String)",1,1,1
"org.apache.tools.ant.filters.ReplaceTokens.Token.setValue(String)",1,1,1
"org.apache.tools.ant.filters.ReplaceTokens.addConfiguredToken(Token)",1,1,1
"org.apache.tools.ant.filters.ReplaceTokens.chain(Reader)",1,1,1
"org.apache.tools.ant.filters.ReplaceTokens.getBeginToken()",1,1,1
"org.apache.tools.ant.filters.ReplaceTokens.getEndToken()",1,1,1
"org.apache.tools.ant.filters.ReplaceTokens.getFirstCharacterFromReadBuffer()",2,2,2
"org.apache.tools.ant.filters.ReplaceTokens.getProperties(Resource)",1,2,2
"org.apache.tools.ant.filters.ReplaceTokens.getTokens()",1,1,1
"org.apache.tools.ant.filters.ReplaceTokens.initialize()",1,9,9
"org.apache.tools.ant.filters.ReplaceTokens.makeTokensFromProperties(Resource)",1,2,2
"org.apache.tools.ant.filters.ReplaceTokens.read()",9,12,13
"org.apache.tools.ant.filters.ReplaceTokens.setBeginToken(String)",1,1,1
"org.apache.tools.ant.filters.ReplaceTokens.setEndToken(String)",1,1,1
"org.apache.tools.ant.filters.ReplaceTokens.setPropertiesResource(Resource)",1,1,1
"org.apache.tools.ant.filters.ReplaceTokens.setTokens(Hashtable<String, String>)",1,1,1
"org.apache.tools.ant.filters.SortFilter.SortFilter()",1,1,1
"org.apache.tools.ant.filters.SortFilter.SortFilter(Reader)",1,1,1
"org.apache.tools.ant.filters.SortFilter.add(Comparator<? super String>)",2,1,3
"org.apache.tools.ant.filters.SortFilter.chain(Reader)",1,1,1
"org.apache.tools.ant.filters.SortFilter.getComparator()",1,1,1
"org.apache.tools.ant.filters.SortFilter.initialize()",5,5,10
"org.apache.tools.ant.filters.SortFilter.isReverse()",1,1,1
"org.apache.tools.ant.filters.SortFilter.read()",3,8,8
"org.apache.tools.ant.filters.SortFilter.setComparator(Comparator<? super String>)",1,1,1
"org.apache.tools.ant.filters.SortFilter.setReverse(boolean)",1,1,1
"org.apache.tools.ant.filters.SortFilter.sort()",1,3,3
"org.apache.tools.ant.filters.StringInputStream.StringInputStream(String)",1,1,1
"org.apache.tools.ant.filters.StringInputStream.StringInputStream(String,String)",1,1,1
"org.apache.tools.ant.filters.StripJavaComments.StripJavaComments()",1,1,1
"org.apache.tools.ant.filters.StripJavaComments.StripJavaComments(Reader)",1,1,1
"org.apache.tools.ant.filters.StripJavaComments.chain(Reader)",1,1,1
"org.apache.tools.ant.filters.StripJavaComments.read()",11,13,16
"org.apache.tools.ant.filters.StripLineBreaks.StripLineBreaks()",1,1,1
"org.apache.tools.ant.filters.StripLineBreaks.StripLineBreaks(Reader)",1,1,1
"org.apache.tools.ant.filters.StripLineBreaks.chain(Reader)",1,1,1
"org.apache.tools.ant.filters.StripLineBreaks.getLineBreaks()",1,1,1
"org.apache.tools.ant.filters.StripLineBreaks.initialize()",4,4,5
"org.apache.tools.ant.filters.StripLineBreaks.read()",3,4,4
"org.apache.tools.ant.filters.StripLineBreaks.setLineBreaks(String)",1,1,1
"org.apache.tools.ant.filters.StripLineComments.Comment.addText(String)",1,1,1
"org.apache.tools.ant.filters.StripLineComments.Comment.getValue()",1,1,1
"org.apache.tools.ant.filters.StripLineComments.Comment.setValue(String)",2,1,2
"org.apache.tools.ant.filters.StripLineComments.StripLineComments()",1,1,1
"org.apache.tools.ant.filters.StripLineComments.StripLineComments(Reader)",1,1,1
"org.apache.tools.ant.filters.StripLineComments.addConfiguredComment(Comment)",1,1,1
"org.apache.tools.ant.filters.StripLineComments.chain(Reader)",1,1,1
"org.apache.tools.ant.filters.StripLineComments.getComments()",1,1,1
"org.apache.tools.ant.filters.StripLineComments.initialize()",1,4,4
"org.apache.tools.ant.filters.StripLineComments.read()",7,8,9
"org.apache.tools.ant.filters.StripLineComments.setComments(Vector<String>)",1,1,1
"org.apache.tools.ant.filters.SuffixLines.SuffixLines()",1,1,1
"org.apache.tools.ant.filters.SuffixLines.SuffixLines(Reader)",1,1,1
"org.apache.tools.ant.filters.SuffixLines.chain(Reader)",1,1,1
"org.apache.tools.ant.filters.SuffixLines.getSuffix()",1,1,1
"org.apache.tools.ant.filters.SuffixLines.initialize()",4,4,4
"org.apache.tools.ant.filters.SuffixLines.read()",3,7,10
"org.apache.tools.ant.filters.SuffixLines.setSuffix(String)",1,1,1
"org.apache.tools.ant.filters.TabsToSpaces.TabsToSpaces()",1,1,1
"org.apache.tools.ant.filters.TabsToSpaces.TabsToSpaces(Reader)",1,1,1
"org.apache.tools.ant.filters.TabsToSpaces.chain(Reader)",1,1,1
"org.apache.tools.ant.filters.TabsToSpaces.getTablength()",1,1,1
"org.apache.tools.ant.filters.TabsToSpaces.initialize()",5,5,5
"org.apache.tools.ant.filters.TabsToSpaces.read()",1,3,4
"org.apache.tools.ant.filters.TabsToSpaces.setTablength(int)",1,1,1
"org.apache.tools.ant.filters.TailFilter.TailFilter()",1,1,1
"org.apache.tools.ant.filters.TailFilter.TailFilter(Reader)",1,1,1
"org.apache.tools.ant.filters.TailFilter.chain(Reader)",1,1,1
"org.apache.tools.ant.filters.TailFilter.getLines()",1,1,1
"org.apache.tools.ant.filters.TailFilter.getSkip()",1,1,1
"org.apache.tools.ant.filters.TailFilter.initialize()",5,5,5
"org.apache.tools.ant.filters.TailFilter.read()",3,4,6
"org.apache.tools.ant.filters.TailFilter.setLines(long)",1,1,1
"org.apache.tools.ant.filters.TailFilter.setSkip(long)",1,1,1
"org.apache.tools.ant.filters.TailFilter.tailFilter(String)",6,11,12
"org.apache.tools.ant.filters.TokenFilter.ChainableReaderFilter.chain(Reader)",1,2,2
"org.apache.tools.ant.filters.TokenFilter.ChainableReaderFilter.setByLine(boolean)",1,1,1
"org.apache.tools.ant.filters.TokenFilter.ContainsRegex.filter(String)",3,1,3
"org.apache.tools.ant.filters.TokenFilter.ContainsRegex.initialize()",4,1,4
"org.apache.tools.ant.filters.TokenFilter.ContainsRegex.setFlags(String)",1,1,1
"org.apache.tools.ant.filters.TokenFilter.ContainsRegex.setPattern(String)",1,1,1
"org.apache.tools.ant.filters.TokenFilter.ContainsRegex.setReplace(String)",1,1,1
"org.apache.tools.ant.filters.TokenFilter.ContainsString.filter(String)",3,1,3
"org.apache.tools.ant.filters.TokenFilter.ContainsString.setContains(String)",1,1,1
"org.apache.tools.ant.filters.TokenFilter.DeleteCharacters.chain(Reader)",4,2,4
"org.apache.tools.ant.filters.TokenFilter.DeleteCharacters.filter(String)",1,3,3
"org.apache.tools.ant.filters.TokenFilter.DeleteCharacters.isDeleteCharacter(char)",3,2,3
"org.apache.tools.ant.filters.TokenFilter.DeleteCharacters.setChars(String)",1,1,1
"org.apache.tools.ant.filters.TokenFilter.IgnoreBlank.filter(String)",2,1,2
"org.apache.tools.ant.filters.TokenFilter.ReplaceRegex.filter(String)",2,1,2
"org.apache.tools.ant.filters.TokenFilter.ReplaceRegex.initialize()",3,1,4
"org.apache.tools.ant.filters.TokenFilter.ReplaceRegex.setFlags(String)",1,1,1
"org.apache.tools.ant.filters.TokenFilter.ReplaceRegex.setPattern(String)",1,1,1
"org.apache.tools.ant.filters.TokenFilter.ReplaceRegex.setReplace(String)",1,1,1
"org.apache.tools.ant.filters.TokenFilter.ReplaceString.filter(String)",2,5,6
"org.apache.tools.ant.filters.TokenFilter.ReplaceString.setFrom(String)",1,1,1
"org.apache.tools.ant.filters.TokenFilter.ReplaceString.setTo(String)",1,1,1
"org.apache.tools.ant.filters.TokenFilter.TokenFilter()",1,1,1
"org.apache.tools.ant.filters.TokenFilter.TokenFilter(Reader)",1,1,1
"org.apache.tools.ant.filters.TokenFilter.Trim.filter(String)",1,1,1
"org.apache.tools.ant.filters.TokenFilter.add(Filter)",1,1,1
"org.apache.tools.ant.filters.TokenFilter.add(Tokenizer)",2,1,2
"org.apache.tools.ant.filters.TokenFilter.addContainsRegex(ContainsRegex)",1,1,1
"org.apache.tools.ant.filters.TokenFilter.addContainsString(ContainsString)",1,1,1
"org.apache.tools.ant.filters.TokenFilter.addDeleteCharacters(DeleteCharacters)",1,1,1
"org.apache.tools.ant.filters.TokenFilter.addFileTokenizer(FileTokenizer)",1,1,1
"org.apache.tools.ant.filters.TokenFilter.addIgnoreBlank(IgnoreBlank)",1,1,1
"org.apache.tools.ant.filters.TokenFilter.addLineTokenizer(LineTokenizer)",1,1,1
"org.apache.tools.ant.filters.TokenFilter.addReplaceRegex(ReplaceRegex)",1,1,1
"org.apache.tools.ant.filters.TokenFilter.addReplaceString(ReplaceString)",1,1,1
"org.apache.tools.ant.filters.TokenFilter.addStringTokenizer(StringTokenizer)",1,1,1
"org.apache.tools.ant.filters.TokenFilter.addTrim(Trim)",1,1,1
"org.apache.tools.ant.filters.TokenFilter.chain(Reader)",1,1,1
"org.apache.tools.ant.filters.TokenFilter.convertRegexOptions(String)",1,1,1
"org.apache.tools.ant.filters.TokenFilter.read()",5,7,11
"org.apache.tools.ant.filters.TokenFilter.resolveBackSlash(String)",1,1,1
"org.apache.tools.ant.filters.TokenFilter.setDelimOutput(String)",1,1,1
"org.apache.tools.ant.filters.UniqFilter.filter(String)",1,2,3
"org.apache.tools.ant.filters.util.ChainReaderHelper.cleanUpClassLoaders(List<AntClassLoader>)",1,2,2
"org.apache.tools.ant.filters.util.ChainReaderHelper.expandReader(AntFilterReader,Reader,List<AntClassLoader>)",7,7,14
"org.apache.tools.ant.filters.util.ChainReaderHelper.getAssembledReader()",2,10,11
"org.apache.tools.ant.filters.util.ChainReaderHelper.getProject()",1,1,1
"org.apache.tools.ant.filters.util.ChainReaderHelper.readFully(Reader)",1,1,1
"org.apache.tools.ant.filters.util.ChainReaderHelper.setBufferSize(int)",1,1,1
"org.apache.tools.ant.filters.util.ChainReaderHelper.setFilterChains(Vector<FilterChain>)",1,1,1
"org.apache.tools.ant.filters.util.ChainReaderHelper.setPrimaryReader(Reader)",1,1,1
"org.apache.tools.ant.filters.util.ChainReaderHelper.setProject(Project)",1,1,1
"org.apache.tools.ant.filters.util.ChainReaderHelper.setProjectOnObject(Object)",3,2,3
"org.apache.tools.ant.filters.util.JavaClassHelper.getConstants(byte[])",1,6,6
"org.apache.tools.ant.helper.AntXMLContext.AntXMLContext(Project)",1,1,1
"org.apache.tools.ant.helper.AntXMLContext.addTarget(Target)",1,1,1
"org.apache.tools.ant.helper.AntXMLContext.configureId(Object,Attributes)",1,2,2
"org.apache.tools.ant.helper.AntXMLContext.currentWrapper()",2,1,2
"org.apache.tools.ant.helper.AntXMLContext.endPrefixMapping(String)",2,2,3
"org.apache.tools.ant.helper.AntXMLContext.getBuildFile()",1,1,1
"org.apache.tools.ant.helper.AntXMLContext.getBuildFileParent()",1,1,1
"org.apache.tools.ant.helper.AntXMLContext.getBuildFileParentURL()",1,1,1
"org.apache.tools.ant.helper.AntXMLContext.getBuildFileURL()",1,1,1
"org.apache.tools.ant.helper.AntXMLContext.getCurrentProjectName()",1,1,1
"org.apache.tools.ant.helper.AntXMLContext.getCurrentTarget()",1,1,1
"org.apache.tools.ant.helper.AntXMLContext.getCurrentTargets()",1,1,1
