Complexity metrics,Qua, 13 dez 2017 11:02:27 BRST
"org.argouml.application.api.Configuration.makeKey(ConfigurationKey,String)",1,1,1
"org.argouml.application.api.Configuration.makeKey(String)",1,1,1
"org.argouml.application.api.Configuration.makeKey(String,String)",1,1,1
"org.argouml.application.api.Configuration.makeKey(String,String,String)",1,1,1
"org.argouml.application.api.Configuration.makeKey(String,String,String,String)",1,1,1
"org.argouml.application.api.Configuration.makeKey(String,String,String,String,String)",1,1,1
"org.argouml.application.api.Configuration.removeListener(ConfigurationKey,PropertyChangeListener)",1,1,1
"org.argouml.application.api.Configuration.removeListener(PropertyChangeListener)",1,1,1
"org.argouml.application.api.Configuration.save()",1,1,1
"org.argouml.application.api.Configuration.save(boolean)",1,1,1
"org.argouml.application.api.Configuration.setBoolean(ConfigurationKey,boolean)",1,1,1
"org.argouml.application.api.Configuration.setDouble(ConfigurationKey,double)",1,1,1
"org.argouml.application.api.Configuration.setInteger(ConfigurationKey,int)",1,1,1
"org.argouml.application.api.Configuration.setString(ConfigurationKey,String)",1,1,1
"org.argouml.application.api.Notation.Notation()",1,1,1
"org.argouml.application.api.Notation.finalize()",1,1,1
"org.argouml.application.api.Notation.findNotation(String)",1,1,1
"org.argouml.application.api.Notation.generate(NotationContext,Object)",22,20,22
"org.argouml.application.api.Notation.generate(NotationContext,Object,boolean)",4,3,4
"org.argouml.application.api.Notation.generateAction(NotationContext,MAction)",1,1,1
"org.argouml.application.api.Notation.generateAction(NotationName,MAction)",1,1,1
"org.argouml.application.api.Notation.generateAssociation(NotationContext,MAssociation)",1,1,1
"org.argouml.application.api.Notation.generateAssociation(NotationName,MAssociation)",1,1,1
"org.argouml.application.api.Notation.generateAssociationEnd(NotationContext,MAssociationEnd)",1,1,1
"org.argouml.application.api.Notation.generateAssociationEnd(NotationName,MAssociationEnd)",1,1,1
"org.argouml.application.api.Notation.generateAttribute(NotationContext,MAttribute)",1,1,1
"org.argouml.application.api.Notation.generateAttribute(NotationContext,MAttribute,boolean)",1,1,1
"org.argouml.application.api.Notation.generateAttribute(NotationName,MAttribute,boolean)",1,1,1
"org.argouml.application.api.Notation.generateClassifier(NotationContext,MClassifier)",1,1,1
"org.argouml.application.api.Notation.generateClassifier(NotationName,MClassifier)",1,1,1
"org.argouml.application.api.Notation.generateClassifierRef(NotationContext,MClassifier)",1,1,1
"org.argouml.application.api.Notation.generateClassifierRef(NotationName,MClassifier)",1,1,1
"org.argouml.application.api.Notation.generateExpression(NotationName,MExpression)",1,1,1
"org.argouml.application.api.Notation.generateGuard(NotationContext,MGuard)",1,1,1
"org.argouml.application.api.Notation.generateGuard(NotationName,MGuard)",1,1,1
"org.argouml.application.api.Notation.generateMessage(NotationContext,MMessage)",1,1,1
"org.argouml.application.api.Notation.generateMessage(NotationName,MMessage)",1,1,1
"org.argouml.application.api.Notation.generateMultiplicity(NotationContext,MMultiplicity)",1,1,1
"org.argouml.application.api.Notation.generateMultiplicity(NotationName,MMultiplicity)",1,1,1
"org.argouml.application.api.Notation.generateName(NotationName,String)",1,1,1
"org.argouml.application.api.Notation.generateOperation(NotationContext,MOperation)",1,1,1
"org.argouml.application.api.Notation.generateOperation(NotationContext,MOperation,boolean)",1,1,1
"org.argouml.application.api.Notation.generateOperation(NotationName,MOperation,boolean)",1,1,1
"org.argouml.application.api.Notation.generatePackage(NotationContext,MPackage)",1,1,1
"org.argouml.application.api.Notation.generatePackage(NotationName,MPackage)",1,1,1
"org.argouml.application.api.Notation.generateParameter(NotationContext,MParameter)",1,1,1
"org.argouml.application.api.Notation.generateParameter(NotationName,MParameter)",1,1,1
"org.argouml.application.api.Notation.generateState(NotationContext,MState)",1,1,1
"org.argouml.application.api.Notation.generateState(NotationName,MState)",1,1,1
"org.argouml.application.api.Notation.generateStateBody(NotationContext,MState)",1,1,1
"org.argouml.application.api.Notation.generateStateBody(NotationName,MState)",1,1,1
"org.argouml.application.api.Notation.generateStereotype(NotationContext,MStereotype)",1,1,1
"org.argouml.application.api.Notation.generateStereotype(NotationName,MStereotype)",1,1,1
"org.argouml.application.api.Notation.generateTaggedValue(NotationContext,MTaggedValue)",1,1,1
"org.argouml.application.api.Notation.generateTaggedValue(NotationName,MTaggedValue)",1,1,1
"org.argouml.application.api.Notation.generateTransition(NotationContext,MTransition)",1,1,1
"org.argouml.application.api.Notation.generateTransition(NotationName,MTransition)",1,1,1
"org.argouml.application.api.Notation.getAvailableNotations()",1,1,1
"org.argouml.application.api.Notation.getDefaultNotation()",1,1,1
"org.argouml.application.api.Notation.getDefaultProvider()",1,1,1
"org.argouml.application.api.Notation.getInstance()",1,1,1
"org.argouml.application.api.Notation.getNotation(NotationContext)",2,1,2
"org.argouml.application.api.Notation.getProvider(NotationName)",1,1,1
"org.argouml.application.api.Notation.getUseGuillemots()",1,1,1
"org.argouml.application.api.Notation.makeNotation(String)",1,1,1
"org.argouml.application.api.Notation.makeNotation(String,Icon)",1,1,1
"org.argouml.application.api.Notation.makeNotation(String,String)",1,1,1
"org.argouml.application.api.Notation.makeNotation(String,String,Icon)",1,1,1
"org.argouml.application.api.Notation.propertyChange(PropertyChangeEvent)",1,1,1
"org.argouml.application.api.Notation.setDefaultNotation(NotationName)",1,1,1
"org.argouml.application.api.Notation.setUseGuillemots(boolean)",1,1,1
"org.argouml.application.configuration.ConfigurationFactory.ConfigurationFactory()",1,1,1
"org.argouml.application.configuration.ConfigurationFactory.getConfigurationHandler()",1,1,1
"org.argouml.application.configuration.ConfigurationFactory.getInstance()",1,1,1
"org.argouml.application.configuration.ConfigurationHandler.ConfigurationHandler()",1,1,1
"org.argouml.application.configuration.ConfigurationHandler.ConfigurationHandler(boolean)",1,1,1
"org.argouml.application.configuration.ConfigurationHandler.addListener(ConfigurationKey,PropertyChangeListener)",1,1,2
"org.argouml.application.configuration.ConfigurationHandler.addListener(PropertyChangeListener)",1,1,2
"org.argouml.application.configuration.ConfigurationHandler.getBoolean(ConfigurationKey,boolean)",1,1,1
"org.argouml.application.configuration.ConfigurationHandler.getDouble(ConfigurationKey,double)",1,1,2
"org.argouml.application.configuration.ConfigurationHandler.getInteger(ConfigurationKey,int)",1,1,2
"org.argouml.application.configuration.ConfigurationHandler.getString(ConfigurationKey,String)",1,1,1
"org.argouml.application.configuration.ConfigurationHandler.hasKey(ConfigurationKey)",1,1,1
"org.argouml.application.configuration.ConfigurationHandler.isChangeable()",1,1,1
"org.argouml.application.configuration.ConfigurationHandler.isChanged()",1,1,1
"org.argouml.application.configuration.ConfigurationHandler.isLoaded()",1,1,1
"org.argouml.application.configuration.ConfigurationHandler.load(File)",2,3,4
"org.argouml.application.configuration.ConfigurationHandler.load(URL)",2,3,4
"org.argouml.application.configuration.ConfigurationHandler.loadDefault()",2,2,4
"org.argouml.application.configuration.ConfigurationHandler.loadIfNecessary()",1,2,2
"org.argouml.application.configuration.ConfigurationHandler.loadUnspecified()",1,1,1
"org.argouml.application.configuration.ConfigurationHandler.removeListener(ConfigurationKey,PropertyChangeListener)",1,2,2
"org.argouml.application.configuration.ConfigurationHandler.removeListener(PropertyChangeListener)",1,2,2
"org.argouml.application.configuration.ConfigurationHandler.save(File)",2,3,4
"org.argouml.application.configuration.ConfigurationHandler.save(URL)",2,3,4
"org.argouml.application.configuration.ConfigurationHandler.saveDefault()",1,1,1
"org.argouml.application.configuration.ConfigurationHandler.saveDefault(boolean)",5,4,6
"org.argouml.application.configuration.ConfigurationHandler.saveUnspecified()",1,1,1
"org.argouml.application.configuration.ConfigurationHandler.setBoolean(ConfigurationKey,boolean)",1,1,1
"org.argouml.application.configuration.ConfigurationHandler.setDouble(ConfigurationKey,double)",1,1,1
"org.argouml.application.configuration.ConfigurationHandler.setInteger(ConfigurationKey,int)",1,1,1
"org.argouml.application.configuration.ConfigurationHandler.setString(ConfigurationKey,String)",1,1,1
"org.argouml.application.configuration.ConfigurationHandler.workerSetValue(ConfigurationKey,String)",1,2,2
"org.argouml.application.configuration.ConfigurationKeyImpl.ConfigurationKeyImpl(ConfigurationKey,String)",1,1,1
"org.argouml.application.configuration.ConfigurationKeyImpl.ConfigurationKeyImpl(String)",1,1,1
"org.argouml.application.configuration.ConfigurationKeyImpl.ConfigurationKeyImpl(String,String)",1,1,1
"org.argouml.application.configuration.ConfigurationKeyImpl.ConfigurationKeyImpl(String,String,String)",1,1,1
"org.argouml.application.configuration.ConfigurationKeyImpl.ConfigurationKeyImpl(String,String,String,String)",1,1,1
"org.argouml.application.configuration.ConfigurationKeyImpl.ConfigurationKeyImpl(String,String,String,String,String)",1,1,1
"org.argouml.application.configuration.ConfigurationKeyImpl.getKey()",1,1,1
"org.argouml.application.configuration.ConfigurationKeyImpl.isChangedProperty(PropertyChangeEvent)",2,1,2
"org.argouml.application.configuration.ConfigurationKeyImpl.toString()",1,1,1
"org.argouml.application.configuration.ConfigurationProperties.ConfigurationProperties()",1,2,2
"org.argouml.application.configuration.ConfigurationProperties.getDefaultPath()",1,1,1
"org.argouml.application.configuration.ConfigurationProperties.getValue(String,String)",1,1,2
"org.argouml.application.configuration.ConfigurationProperties.loadFile(File)",1,3,3
"org.argouml.application.configuration.ConfigurationProperties.loadURL(URL)",1,3,3
"org.argouml.application.configuration.ConfigurationProperties.saveFile(File)",1,3,3
"org.argouml.application.configuration.ConfigurationProperties.saveURL(URL)",1,1,1
"org.argouml.application.configuration.ConfigurationProperties.setValue(String,String)",1,1,1
"org.argouml.application.events.ArgoEvent.ArgoEvent(int,Object)",1,1,1
"org.argouml.application.events.ArgoEvent.getEventEndRange()",1,2,2
"org.argouml.application.events.ArgoEvent.getEventStartRange()",1,1,1
"org.argouml.application.events.ArgoEvent.getEventType()",1,1,1
"org.argouml.application.events.ArgoEvent.toString()",1,1,1
"org.argouml.application.events.ArgoEventPump.ArgoEventPump()",1,1,1
"org.argouml.application.events.ArgoEventPump.Pair.Pair(int,ArgoEventListener)",1,1,1
"org.argouml.application.events.ArgoEventPump.Pair.getEventType()",1,1,1
"org.argouml.application.events.ArgoEventPump.Pair.getListener()",1,1,1
"org.argouml.application.events.ArgoEventPump.Pair.toString()",1,1,1
"org.argouml.application.events.ArgoEventPump.addListener(ArgoEventListener)",1,1,1
"org.argouml.application.events.ArgoEventPump.addListener(int,ArgoEventListener)",1,1,1
"org.argouml.application.events.ArgoEventPump.doAddListener(int,ArgoEventListener)",1,1,2
"org.argouml.application.events.ArgoEventPump.doFireEvent(ArgoEvent)",2,5,6
"org.argouml.application.events.ArgoEventPump.doRemoveListener(int,ArgoEventListener)",2,1,2
"org.argouml.application.events.ArgoEventPump.fireEvent(ArgoEvent)",1,1,1
"org.argouml.application.events.ArgoEventPump.getInstance()",1,1,1
"org.argouml.application.events.ArgoEventPump.handleFireEvent(ArgoEvent,ArgoEventListener)",1,10,10
"org.argouml.application.events.ArgoEventPump.handleFireModuleEvent(ArgoModuleEvent,ArgoModuleEventListener)",2,2,6
"org.argouml.application.events.ArgoEventPump.handleFireNotationEvent(ArgoNotationEvent,ArgoNotationEventListener)",2,2,7
"org.argouml.application.events.ArgoEventPump.removeListener(ArgoEventListener)",1,1,1
"org.argouml.application.events.ArgoEventPump.removeListener(int,ArgoEventListener)",1,1,1
"org.argouml.application.events.ArgoModuleEvent.ArgoModuleEvent(int,ArgoModule)",1,1,1
"org.argouml.application.events.ArgoModuleEvent.getEventStartRange()",1,1,1
"org.argouml.application.events.ArgoNotationEvent.ArgoNotationEvent(int,Object)",1,1,1
"org.argouml.application.events.ArgoNotationEvent.getEventStartRange()",1,1,1
"org.argouml.application.helpers.DiagramHelper.DiagramHelper()",1,1,1
"org.argouml.application.helpers.DiagramHelper.getDiagramMenuItem()",1,1,1
"org.argouml.application.helpers.DiagramHelper.getDiagramResourceBundleKey()",1,1,1
"org.argouml.application.helpers.DiagramHelper.getModulePopUpActions(Vector,Object)",1,1,1
"org.argouml.application.helpers.DiagramHelper.inContext(Object[])",1,1,1
"org.argouml.application.helpers.DiagramHelper.initializeModule()",1,1,1
"org.argouml.application.helpers.DiagramHelper.isModuleEnabled()",1,1,1
"org.argouml.application.helpers.DiagramHelper.setModuleEnabled(boolean)",1,1,1
"org.argouml.application.helpers.DiagramHelper.shutdownModule()",1,1,1
"org.argouml.application.helpers.ModuleHelper.ModuleHelper()",1,1,1
"org.argouml.application.helpers.ModuleHelper.getModulePopUpActions(Vector,Object)",1,1,1
"org.argouml.application.helpers.ModuleHelper.isModuleEnabled()",1,1,1
"org.argouml.application.helpers.ModuleHelper.setModuleEnabled(boolean)",1,1,1
"org.argouml.application.helpers.ResourceBundleHelper.getModulePopUpActions(Vector,Object)",1,1,1
"org.argouml.application.helpers.ResourceBundleHelper.inContext(Object[])",1,1,1
"org.argouml.application.helpers.ResourceBundleHelper.initializeModule()",1,1,1
"org.argouml.application.helpers.ResourceBundleHelper.isModuleEnabled()",1,1,1
"org.argouml.application.helpers.ResourceBundleHelper.setModuleEnabled(boolean)",1,1,1
"org.argouml.application.helpers.ResourceBundleHelper.shutdownModule()",1,1,1
"org.argouml.application.helpers.SettingsTabHelper.SettingsTabHelper()",1,1,1
"org.argouml.application.helpers.SettingsTabHelper.createCheckBox(String)",1,1,1
"org.argouml.application.helpers.SettingsTabHelper.createLabel(String)",1,1,1
"org.argouml.application.helpers.SettingsTabHelper.createTextField()",1,1,1
"org.argouml.application.helpers.SettingsTabHelper.getModulePopUpActions(Vector,Object)",1,1,1
"org.argouml.application.helpers.SettingsTabHelper.getSettingsTabPanel()",1,1,1
"org.argouml.application.helpers.SettingsTabHelper.getTabPanel()",1,1,1
"org.argouml.application.helpers.SettingsTabHelper.getTabResourceBundleKey()",1,1,1
"org.argouml.application.helpers.SettingsTabHelper.inContext(Object[])",1,1,1
"org.argouml.application.helpers.SettingsTabHelper.initializeModule()",1,1,1
"org.argouml.application.helpers.SettingsTabHelper.isModuleEnabled()",1,1,1
"org.argouml.application.helpers.SettingsTabHelper.localize(String)",1,1,1
"org.argouml.application.helpers.SettingsTabHelper.setModuleEnabled(boolean)",1,1,1
"org.argouml.application.helpers.SettingsTabHelper.shutdownModule()",1,1,1
"org.argouml.application.modules.ModuleLoader.JarFileFilter.accept(File)",1,3,3
"org.argouml.application.modules.ModuleLoader.ModuleLoader()",1,5,5
"org.argouml.application.modules.ModuleLoader.activateModule(ArgoModule)",1,1,1
"org.argouml.application.modules.ModuleLoader.addModuleAction(Vector,Object)",1,4,4
"org.argouml.application.modules.ModuleLoader.classImplements(Object,Class)",2,1,2
"org.argouml.application.modules.ModuleLoader.fireEvent(int,ArgoModule)",1,1,1
"org.argouml.application.modules.ModuleLoader.getArgoHome()",1,1,1
"org.argouml.application.modules.ModuleLoader.getArgoRoot()",1,1,1
"org.argouml.application.modules.ModuleLoader.getCurrentSingleton(Class)",1,1,2
"org.argouml.application.modules.ModuleLoader.getInstance()",1,1,2
"org.argouml.application.modules.ModuleLoader.getModule(String)",4,3,4
"org.argouml.application.modules.ModuleLoader.getModules()",1,1,1
"org.argouml.application.modules.ModuleLoader.getPlugin(Class,Object[])",7,6,7
"org.argouml.application.modules.ModuleLoader.getPlugins(Class,Object[])",3,8,8
"org.argouml.application.modules.ModuleLoader.hasPlugin(Class,Object[])",8,7,8
"org.argouml.application.modules.ModuleLoader.initialize()",1,1,1
"org.argouml.application.modules.ModuleLoader.keyAlreadyLoaded(String)",4,3,4
"org.argouml.application.modules.ModuleLoader.loadClassFromLoader(ClassLoader,String,String,boolean)",2,9,11
"org.argouml.application.modules.ModuleLoader.loadInternalModules(Class,String)",1,2,2
"org.argouml.application.modules.ModuleLoader.loadModules(InputStream,String)",6,6,10
"org.argouml.application.modules.ModuleLoader.loadModulesFromClassPathJars()",1,3,3
"org.argouml.application.modules.ModuleLoader.loadModulesFromExtensionDir()",1,4,4
"org.argouml.application.modules.ModuleLoader.loadModulesFromFile(String)",1,2,2
"org.argouml.application.modules.ModuleLoader.loadModulesFromJar(String)",1,2,2
"org.argouml.application.modules.ModuleLoader.loadModulesFromNamedDirectory(String)",1,4,5
"org.argouml.application.modules.ModuleLoader.loadModulesFromPredefinedLists()",1,7,7
"org.argouml.application.modules.ModuleLoader.processJarFile(ClassLoader,File)",1,11,11
"org.argouml.application.modules.ModuleLoader.requestNewSingleton(Class,ArgoSingletonModule)",3,2,4
"org.argouml.application.modules.ModuleLoader.shutdown()",1,4,4
"org.argouml.application.notation.NotationNameImpl.NotationNameImpl(String)",1,1,1
"org.argouml.application.notation.NotationNameImpl.NotationNameImpl(String,Icon)",1,1,1
"org.argouml.application.notation.NotationNameImpl.NotationNameImpl(String,String)",1,1,1
"org.argouml.application.notation.NotationNameImpl.NotationNameImpl(String,String,Icon)",1,1,1
"org.argouml.application.notation.NotationNameImpl.equals(NotationName)",2,2,2
"org.argouml.application.notation.NotationNameImpl.findNotation(String)",3,3,4
"org.argouml.application.notation.NotationNameImpl.fireEvent(int,NotationName)",1,1,1
"org.argouml.application.notation.NotationNameImpl.getAvailableNotations()",1,1,1
"org.argouml.application.notation.NotationNameImpl.getConfigurationValue()",1,1,1
"org.argouml.application.notation.NotationNameImpl.getIcon()",1,1,1
"org.argouml.application.notation.NotationNameImpl.getName()",1,1,1
"org.argouml.application.notation.NotationNameImpl.getNotation(String)",1,1,1
"org.argouml.application.notation.NotationNameImpl.getNotation(String,String)",1,1,1
"org.argouml.application.notation.NotationNameImpl.getNotationNameString(String,String)",3,1,3
"org.argouml.application.notation.NotationNameImpl.getTitle()",1,1,1
"org.argouml.application.notation.NotationNameImpl.getVersion()",1,1,1
"org.argouml.application.notation.NotationNameImpl.makeNotation(String,String,Icon)",1,2,2
"org.argouml.application.notation.NotationNameImpl.moduleDisabled(ArgoModuleEvent)",1,1,1
"org.argouml.application.notation.NotationNameImpl.moduleEnabled(ArgoModuleEvent)",1,1,1
"org.argouml.application.notation.NotationNameImpl.moduleLoaded(ArgoModuleEvent)",1,1,1
"org.argouml.application.notation.NotationNameImpl.moduleUnloaded(ArgoModuleEvent)",1,1,1
"org.argouml.application.notation.NotationNameImpl.toString()",2,1,2
"org.argouml.application.notation.NotationProviderFactory.NotationProviderFactory()",1,3,3
"org.argouml.application.notation.NotationProviderFactory.finalize()",1,1,1
"org.argouml.application.notation.NotationProviderFactory.fireEvent(int,NotationProvider)",1,1,1
"org.argouml.application.notation.NotationProviderFactory.getDefaultProvider()",1,2,2
"org.argouml.application.notation.NotationProviderFactory.getInstance()",1,1,1
"org.argouml.application.notation.NotationProviderFactory.getNotations()",1,2,2
"org.argouml.application.notation.NotationProviderFactory.getProvider(NotationName)",3,4,4
"org.argouml.application.notation.NotationProviderFactory.getProviders()",1,1,1
"org.argouml.application.notation.NotationProviderFactory.moduleDisabled(ArgoModuleEvent)",1,1,1
"org.argouml.application.notation.NotationProviderFactory.moduleEnabled(ArgoModuleEvent)",1,1,1
"org.argouml.application.notation.NotationProviderFactory.moduleLoaded(ArgoModuleEvent)",1,2,2
"org.argouml.application.notation.NotationProviderFactory.moduleUnloaded(ArgoModuleEvent)",1,1,1
"org.argouml.application.security.ArgoAwtExceptionHandler.ArgoAwtExceptionHandler()",1,1,1
"org.argouml.application.security.ArgoAwtExceptionHandler.handle(Throwable)",2,1,2
"org.argouml.application.security.ArgoClassLoader.ArgoClassLoader(JarFile)",1,1,1
"org.argouml.application.security.ArgoClassLoader.loadClass(String)",1,4,5
"org.argouml.application.security.ArgoJarClassLoader.ArgoJarClassLoader(URL)",1,1,1
"org.argouml.application.security.ArgoJarClassLoader.getMainClassName()",1,2,2
"org.argouml.application.security.ArgoJarClassLoader.invokeClass(String,String[])",2,3,5
"org.argouml.application.security.ArgoSecurityException.ArgoSecurityException()",1,1,1
"org.argouml.application.security.ArgoSecurityException.ArgoSecurityException(boolean)",1,1,1
"org.argouml.application.security.ArgoSecurityException.isHidden()",1,1,1
"org.argouml.application.security.ArgoSecurityManager.ArgoSecurityManager()",1,1,1
"org.argouml.application.security.ArgoSecurityManager.checkPermission(Permission)",7,4,7
"org.argouml.application.security.ArgoSecurityManager.getAllowExit()",1,1,1
"org.argouml.application.security.ArgoSecurityManager.getInstance()",1,1,1
"org.argouml.application.security.ArgoSecurityManager.setAllowExit(boolean)",1,1,1
"org.argouml.cognitive.Decision.Decision(String,int)",1,1,1
"org.argouml.cognitive.Decision.equals(Object)",2,1,2
"org.argouml.cognitive.Decision.getName()",1,1,1
"org.argouml.cognitive.Decision.getPriority()",1,1,1
"org.argouml.cognitive.Decision.setName(String)",1,1,1
"org.argouml.cognitive.Decision.setPriority(int)",1,1,1
"org.argouml.cognitive.Decision.toString()",1,1,1
"org.argouml.cognitive.DecisionModel.DecisionModel()",1,1,1
"org.argouml.cognitive.DecisionModel.defineDecision(String,int)",1,2,2
"org.argouml.cognitive.DecisionModel.findDecision(String)",2,1,3
"org.argouml.cognitive.DecisionModel.getDecisions()",1,1,1
"org.argouml.cognitive.DecisionModel.isConsidering(String)",2,1,2
"org.argouml.cognitive.DecisionModel.setDecisionPriority(String,int)",2,2,2
"org.argouml.cognitive.DecisionModel.startConsidering(Decision)",1,1,1
"org.argouml.cognitive.DecisionModel.startConsidering(String)",1,1,1
"org.argouml.cognitive.DecisionModel.stopConsidering(Decision)",1,1,1
"org.argouml.cognitive.DecisionModel.stopConsidering(String)",1,1,1
"org.argouml.cognitive.Design.Design()",1,1,1
"org.argouml.cognitive.Design.addElement(DesignMaterial)",1,2,2
"org.argouml.cognitive.Design.critique(Designer)",1,2,2
"org.argouml.cognitive.Design.elements()",1,1,1
"org.argouml.cognitive.Design.getSubdesigns()",1,1,1
"org.argouml.cognitive.Design.iterator()",1,1,1
"org.argouml.cognitive.Design.removeElement(DesignMaterial)",1,1,1
"org.argouml.cognitive.Design.setSubdesigns(Vector)",1,1,1
"org.argouml.cognitive.Design.toString()",1,2,2
"org.argouml.cognitive.Design.transativelyIncludes(DesignMaterial)",4,3,5
"org.argouml.cognitive.DesignMaterial.DesignMaterial()",1,1,1
"org.argouml.cognitive.DesignMaterial.DesignMaterial(Hashtable)",1,1,1
"org.argouml.cognitive.DesignMaterial.addParent(Design)",1,1,1
"org.argouml.cognitive.DesignMaterial.addPersistantObserver(Observer)",1,1,2
"org.argouml.cognitive.DesignMaterial.addPropertyChangeListener(PropertyChangeListener)",1,1,2
"org.argouml.cognitive.DesignMaterial.canPut(String)",1,1,1
"org.argouml.cognitive.DesignMaterial.changedProperty(String)",1,1,1
"org.argouml.cognitive.DesignMaterial.critique(Designer)",1,1,1
"org.argouml.cognitive.DesignMaterial.define(String,Object)",2,2,2
"org.argouml.cognitive.DesignMaterial.define(String,boolean)",1,2,2
"org.argouml.cognitive.DesignMaterial.define(String,int)",1,2,2
"org.argouml.cognitive.DesignMaterial.dispose()",1,2,2
"org.argouml.cognitive.DesignMaterial.firePropertyChange(String,Object,Object)",3,3,5
"org.argouml.cognitive.DesignMaterial.firePropertyChange(String,boolean,boolean)",1,1,1
"org.argouml.cognitive.DesignMaterial.firePropertyChange(String,int,int)",1,1,1
"org.argouml.cognitive.DesignMaterial.get(String)",1,1,1
"org.argouml.cognitive.DesignMaterial.get(String,Object)",1,1,2
"org.argouml.cognitive.DesignMaterial.getBoolProperty(String)",1,1,1
"org.argouml.cognitive.DesignMaterial.getBoolProperty(String,boolean)",2,2,2
"org.argouml.cognitive.DesignMaterial.getBoolean(String)",1,1,1
"org.argouml.cognitive.DesignMaterial.getHighlight()",1,1,1
"org.argouml.cognitive.DesignMaterial.getIntProperty(String)",1,1,1
"org.argouml.cognitive.DesignMaterial.getIntProperty(String,int)",2,2,2
"org.argouml.cognitive.DesignMaterial.getProperty(String)",1,1,1
"org.argouml.cognitive.DesignMaterial.getProperty(String,Object)",1,1,1
"org.argouml.cognitive.DesignMaterial.inform(ToDoItem)",1,1,1
"org.argouml.cognitive.DesignMaterial.keysIn(String)",2,2,2
"org.argouml.cognitive.DesignMaterial.notifyObservers(Object)",1,1,1
"org.argouml.cognitive.DesignMaterial.notifyPersistantObservers(Object)",2,2,3
"org.argouml.cognitive.DesignMaterial.parents()",1,1,1
"org.argouml.cognitive.DesignMaterial.put(Hashtable)",1,2,2
"org.argouml.cognitive.DesignMaterial.put(String,Object)",2,1,3
"org.argouml.cognitive.DesignMaterial.put(String,boolean)",1,1,2
"org.argouml.cognitive.DesignMaterial.put(String,int)",1,1,1
"org.argouml.cognitive.DesignMaterial.removeParent(Design)",1,1,1
"org.argouml.cognitive.DesignMaterial.removePendingItems(Designer)",1,1,1
"org.argouml.cognitive.DesignMaterial.removePersistObserver(Observer)",1,1,1
"org.argouml.cognitive.DesignMaterial.removeProperty(String)",1,1,1
"org.argouml.cognitive.DesignMaterial.removePropertyChangeListener(PropertyChangeListener)",2,1,2
"org.argouml.cognitive.DesignMaterial.setHighlight(boolean)",1,1,1
"org.argouml.cognitive.DesignMaterial.setProperty(String,Object)",1,2,2
"org.argouml.cognitive.DesignMaterial.setProperty(String,boolean)",1,2,2
"org.argouml.cognitive.DesignMaterial.setProperty(String,int)",1,2,2
"org.argouml.cognitive.Designer.Designer()",1,1,1
"org.argouml.cognitive.Designer.addToDoItems(ToDoList)",1,1,1
"org.argouml.cognitive.Designer.canFixIt(ToDoItem)",1,1,1
"org.argouml.cognitive.Designer.containsKnowledgeType(String)",1,1,1
"org.argouml.cognitive.Designer.critique(Design)",1,1,1
"org.argouml.cognitive.Designer.critiqueASAP(Object,String)",2,2,3
"org.argouml.cognitive.Designer.defineDecision(String,int)",1,1,1
