Package,C(rec),LOC(rec),METH(rec)
"org.andengine.input.sensor.orientation",3,166,18
"org.andengine.input.touch",25,1.351,126
"org.andengine.input.touch.controller",8,284,20
"org.andengine.input.touch.detector",15,952,89
"org.andengine.opengl",150,12.030,1.162
"org.andengine.opengl.exception",3,131,10
"org.andengine.opengl.font",15,1.796,147
"org.andengine.opengl.font.exception",2,87,8
"org.andengine.opengl.shader",16,1.177,76
"org.andengine.opengl.shader.constants",1,53,0
"org.andengine.opengl.shader.exception",3,109,5
"org.andengine.opengl.shader.source",4,148,9
"org.andengine.opengl.texture",81,5.850,634
"org.andengine.opengl.texture.atlas",45,2.823,285
"org.andengine.opengl.texture.atlas.bitmap",26,1.795,166
"org.andengine.opengl.texture.atlas.bitmap.source",23,1.365,118
"org.andengine.opengl.texture.atlas.bitmap.source.decorator",17,973,85
"org.andengine.opengl.texture.atlas.bitmap.source.decorator.shape",6,299,18
"org.andengine.opengl.texture.atlas.buildable",12,696,65
"org.andengine.opengl.texture.atlas.buildable.builder",6,333,20
"org.andengine.opengl.texture.atlas.source",2,102,19
"org.andengine.opengl.texture.bitmap",4,282,23
"org.andengine.opengl.texture.compressed",15,966,89
"org.andengine.opengl.texture.compressed.etc1",2,126,11
"org.andengine.opengl.texture.compressed.pvr",13,840,78
"org.andengine.opengl.texture.compressed.pvr.pixelbufferstrategy",6,238,12
"org.andengine.opengl.texture.region",7,673,130
"org.andengine.opengl.texture.render",1,304,29
"org.andengine.opengl.util",17,1.514,150
"org.andengine.opengl.util.criteria",10,391,21
"org.andengine.opengl.vbo",12,1.034,108
"org.andengine.opengl.vbo.attribute",4,220,15
"org.andengine.opengl.view",5,454,32
"org.andengine.ui",29,1.088,119
"org.andengine.ui.activity",21,879,95
"org.andengine.ui.dialog",4,149,10
"org.andengine.util",258,17.693,1.552
"org.andengine.util.adt",95,7.469,733
"org.andengine.util.adt.array",1,351,39
"org.andengine.util.adt.bit",1,219,11
"org.andengine.util.adt.bounds",7,262,26
"org.andengine.util.adt.cache",14,595,44
"org.andengine.util.adt.cache.concurrent",2,108,12
"org.andengine.util.adt.data",9,618,61
"org.andengine.util.adt.data.operator",8,584,60
"org.andengine.util.adt.io",5,235,15
"org.andengine.util.adt.io.in",4,152,8
"org.andengine.util.adt.io.out",1,83,7
"org.andengine.util.adt.list",16,1.530,180
"org.andengine.util.adt.list.concurrent",1,83,13
"org.andengine.util.adt.map",5,590,40
"org.andengine.util.adt.pool",13,616,64
"org.andengine.util.adt.queue",8,391,43
"org.andengine.util.adt.queue.concurrent",1,99,17
"org.andengine.util.adt.spatial",9,1.578,171
"org.andengine.util.adt.spatial.bounds",2,116,16
"org.andengine.util.adt.spatial.bounds.util",2,116,16
"org.andengine.util.adt.spatial.quadtree",6,1.445,154
"org.andengine.util.adt.transformation",3,295,25
"org.andengine.util.adt.trie",3,152,14
"org.andengine.util.algorithm",23,1.556,85
"org.andengine.util.algorithm.collision",5,498,23
"org.andengine.util.algorithm.hull",3,180,5
"org.andengine.util.algorithm.path",12,669,41
"org.andengine.util.algorithm.path.astar",6,357,14
"org.andengine.util.algorithm.sort",2,127,9
"org.andengine.util.animationpack",6,389,19
"org.andengine.util.animationpack.exception",1,44,4
"org.andengine.util.base64",5,827,27
"org.andengine.util.call",4,82,4
"org.andengine.util.color",4,451,54
"org.andengine.util.color.constants",1,17,0
"org.andengine.util.debug",4,528,71
"org.andengine.util.exception",8,314,23
"org.andengine.util.level",4,217,17
"org.andengine.util.level.constants",1,21,0
"org.andengine.util.levelstats",2,112,4
"org.andengine.util.math",2,257,35
"org.andengine.util.mime",1,44,2
"org.andengine.util.modifier",54,2.909,269
"org.andengine.util.modifier.ease",35,1.713,125
"org.andengine.util.modifier.util",1,39,1
"org.andengine.util.preferences",1,62,5
"org.andengine.util.progress",4,113,10
"org.andengine.util.system",3,296,25
"org.andengine.util.texturepack",11,613,48
"org.andengine.util.texturepack.exception",1,44,4
"org.andengine.util.time",1,39,0

