Method,ev(G),iv(G),v(G)
"async.Stockticker.Stock.getCnt()",1,1,1
"async.Stockticker.Stock.getLastChange()",1,1,1
"async.Stockticker.Stock.getLastChangeAsString()",1,1,1
"async.Stockticker.Stock.getSymbol()",1,1,1
"async.Stockticker.Stock.getValue()",1,1,1
"async.Stockticker.Stock.getValueAsString()",1,1,1
"async.Stockticker.Stock.hashCode()",1,1,1
"async.Stockticker.Stock.setCnt(int)",1,1,1
"async.Stockticker.Stock.setLastChange(double)",1,1,1
"async.Stockticker.Stock.setValue(double)",1,1,1
"async.Stockticker.Stock.toString()",1,1,1
"async.Stockticker.addTickListener(TickListener)",1,3,3
"async.Stockticker.removeTickListener(TickListener)",1,3,3
"async.Stockticker.run()",1,6,8
"async.Stockticker.start()",1,1,1
"async.Stockticker.stop()",1,2,2
"cal.Entries.Entries()",1,2,2
"cal.Entries.getEntry(int)",1,1,1
"cal.Entries.getIndex(String)",3,2,3
"cal.Entries.getRows()",1,1,1
"cal.Entries.processRequest(HttpServletRequest,String)",1,2,2
"cal.Entry.Entry(String)",1,1,1
"cal.Entry.getColor()",2,1,2
"cal.Entry.getDescription()",2,1,2
"cal.Entry.getHour()",1,1,1
"cal.Entry.setDescription(String)",1,1,1
"cal.JspCalendar.JspCalendar()",1,1,1
"cal.JspCalendar.getAMPM()",1,1,1
"cal.JspCalendar.getCurrentDate()",1,1,1
"cal.JspCalendar.getDSTOffset()",1,1,1
"cal.JspCalendar.getDate()",1,1,1
"cal.JspCalendar.getDay()",2,1,2
"cal.JspCalendar.getDayOfMonth()",1,1,1
"cal.JspCalendar.getDayOfWeek()",1,1,1
"cal.JspCalendar.getDayOfYear()",1,1,1
"cal.JspCalendar.getEra()",1,1,1
"cal.JspCalendar.getHour()",1,1,1
"cal.JspCalendar.getMinute()",1,1,1
"cal.JspCalendar.getMonth()",2,1,2
"cal.JspCalendar.getMonthInt()",1,1,1
"cal.JspCalendar.getNextDate()",1,1,1
"cal.JspCalendar.getPrevDate()",1,1,1
"cal.JspCalendar.getSecond()",1,1,1
"cal.JspCalendar.getTime()",1,1,1
"cal.JspCalendar.getUSTimeZone()",1,1,1
"cal.JspCalendar.getWeekOfMonth()",1,1,1
"cal.JspCalendar.getWeekOfYear()",1,1,1
"cal.JspCalendar.getYear()",1,1,1
"cal.JspCalendar.getZoneOffset()",1,1,1
"cal.TableBean.TableBean()",1,1,1
"cal.TableBean.getDate()",1,1,1
"cal.TableBean.getEmail()",1,1,1
"cal.TableBean.getEntries()",1,1,1
"cal.TableBean.getName()",1,1,1
"cal.TableBean.getProcessError()",1,1,1
"cal.TableBean.processRequest(HttpServletRequest)",2,13,14
"cal.TableBean.setEmail(String)",1,1,1
"cal.TableBean.setName(String)",1,1,1
"chat.ChatServlet.MessageSender.MessageSender()",1,1,1
"chat.ChatServlet.MessageSender.run()",1,6,7
"chat.ChatServlet.MessageSender.send(String,String)",1,1,1
"chat.ChatServlet.MessageSender.stop()",1,1,1
"chat.ChatServlet.begin(CometEvent,HttpServletRequest,HttpServletResponse)",1,1,1
"chat.ChatServlet.destroy()",1,1,1
"chat.ChatServlet.end(CometEvent,HttpServletRequest,HttpServletResponse)",1,1,1
"chat.ChatServlet.error(CometEvent,HttpServletRequest,HttpServletResponse)",1,1,1
"chat.ChatServlet.event(CometEvent)",5,8,8
"chat.ChatServlet.filter(String)",3,3,8
"chat.ChatServlet.init()",1,1,1
"chat.ChatServlet.read(CometEvent,HttpServletRequest,HttpServletResponse)",4,4,4
"chat.ChatServlet.service(HttpServletRequest,HttpServletResponse)",1,1,1
"checkbox.CheckTest.getFruit()",1,1,1
"checkbox.CheckTest.setFruit(String[])",1,1,1
"colors.ColorGameBean.getAttempts()",1,1,1
"colors.ColorGameBean.getColor1()",1,1,1
"colors.ColorGameBean.getColor2()",1,1,1
"colors.ColorGameBean.getHint()",1,1,1
"colors.ColorGameBean.getHintTaken()",1,1,1
"colors.ColorGameBean.getIntval()",1,1,1
"colors.ColorGameBean.getSuccess()",3,4,5
"colors.ColorGameBean.processRequest()",1,5,7
"colors.ColorGameBean.reset()",1,1,1
"colors.ColorGameBean.setAction(String)",1,2,2
"colors.ColorGameBean.setColor1(String)",1,1,1
"colors.ColorGameBean.setColor2(String)",1,1,1
"colors.ColorGameBean.setIntval(int)",1,1,1
"compressionFilters.CompressionFilter.destroy()",1,1,1
"compressionFilters.CompressionFilter.doFilter(ServletRequest,ServletResponse,FilterChain)",6,16,16
"compressionFilters.CompressionFilter.getFilterConfig()",1,1,1
"compressionFilters.CompressionFilter.init(FilterConfig)",1,6,7
"compressionFilters.CompressionFilter.setFilterConfig(FilterConfig)",1,1,1
"compressionFilters.CompressionFilterTestServlet.doGet(HttpServletRequest,HttpServletResponse)",1,3,3
"compressionFilters.CompressionResponseStream.CompressionResponseStream(HttpServletResponse)",1,1,1
"compressionFilters.CompressionResponseStream.close()",2,5,6
"compressionFilters.CompressionResponseStream.closed()",1,1,1
"compressionFilters.CompressionResponseStream.flush()",2,3,4
"compressionFilters.CompressionResponseStream.flushToGZip()",1,4,4
"compressionFilters.CompressionResponseStream.setBuffer(int)",1,2,2
"compressionFilters.CompressionResponseStream.setDebugLevel(int)",1,1,1
"compressionFilters.CompressionResponseStream.write(byte[])",1,1,1
"compressionFilters.CompressionResponseStream.write(byte[],int,int)",5,5,7
"compressionFilters.CompressionResponseStream.write(int)",2,3,4
"compressionFilters.CompressionResponseStream.writeToGZip(byte[],int,int)",1,7,7
"compressionFilters.CompressionServletResponseWrapper.CompressionServletResponseWrapper(HttpServletResponse)",1,2,2
"compressionFilters.CompressionServletResponseWrapper.createOutputStream()",1,2,2
"compressionFilters.CompressionServletResponseWrapper.finishResponse()",1,3,4
"compressionFilters.CompressionServletResponseWrapper.flushBuffer()",1,2,2
"compressionFilters.CompressionServletResponseWrapper.getOutputStream()",2,3,4
"compressionFilters.CompressionServletResponseWrapper.getWriter()",3,3,6
"compressionFilters.CompressionServletResponseWrapper.setCompressionThreshold(int)",1,2,2
"compressionFilters.CompressionServletResponseWrapper.setContentLength(int)",1,1,1
"compressionFilters.CompressionServletResponseWrapper.setContentType(String)",1,2,2
"compressionFilters.CompressionServletResponseWrapper.setDebugLevel(int)",1,1,1
"dates.JspCalendar.JspCalendar()",1,1,1
"dates.JspCalendar.getAMPM()",1,1,1
"dates.JspCalendar.getDSTOffset()",1,1,1
"dates.JspCalendar.getDate()",1,1,1
"dates.JspCalendar.getDay()",2,1,2
"dates.JspCalendar.getDayOfMonth()",1,1,1
"dates.JspCalendar.getDayOfWeek()",1,1,1
"dates.JspCalendar.getDayOfYear()",1,1,1
"dates.JspCalendar.getEra()",1,1,1
"dates.JspCalendar.getHour()",1,1,1
"dates.JspCalendar.getMinute()",1,1,1
"dates.JspCalendar.getMonth()",2,1,2
"dates.JspCalendar.getMonthInt()",1,1,1
"dates.JspCalendar.getSecond()",1,1,1
"dates.JspCalendar.getTime()",1,1,1
"dates.JspCalendar.getUSTimeZone()",1,1,1
"dates.JspCalendar.getWeekOfMonth()",1,1,1
"dates.JspCalendar.getWeekOfYear()",1,1,1
"dates.JspCalendar.getYear()",1,1,1
"dates.JspCalendar.getZoneOffset()",1,1,1
"dates.JspCalendar.main(String[])",1,1,1
"dates.JspCalendar.p(String)",1,1,1
"error.Smart.getName()",1,1,1
"error.Smart.setName(String)",1,1,1
"examples.ExampleTagBase.doAfterBody()",1,1,1
"examples.ExampleTagBase.doEndTag()",1,1,1
"examples.ExampleTagBase.doInitBody()",1,1,1
"examples.ExampleTagBase.doStartTag()",1,1,1
"examples.ExampleTagBase.getParent()",1,1,1
"examples.ExampleTagBase.release()",1,1,1
"examples.ExampleTagBase.setBodyContent(BodyContent)",1,1,1
"examples.ExampleTagBase.setPageContext(PageContext)",1,1,1
"examples.ExampleTagBase.setParent(Tag)",1,1,1
"examples.FooTag.doAfterBody()",2,3,3
"examples.FooTag.doInitBody()",1,1,1
"examples.FooTag.doStartTag()",1,1,1
"examples.FooTag.setAtt(int,String)",1,1,1
"examples.FooTag.setAtt1(String)",1,1,1
"examples.FooTag.setAtt2(String)",1,1,1
"examples.FooTag.setAtt3(String)",1,1,1
"examples.FooTagExtraInfo.getVariableInfo(TagData)",1,1,1
"examples.LogTag.doAfterBody()",1,3,3
"examples.LogTag.doStartTag()",1,1,1
"examples.LogTag.setToBrowser(String)",1,2,3
"examples.ShowSource.doEndTag()",3,6,8
"examples.ShowSource.setJspFile(String)",1,1,1
"examples.ValuesTag.doEndTag()",1,6,6
"examples.ValuesTag.setDouble(double)",1,1,1
"examples.ValuesTag.setLong(long)",1,1,1
"examples.ValuesTag.setObject(Object)",1,1,1
"examples.ValuesTag.setString(String)",1,1,1
"filters.ExampleFilter.destroy()",1,1,1
"filters.ExampleFilter.doFilter(ServletRequest,ServletResponse,FilterChain)",1,2,2
"filters.ExampleFilter.init(FilterConfig)",1,1,1
"filters.ExampleFilter.toString()",2,1,2
"filters.SetCharacterEncodingFilter.destroy()",1,1,1
"filters.SetCharacterEncodingFilter.doFilter(ServletRequest,ServletResponse,FilterChain)",1,4,4
"filters.SetCharacterEncodingFilter.init(FilterConfig)",1,3,4
"filters.SetCharacterEncodingFilter.selectEncoding(ServletRequest)",1,1,1
"javax.el.ArrayELResolver.ArrayELResolver()",1,1,1
"javax.el.ArrayELResolver.ArrayELResolver(boolean)",1,1,1
"javax.el.ArrayELResolver.checkBounds(Object,int)",2,3,3
"javax.el.ArrayELResolver.coerce(Object)",5,6,7
"javax.el.ArrayELResolver.getCommonPropertyType(ELContext,Object)",2,2,3
"javax.el.ArrayELResolver.getFeatureDescriptors(ELContext,Object)",2,4,4
"javax.el.ArrayELResolver.getType(ELContext,Object,Object)",3,3,4
"javax.el.ArrayELResolver.getValue(ELContext,Object,Object)",4,4,6
"javax.el.ArrayELResolver.isReadOnly(ELContext,Object,Object)",2,3,4
"javax.el.ArrayELResolver.setValue(ELContext,Object,Object,Object)",5,6,7
"javax.el.BeanELResolver.BeanELResolver()",1,1,1
"javax.el.BeanELResolver.BeanELResolver(boolean)",1,1,1
"javax.el.BeanELResolver.BeanProperties.BeanProperties(Class<?>)",1,2,3
"javax.el.BeanELResolver.BeanProperties.get(ELContext,String)",2,2,2
"javax.el.BeanELResolver.BeanProperties.getBeanProperty(String)",1,1,1
"javax.el.BeanELResolver.BeanProperties.getType()",1,1,1
"javax.el.BeanELResolver.BeanProperty.BeanProperty(Class<?>,PropertyDescriptor)",1,1,1
"javax.el.BeanELResolver.BeanProperty.getPropertyType()",1,1,1
"javax.el.BeanELResolver.BeanProperty.getReadMethod()",1,1,1
"javax.el.BeanELResolver.BeanProperty.getWriteMethod()",1,1,1
"javax.el.BeanELResolver.BeanProperty.isReadOnly()",1,2,2
"javax.el.BeanELResolver.BeanProperty.read(ELContext)",3,3,3
"javax.el.BeanELResolver.BeanProperty.write(ELContext)",3,3,3
"javax.el.BeanELResolver.ConcurrentCache.ConcurrentCache(int)",1,1,1
"javax.el.BeanELResolver.ConcurrentCache.get(K)",1,3,3
"javax.el.BeanELResolver.ConcurrentCache.put(K,V)",1,2,2
"javax.el.BeanELResolver.getCommonPropertyType(ELContext,Object)",3,1,3
"javax.el.BeanELResolver.getFeatureDescriptors(ELContext,Object)",3,2,5
"javax.el.BeanELResolver.getMethod(Class<?>,Method)",6,4,9
"javax.el.BeanELResolver.getType(ELContext,Object,Object)",3,1,4
"javax.el.BeanELResolver.getValue(ELContext,Object,Object)",3,2,7
"javax.el.BeanELResolver.invoke(ELContext,Object,Object,Class<?>[],Object[])",7,9,19
"javax.el.BeanELResolver.isReadOnly(ELContext,Object,Object)",3,2,5
"javax.el.BeanELResolver.property(ELContext,Object,Object)",1,3,3
"javax.el.BeanELResolver.setValue(ELContext,Object,Object,Object)",4,3,8
"javax.el.CompositeELResolver.CompositeELResolver()",1,1,1
"javax.el.CompositeELResolver.FeatureIterator.FeatureIterator(ELContext,Object,ELResolver[],int)",1,1,1
"javax.el.CompositeELResolver.FeatureIterator.guaranteeIterator()",1,2,3
"javax.el.CompositeELResolver.FeatureIterator.hasNext()",3,5,6
"javax.el.CompositeELResolver.FeatureIterator.next()",2,1,2
"javax.el.CompositeELResolver.FeatureIterator.remove()",1,1,1
"javax.el.CompositeELResolver.add(ELResolver)",2,2,3
"javax.el.CompositeELResolver.getCommonPropertyType(ELContext,Object)",1,4,5
"javax.el.CompositeELResolver.getFeatureDescriptors(ELContext,Object)",1,1,1
"javax.el.CompositeELResolver.getType(ELContext,Object,Object)",3,2,3
"javax.el.CompositeELResolver.getValue(ELContext,Object,Object)",3,2,3
"javax.el.CompositeELResolver.invoke(ELContext,Object,Object,Class<?>[],Object[])",3,2,3
"javax.el.CompositeELResolver.isReadOnly(ELContext,Object,Object)",3,2,3
"javax.el.CompositeELResolver.setValue(ELContext,Object,Object,Object)",3,2,3
"javax.el.ELContext.ELContext()",1,1,1
"javax.el.ELContext.getContext(Class)",2,1,2
"javax.el.ELContext.getLocale()",1,1,1
"javax.el.ELContext.isPropertyResolved()",1,1,1
"javax.el.ELContext.putContext(Class,Object)",2,1,4
"javax.el.ELContext.setLocale(Locale)",1,1,1
"javax.el.ELContext.setPropertyResolved(boolean)",1,1,1
"javax.el.ELContextEvent.ELContextEvent(ELContext)",1,1,1
"javax.el.ELContextEvent.getELContext()",1,1,1
"javax.el.ELException.ELException()",1,1,1
"javax.el.ELException.ELException(String)",1,1,1
"javax.el.ELException.ELException(String,Throwable)",1,1,1
"javax.el.ELException.ELException(Throwable)",1,1,1
"javax.el.ELResolver.invoke(ELContext,Object,Object,Class<?>[],Object[])",1,1,1
"javax.el.ELResolver.message(ELContext,String,Object[])",3,4,5
"javax.el.ExpressionFactory.getClassNameJreDir()",3,5,8
"javax.el.ExpressionFactory.getClassNameServices(ClassLoader)",3,5,8
"javax.el.ExpressionFactory.getClassNameSysProp()",2,3,3
"javax.el.ExpressionFactory.newInstance()",1,1,1
"javax.el.ExpressionFactory.newInstance(Properties)",2,8,16
"javax.el.ListELResolver.ListELResolver()",1,1,1
"javax.el.ListELResolver.ListELResolver(boolean)",1,1,1
"javax.el.ListELResolver.coerce(Object)",5,6,7
"javax.el.ListELResolver.getCommonPropertyType(ELContext,Object)",2,1,2
"javax.el.ListELResolver.getFeatureDescriptors(ELContext,Object)",2,3,3
"javax.el.ListELResolver.getType(ELContext,Object,Object)",4,5,6
"javax.el.ListELResolver.getValue(ELContext,Object,Object)",4,3,5
"javax.el.ListELResolver.isReadOnly(ELContext,Object,Object)",4,5,6
"javax.el.ListELResolver.setValue(ELContext,Object,Object,Object)",4,3,6
"javax.el.MapELResolver.MapELResolver()",1,1,1
"javax.el.MapELResolver.MapELResolver(boolean)",1,1,1
"javax.el.MapELResolver.getCommonPropertyType(ELContext,Object)",2,1,2
"javax.el.MapELResolver.getFeatureDescriptors(ELContext,Object)",2,3,3
"javax.el.MapELResolver.getType(ELContext,Object,Object)",3,3,4
"javax.el.MapELResolver.getValue(ELContext,Object,Object)",3,2,3
"javax.el.MapELResolver.isReadOnly(ELContext,Object,Object)",3,3,4
"javax.el.MapELResolver.setValue(ELContext,Object,Object,Object)",4,3,5
"javax.el.MethodExpression.isParmetersProvided()",1,1,1
"javax.el.MethodInfo.MethodInfo(String,Class<?>,Class<?>[])",1,1,1
"javax.el.MethodInfo.getName()",1,1,1
"javax.el.MethodInfo.getParamTypes()",1,1,1
"javax.el.MethodInfo.getReturnType()",1,1,1
"javax.el.MethodNotFoundException.MethodNotFoundException()",1,1,1
"javax.el.MethodNotFoundException.MethodNotFoundException(String)",1,1,1
"javax.el.MethodNotFoundException.MethodNotFoundException(String,Throwable)",1,1,1
"javax.el.MethodNotFoundException.MethodNotFoundException(Throwable)",1,1,1
"javax.el.PropertyNotFoundException.PropertyNotFoundException()",1,1,1
"javax.el.PropertyNotFoundException.PropertyNotFoundException(String)",1,1,1
"javax.el.PropertyNotFoundException.PropertyNotFoundException(String,Throwable)",1,1,1
"javax.el.PropertyNotFoundException.PropertyNotFoundException(Throwable)",1,1,1
"javax.el.PropertyNotWritableException.PropertyNotWritableException()",1,1,1
"javax.el.PropertyNotWritableException.PropertyNotWritableException(String)",1,1,1
"javax.el.PropertyNotWritableException.PropertyNotWritableException(String,Throwable)",1,1,1
"javax.el.PropertyNotWritableException.PropertyNotWritableException(Throwable)",1,1,1
"javax.el.ResourceBundleELResolver.ResourceBundleELResolver()",1,1,1
"javax.el.ResourceBundleELResolver.getCommonPropertyType(ELContext,Object)",2,1,2
"javax.el.ResourceBundleELResolver.getFeatureDescriptors(ELContext,Object)",2,3,3
"javax.el.ResourceBundleELResolver.getType(ELContext,Object,Object)",2,2,3
"javax.el.ResourceBundleELResolver.getValue(ELContext,Object,Object)",4,4,5
"javax.el.ResourceBundleELResolver.isReadOnly(ELContext,Object,Object)",2,2,3
"javax.el.ResourceBundleELResolver.setValue(ELContext,Object,Object,Object)",3,2,3
"javax.el.ValueExpression.getValueReference(ELContext)",1,1,1
"javax.el.ValueReference.ValueReference(Object,Object)",1,1,1
"javax.el.ValueReference.getBase()",1,1,1
"javax.el.ValueReference.getProperty()",1,1,1
"javax.mail.PasswordAuthentication.PasswordAuthentication(String,String)",1,1,1
"javax.mail.Session.getInstance(Properties)",1,1,1
"javax.mail.Session.getInstance(Properties,Authenticator)",1,1,1
"javax.mail.internet.InternetAddress.InternetAddress(String)",1,1,1
"javax.mail.internet.MimeMessage.MimeMessage(Session)",1,1,1
"javax.mail.internet.MimeMessage.setFrom(InternetAddress)",1,1,1
"javax.mail.internet.MimeMessage.setSubject(String)",1,1,1
"javax.mail.internet.MimePartDataSource.MimePartDataSource(MimePart)",1,1,1
"javax.servlet.AsyncEvent.AsyncEvent(AsyncContext)",1,1,1
"javax.servlet.AsyncEvent.AsyncEvent(AsyncContext,ServletRequest,ServletResponse)",1,1,1
"javax.servlet.AsyncEvent.AsyncEvent(AsyncContext,ServletRequest,ServletResponse,Throwable)",1,1,1
"javax.servlet.AsyncEvent.AsyncEvent(AsyncContext,Throwable)",1,1,1
"javax.servlet.AsyncEvent.getAsyncContext()",1,1,1
"javax.servlet.AsyncEvent.getSuppliedRequest()",1,1,1
"javax.servlet.AsyncEvent.getSuppliedResponse()",1,1,1
"javax.servlet.AsyncEvent.getThrowable()",1,1,1
"javax.servlet.GenericServlet.GenericServlet()",1,1,1
"javax.servlet.GenericServlet.destroy()",1,1,1
"javax.servlet.GenericServlet.getInitParameter(String)",1,1,1
"javax.servlet.GenericServlet.getInitParameterNames()",1,1,1
"javax.servlet.GenericServlet.getServletConfig()",1,1,1
"javax.servlet.GenericServlet.getServletContext()",1,1,1
"javax.servlet.GenericServlet.getServletInfo()",1,1,1
"javax.servlet.GenericServlet.getServletName()",1,1,1
"javax.servlet.GenericServlet.init()",1,1,1
"javax.servlet.GenericServlet.init(ServletConfig)",1,1,1
"javax.servlet.GenericServlet.log(String)",1,1,1
"javax.servlet.GenericServlet.log(String,Throwable)",1,1,1
"javax.servlet.HttpConstraintElement.HttpConstraintElement()",1,1,1
"javax.servlet.HttpConstraintElement.HttpConstraintElement(EmptyRoleSemantic)",1,1,1
"javax.servlet.HttpConstraintElement.HttpConstraintElement(EmptyRoleSemantic,TransportGuarantee,String...)",2,4,4
"javax.servlet.HttpConstraintElement.HttpConstraintElement(TransportGuarantee,String...)",1,1,1
"javax.servlet.HttpConstraintElement.getEmptyRoleSemantic()",1,1,1
"javax.servlet.HttpConstraintElement.getRolesAllowed()",1,1,1
"javax.servlet.HttpConstraintElement.getTransportGuarantee()",1,1,1
"javax.servlet.HttpMethodConstraintElement.HttpMethodConstraintElement(String)",2,3,3
"javax.servlet.HttpMethodConstraintElement.HttpMethodConstraintElement(String,HttpConstraintElement)",2,3,3
"javax.servlet.HttpMethodConstraintElement.getMethodName()",1,1,1
"javax.servlet.MultipartConfigElement.MultipartConfigElement(MultipartConfig)",1,1,1
"javax.servlet.MultipartConfigElement.MultipartConfigElement(String)",1,1,2
"javax.servlet.MultipartConfigElement.MultipartConfigElement(String,long,long,int)",1,1,2
"javax.servlet.MultipartConfigElement.getFileSizeThreshold()",1,1,1
"javax.servlet.MultipartConfigElement.getLocation()",1,1,1
"javax.servlet.MultipartConfigElement.getMaxFileSize()",1,1,1
"javax.servlet.MultipartConfigElement.getMaxRequestSize()",1,1,1
"javax.servlet.ServletContextAttributeEvent.ServletContextAttributeEvent(ServletContext,String,Object)",1,1,1
"javax.servlet.ServletContextAttributeEvent.getName()",1,1,1
"javax.servlet.ServletContextAttributeEvent.getValue()",1,1,1
"javax.servlet.ServletContextEvent.ServletContextEvent(ServletContext)",1,1,1
"javax.servlet.ServletContextEvent.getServletContext()",1,1,1
"javax.servlet.ServletException.ServletException()",1,1,1
"javax.servlet.ServletException.ServletException(String)",1,1,1
"javax.servlet.ServletException.ServletException(String,Throwable)",1,1,1
"javax.servlet.ServletException.ServletException(Throwable)",1,1,1
"javax.servlet.ServletException.getRootCause()",1,1,1
"javax.servlet.ServletInputStream.ServletInputStream()",1,1,1
"javax.servlet.ServletInputStream.readLine(byte[],int,int)",4,1,6
"javax.servlet.ServletOutputStream.ServletOutputStream()",1,1,1
"javax.servlet.ServletOutputStream.print(String)",3,3,4
"javax.servlet.ServletOutputStream.print(boolean)",1,2,2
"javax.servlet.ServletOutputStream.print(char)",1,1,1
"javax.servlet.ServletOutputStream.print(double)",1,1,1
"javax.servlet.ServletOutputStream.print(float)",1,1,1
"javax.servlet.ServletOutputStream.print(int)",1,1,1
"javax.servlet.ServletOutputStream.print(long)",1,1,1
"javax.servlet.ServletOutputStream.println()",1,1,1
"javax.servlet.ServletOutputStream.println(String)",1,1,1
"javax.servlet.ServletOutputStream.println(boolean)",1,1,1
"javax.servlet.ServletOutputStream.println(char)",1,1,1
"javax.servlet.ServletOutputStream.println(double)",1,1,1
"javax.servlet.ServletOutputStream.println(float)",1,1,1
"javax.servlet.ServletOutputStream.println(int)",1,1,1
"javax.servlet.ServletOutputStream.println(long)",1,1,1
"javax.servlet.ServletRequestAttributeEvent.ServletRequestAttributeEvent(ServletContext,ServletRequest,String,Object)",1,1,1
"javax.servlet.ServletRequestAttributeEvent.getName()",1,1,1
"javax.servlet.ServletRequestAttributeEvent.getValue()",1,1,1
"javax.servlet.ServletRequestEvent.ServletRequestEvent(ServletContext,ServletRequest)",1,1,1
"javax.servlet.ServletRequestEvent.getServletContext()",1,1,1
"javax.servlet.ServletRequestEvent.getServletRequest()",1,1,1
"javax.servlet.ServletRequestWrapper.ServletRequestWrapper(ServletRequest)",2,1,2
"javax.servlet.ServletRequestWrapper.getAsyncContext()",1,1,1
"javax.servlet.ServletRequestWrapper.getAttribute(String)",1,1,1
"javax.servlet.ServletRequestWrapper.getAttributeNames()",1,1,1
"javax.servlet.ServletRequestWrapper.getCharacterEncoding()",1,1,1
"javax.servlet.ServletRequestWrapper.getContentLength()",1,1,1
"javax.servlet.ServletRequestWrapper.getContentType()",1,1,1
"javax.servlet.ServletRequestWrapper.getDispatcherType()",1,1,1
"javax.servlet.ServletRequestWrapper.getInputStream()",1,1,1
"javax.servlet.ServletRequestWrapper.getLocalAddr()",1,1,1
"javax.servlet.ServletRequestWrapper.getLocalName()",1,1,1
"javax.servlet.ServletRequestWrapper.getLocalPort()",1,1,1
"javax.servlet.ServletRequestWrapper.getLocale()",1,1,1
"javax.servlet.ServletRequestWrapper.getLocales()",1,1,1
"javax.servlet.ServletRequestWrapper.getParameter(String)",1,1,1
"javax.servlet.ServletRequestWrapper.getParameterMap()",1,1,1
"javax.servlet.ServletRequestWrapper.getParameterNames()",1,1,1
"javax.servlet.ServletRequestWrapper.getParameterValues(String)",1,1,1
"javax.servlet.ServletRequestWrapper.getProtocol()",1,1,1
"javax.servlet.ServletRequestWrapper.getReader()",1,1,1
"javax.servlet.ServletRequestWrapper.getRealPath(String)",1,1,1
"javax.servlet.ServletRequestWrapper.getRemoteAddr()",1,1,1
"javax.servlet.ServletRequestWrapper.getRemoteHost()",1,1,1
"javax.servlet.ServletRequestWrapper.getRemotePort()",1,1,1
"javax.servlet.ServletRequestWrapper.getRequest()",1,1,1
"javax.servlet.ServletRequestWrapper.getRequestDispatcher(String)",1,1,1
"javax.servlet.ServletRequestWrapper.getScheme()",1,1,1
"javax.servlet.ServletRequestWrapper.getServerName()",1,1,1
"javax.servlet.ServletRequestWrapper.getServerPort()",1,1,1
"javax.servlet.ServletRequestWrapper.getServletContext()",1,1,1
"javax.servlet.ServletRequestWrapper.isAsyncStarted()",1,1,1
"javax.servlet.ServletRequestWrapper.isAsyncSupported()",1,1,1
"javax.servlet.ServletRequestWrapper.isSecure()",1,1,1
"javax.servlet.ServletRequestWrapper.isWrapperFor(Class)",3,2,3
"javax.servlet.ServletRequestWrapper.isWrapperFor(ServletRequest)",3,2,3
"javax.servlet.ServletRequestWrapper.removeAttribute(String)",1,1,1
"javax.servlet.ServletRequestWrapper.setAttribute(String,Object)",1,1,1
"javax.servlet.ServletRequestWrapper.setCharacterEncoding(String)",1,1,1
"javax.servlet.ServletRequestWrapper.setRequest(ServletRequest)",2,1,2
"javax.servlet.ServletRequestWrapper.startAsync()",1,1,1
"javax.servlet.ServletRequestWrapper.startAsync(ServletRequest,ServletResponse)",1,1,1
"javax.servlet.ServletResponseWrapper.ServletResponseWrapper(ServletResponse)",2,1,2
"javax.servlet.ServletResponseWrapper.flushBuffer()",1,1,1
"javax.servlet.ServletResponseWrapper.getBufferSize()",1,1,1
