Class,CBO,CSA,CSO,CSOA,Dcy,DIT,Inner,LCOM,LOC,NCLOC,NOC,NOIC,NOOC,OCavg,Query,RFC,WMC
"org.eclipse.jdt.core.ICompletionRequestor",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,14,n/a
"org.eclipse.jdt.core.ICorrectionRequestor",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,6,n/a
"org.eclipse.jdt.core.IElementChangedListener",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
"org.eclipse.jdt.core.IField",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3,n/a
"org.eclipse.jdt.core.IImportContainer",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
"org.eclipse.jdt.core.IImportDeclaration",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3,n/a
"org.eclipse.jdt.core.IInitializer",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,n/a
"org.eclipse.jdt.core.IJavaElement",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,17,n/a
"org.eclipse.jdt.core.IJavaElementDelta",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,10,n/a
"org.eclipse.jdt.core.IJavaModel",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,10,n/a
"org.eclipse.jdt.core.IJavaModelMarker",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,n/a
"org.eclipse.jdt.core.IJavaModelStatus",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4,n/a
"org.eclipse.jdt.core.IJavaModelStatusConstants",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,n/a
"org.eclipse.jdt.core.IJavaProject",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,39,n/a
"org.eclipse.jdt.core.ILocalVariable",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3,n/a
"org.eclipse.jdt.core.IMember",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,7,n/a
"org.eclipse.jdt.core.IMethod",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,13,n/a
"org.eclipse.jdt.core.IOpenable",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,8,n/a
"org.eclipse.jdt.core.IPackageDeclaration",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
"org.eclipse.jdt.core.IPackageFragment",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,12,n/a
"org.eclipse.jdt.core.IPackageFragmentRoot",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,13,n/a
"org.eclipse.jdt.core.IParent",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,n/a
"org.eclipse.jdt.core.IProblemRequestor",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4,n/a
"org.eclipse.jdt.core.IRegion",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4,n/a
"org.eclipse.jdt.core.ISourceManipulation",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4,n/a
"org.eclipse.jdt.core.ISourceRange",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,n/a
"org.eclipse.jdt.core.ISourceReference",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3,n/a
"org.eclipse.jdt.core.IType",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,50,n/a
"org.eclipse.jdt.core.ITypeHierarchy",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,24,n/a
"org.eclipse.jdt.core.ITypeHierarchyChangedListener",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
"org.eclipse.jdt.core.ITypeParameter",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3,n/a
"org.eclipse.jdt.core.IWorkingCopy",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,15,n/a
"org.eclipse.jdt.core.JavaConventions",24,2,13,15,14,0,0,4,543,216,0,0,0,"4,15",12,24,54
"org.eclipse.jdt.core.JavaCore",85,144,68,212,44,0,0,14,3.872,1.139,0,0,0,"2,75",47,134,212
"org.eclipse.jdt.core.JavaModelException",140,2,9,11,2,0,0,1,150,71,0,0,0,"1,67",4,12,15
"org.eclipse.jdt.core.NamingConventions",7,3,22,25,7,0,0,7,718,241,0,0,0,"2,09",21,34,46
"org.eclipse.jdt.core.NamingConventions.NamingRequestor",3,19,9,28,2,0,1,1,166,162,0,0,0,"3,80",1,5,19
"org.eclipse.jdt.core.Signature",44,50,76,126,2,0,0,17,2.688,1.409,0,0,0,"4,87",73,86,370
"org.eclipse.jdt.core.ToolFactory",30,0,10,10,26,0,0,7,291,117,0,0,0,"2,60",10,27,26
"org.eclipse.jdt.core.WorkingCopyOwner",41,0,2,2,4,0,0,2,51,8,3,0,0,"1,00",1,4,2
"org.eclipse.jdt.core.compiler.CharOperation",211,3,52,55,1,0,0,4,2.628,990,0,0,0,"5,35",51,52,278
"org.eclipse.jdt.core.compiler.IProblem",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,12,n/a
"org.eclipse.jdt.core.compiler.IScanner",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,12,n/a
"org.eclipse.jdt.core.compiler.ITerminalSymbols",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,n/a
"org.eclipse.jdt.core.compiler.InvalidInputException",29,1,2,3,0,0,0,0,19,9,0,0,0,"1,00",0,2,2
"org.eclipse.jdt.core.dom.AST",136,14,126,140,110,0,0,85,2.528,813,0,0,0,"1,44",103,275,181
"org.eclipse.jdt.core.dom.ASTConverter",208,11,157,168,206,0,0,1,4.564,4.303,0,0,0,"6,25",113,476,981
"org.eclipse.jdt.core.dom.ASTMatcher",88,1,89,90,88,0,0,9,2.253,927,0,0,0,"2,69",87,273,239
"org.eclipse.jdt.core.dom.ASTNode",148,101,60,161,93,0,0,15,2.218,703,19,0,0,"3,75",34,89,199
"org.eclipse.jdt.core.dom.ASTNode.NodeList",38,3,11,14,4,0,0,1,234,109,0,0,0,"2,18",7,21,24
"org.eclipse.jdt.core.dom.ASTNode.NodeList.Cursor",2,1,4,5,1,0,0,2,48,19,0,0,0,"1,25",2,4,5
"org.eclipse.jdt.core.dom.ASTParser",44,18,20,38,44,0,0,2,900,374,0,0,0,"3,45",4,73,69
"org.eclipse.jdt.core.dom.ASTRequestor",6,1,4,5,5,0,0,3,99,20,0,0,0,"1,50",1,5,6
"org.eclipse.jdt.core.dom.ASTSyntaxErrorPropagator",12,2,178,180,10,1,0,1,90,67,0,162,6,"1,75",7,16,14
"org.eclipse.jdt.core.dom.ASTVisitor",89,1,170,171,84,0,0,168,2.346,428,5,0,0,"1,00",83,170,170
"org.eclipse.jdt.core.dom.AbstractTypeDeclaration",22,13,80,93,13,2,0,10,225,68,3,50,1,"1,23",14,27,16
"org.eclipse.jdt.core.dom.Annotation",14,9,68,77,10,2,1,8,149,53,3,44,0,"1,27",10,19,14
"org.eclipse.jdt.core.dom.AnnotationTypeDeclaration",20,18,95,113,14,3,0,9,237,113,0,57,3,"1,53",15,51,26
"org.eclipse.jdt.core.dom.AnnotationTypeMemberDeclaration",21,20,85,105,16,2,0,6,380,188,0,48,3,"2,05",16,58,43
"org.eclipse.jdt.core.dom.AnonymousClassDeclaration",18,11,64,75,9,1,0,5,157,62,0,42,1,"1,17",10,30,14
"org.eclipse.jdt.core.dom.ArrayAccess",13,13,68,81,7,2,0,4,232,116,0,43,1,"1,93",10,34,27
"org.eclipse.jdt.core.dom.ArrayCreation",17,15,70,85,11,2,0,4,278,123,0,42,2,"1,69",12,45,27
"org.eclipse.jdt.core.dom.ArrayInitializer",14,11,65,76,7,2,0,4,127,56,0,43,1,"1,18",9,27,13
"org.eclipse.jdt.core.dom.ArrayType",15,11,74,85,7,2,0,4,204,96,0,49,1,"1,64",11,35,23
"org.eclipse.jdt.core.dom.AssertStatement",13,14,71,85,8,2,0,4,222,107,0,45,2,"1,71",10,36,24
"org.eclipse.jdt.core.dom.Assignment",15,15,71,86,9,2,0,4,277,143,0,42,2,"1,94",12,41,33
"org.eclipse.jdt.core.dom.Assignment.Operator",4,14,3,17,1,0,0,1,111,48,0,0,0,"1,33",2,3,4
"org.eclipse.jdt.core.dom.BindingComparator",16,0,10,10,13,0,0,1,244,211,0,0,0,"5,10",10,25,51
"org.eclipse.jdt.core.dom.BindingKey",30,5,19,24,30,0,0,1,364,284,0,0,0,"4,84",17,56,92
"org.eclipse.jdt.core.dom.BindingKeyScanner",4,13,13,26,2,0,0,1,242,236,0,0,0,"4,31",10,14,56
"org.eclipse.jdt.core.dom.BindingResolver",44,0,35,35,35,0,0,34,674,103,1,0,0,"1,00",31,35,35
"org.eclipse.jdt.core.dom.Block",26,12,68,80,7,2,0,4,136,58,0,45,2,"1,18",9,29,13
"org.eclipse.jdt.core.dom.BlockComment",8,10,68,78,5,2,0,6,102,38,0,48,1,"1,00",7,19,9
"org.eclipse.jdt.core.dom.BodyDeclaration",31,11,67,78,10,1,0,7,237,71,6,43,0,"1,50",12,28,18
"org.eclipse.jdt.core.dom.BooleanLiteral",12,11,66,77,6,2,0,6,143,62,0,43,1,"1,17",9,26,14
"org.eclipse.jdt.core.dom.BreakStatement",12,12,69,81,7,2,0,4,153,69,0,45,2,"1,33",9,31,16
"org.eclipse.jdt.core.dom.CastExpression",15,13,68,81,9,2,0,4,227,116,0,43,1,"1,93",10,35,27
"org.eclipse.jdt.core.dom.CatchClause",13,13,66,79,7,1,0,4,229,117,0,42,1,"1,93",10,37,27
"org.eclipse.jdt.core.dom.CharacterLiteral",16,11,68,79,10,2,0,5,327,213,0,43,1,"4,29",10,32,60
"org.eclipse.jdt.core.dom.ChildListPropertyDescriptor",40,4,10,14,1,1,0,2,80,18,0,6,0,"1,33",2,4,4
"org.eclipse.jdt.core.dom.ChildPropertyDescriptor",73,5,11,16,2,1,0,3,93,23,0,6,0,"1,25",3,5,5
"org.eclipse.jdt.core.dom.ClassInstanceCreation",21,22,76,98,15,2,0,3,512,229,0,42,2,"2,36",16,55,52
"org.eclipse.jdt.core.dom.Comment",8,9,59,68,5,1,0,5,109,25,3,43,0,"1,00",5,9,7
"org.eclipse.jdt.core.dom.CompilationUnit",35,23,82,105,18,1,0,7,766,246,0,41,2,"1,97",22,70,59
"org.eclipse.jdt.core.dom.CompilationUnitResolver",62,11,38,49,61,1,2,2,609,486,0,7,6,"3,91",9,88,90
"org.eclipse.jdt.core.dom.ConditionalExpression",13,15,70,85,7,2,0,4,292,154,0,43,1,"2,19",11,36,35
"org.eclipse.jdt.core.dom.ConstructorInvocation",17,15,70,85,11,2,0,4,218,94,0,45,2,"1,77",11,33,23
"org.eclipse.jdt.core.dom.ContinueStatement",12,12,69,81,7,2,0,4,153,69,0,45,2,"1,33",9,31,16
"org.eclipse.jdt.core.dom.DefaultASTVisitor",73,1,311,312,71,1,0,2,437,428,1,30,138,"1,01",70,143,142
"org.eclipse.jdt.core.dom.DefaultBindingResolver",120,9,72,81,118,1,0,2,1.103,936,0,0,34,"6,81",32,89,252
"org.eclipse.jdt.core.dom.DefaultBindingResolver.BindingTables",4,2,1,3,0,0,0,0,19,8,0,0,0,"1,00",0,1,1
"org.eclipse.jdt.core.dom.DefaultCommentMapper",11,10,12,22,10,0,0,1,497,347,0,0,0,"7,17",10,22,86
"org.eclipse.jdt.core.dom.DefaultCommentMapper.CommentMapperVisitor",4,2,314,316,4,2,0,2,43,32,0,304,3,"1,67",2,8,5
"org.eclipse.jdt.core.dom.DoStatement",14,14,71,85,9,2,0,4,236,117,0,45,2,"1,93",10,37,27
"org.eclipse.jdt.core.dom.DocCommentParser",20,39,54,93,19,1,0,1,665,570,0,12,2,"5,78",12,62,104
"org.eclipse.jdt.core.dom.EmptyStatement",11,10,65,75,5,2,0,6,88,36,0,47,0,"1,00",6,19,8
"org.eclipse.jdt.core.dom.EnhancedForStatement",15,16,74,90,11,2,0,5,303,158,0,45,2,"2,12",12,44,36
"org.eclipse.jdt.core.dom.EnumConstantDeclaration",22,22,87,109,15,2,0,5,411,205,0,47,4,"1,96",18,64,45
"org.eclipse.jdt.core.dom.EnumDeclaration",21,22,97,119,16,3,0,7,297,143,0,57,3,"1,58",17,55,30
"org.eclipse.jdt.core.dom.Expression",56,8,54,62,4,1,0,1,63,8,26,43,0,"1,00",1,5,2
"org.eclipse.jdt.core.dom.ExpressionStatement",13,12,69,81,8,2,0,4,170,81,0,45,2,"1,58",9,34,19
"org.eclipse.jdt.core.dom.FieldAccess",15,13,69,82,9,2,0,4,273,119,0,43,1,"1,87",11,38,28
"org.eclipse.jdt.core.dom.FieldDeclaration",24,20,83,103,13,2,0,4,339,177,0,46,5,"2,11",15,59,40
"org.eclipse.jdt.core.dom.ForStatement",15,18,74,92,10,2,0,4,315,138,0,44,3,"1,71",13,45,29
"org.eclipse.jdt.core.dom.IBinding",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,10,n/a
"org.eclipse.jdt.core.dom.IDocElement",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,n/a
"org.eclipse.jdt.core.dom.IExtendedModifier",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,n/a
"org.eclipse.jdt.core.dom.IMethodBinding",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,15,n/a
"org.eclipse.jdt.core.dom.IPackageBinding",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3,n/a
"org.eclipse.jdt.core.dom.ITypeBinding",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,41,n/a
"org.eclipse.jdt.core.dom.IVariableBinding",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,7,n/a
"org.eclipse.jdt.core.dom.IfStatement",14,16,73,89,9,2,0,4,305,143,0,45,2,"2,00",11,40,32
"org.eclipse.jdt.core.dom.ImportDeclaration",18,16,70,86,10,1,0,4,332,143,0,41,2,"1,72",13,46,31
"org.eclipse.jdt.core.dom.InfixExpression",17,17,74,91,11,2,0,4,343,171,0,41,3,"2,05",15,51,41
"org.eclipse.jdt.core.dom.InfixExpression.Operator",4,21,3,24,1,0,0,1,137,60,0,0,0,"1,33",2,3,4
"org.eclipse.jdt.core.dom.Initializer",19,18,81,99,11,2,0,5,269,147,0,47,4,"2,06",14,53,35
"org.eclipse.jdt.core.dom.InstanceofExpression",15,13,68,81,9,2,0,4,225,116,0,43,1,"1,93",10,35,27
"org.eclipse.jdt.core.dom.InternalASTRewrite",13,5,26,31,12,1,0,1,156,137,0,2,8,"2,13",5,38,32
"org.eclipse.jdt.core.dom.Javadoc",29,16,73,89,13,2,0,3,275,126,0,46,3,"1,93",11,40,27
"org.eclipse.jdt.core.dom.LabeledStatement",13,14,71,85,8,2,0,4,237,118,0,45,2,"1,93",10,37,27
"org.eclipse.jdt.core.dom.LineComment",8,10,68,78,5,2,0,6,99,38,0,48,1,"1,00",7,19,9
"org.eclipse.jdt.core.dom.MarkerAnnotation",11,11,78,89,7,3,1,7,139,62,0,51,2,"1,36",9,30,15
"org.eclipse.jdt.core.dom.MemberRef",17,13,67,80,10,1,1,4,233,107,0,42,1,"1,67",11,38,25
"org.eclipse.jdt.core.dom.MemberValuePair",12,13,66,79,7,1,0,4,235,117,0,42,1,"1,93",10,36,27
"org.eclipse.jdt.core.dom.Message",1,3,6,9,0,0,0,3,112,43,0,0,0,"1,83",4,6,11
"org.eclipse.jdt.core.dom.MethodBinding",35,12,51,63,35,0,2,2,366,281,0,0,0,"2,77",24,72,72
"org.eclipse.jdt.core.dom.MethodDeclaration",32,34,98,132,19,2,0,3,843,381,0,45,6,"2,38",25,87,81
"org.eclipse.jdt.core.dom.MethodInvocation",19,18,72,90,12,2,0,4,342,159,0,42,2,"2,06",14,49,37
"org.eclipse.jdt.core.dom.MethodRef",20,15,69,84,13,1,1,4,273,125,0,41,2,"1,65",13,46,28
"org.eclipse.jdt.core.dom.MethodRefParameter",15,13,66,79,8,1,0,4,215,104,0,42,1,"1,71",10,35,24
"org.eclipse.jdt.core.dom.Modifier",19,23,79,102,7,1,1,19,385,117,0,42,1,"1,12",22,40,28
"org.eclipse.jdt.core.dom.Modifier.ModifierKeyword",10,14,5,19,2,0,0,1,131,57,0,0,0,"1,60",4,5,8
"org.eclipse.jdt.core.dom.NaiveASTFlattener",99,3,259,262,99,1,0,3,1.495,1.162,0,85,83,"3,07",84,292,273
"org.eclipse.jdt.core.dom.Name",33,10,60,70,8,2,1,3,97,26,2,44,0,"1,20",4,10,6
"org.eclipse.jdt.core.dom.NodeEventHandler",5,0,11,11,3,0,0,10,164,24,1,0,0,"1,00",0,11,11
"org.eclipse.jdt.core.dom.NodeSearcher",14,3,210,213,12,1,0,1,66,66,0,197,6,"1,86",6,7,13
"org.eclipse.jdt.core.dom.NormalAnnotation",14,13,80,93,10,3,1,5,177,79,0,50,3,"1,38",11,38,18
"org.eclipse.jdt.core.dom.NullLiteral",11,9,63,72,5,2,0,6,88,38,0,44,0,"1,00",7,18,9
"org.eclipse.jdt.core.dom.NumberLiteral",16,11,66,77,10,2,0,5,176,101,0,43,1,"1,67",9,30,20
"org.eclipse.jdt.core.dom.PackageBinding",11,6,26,32,10,0,2,5,124,84,0,0,0,"1,77",11,17,23
"org.eclipse.jdt.core.dom.PackageDeclaration",21,16,69,85,13,1,0,4,318,148,0,41,2,"2,12",13,48,36
"org.eclipse.jdt.core.dom.ParameterizedType",14,13,74,87,9,2,0,4,215,99,0,48,2,"1,57",11,41,22
"org.eclipse.jdt.core.dom.ParenthesizedExpression",13,11,66,77,7,2,0,4,166,80,0,43,1,"1,58",9,32,19
"org.eclipse.jdt.core.dom.PostfixExpression",15,13,69,82,9,2,0,4,214,108,0,42,2,"1,67",11,39,25
"org.eclipse.jdt.core.dom.PostfixExpression.Operator",4,4,3,7,1,0,0,1,68,25,0,0,0,"1,33",2,3,4
"org.eclipse.jdt.core.dom.PrefixExpression",15,13,69,82,9,2,0,4,215,108,0,42,2,"1,67",11,39,25
"org.eclipse.jdt.core.dom.PrefixExpression.Operator",4,8,3,11,1,0,0,1,84,33,0,0,0,"1,33",2,3,4
"org.eclipse.jdt.core.dom.PrimitiveType",27,21,73,94,8,2,0,7,218,95,0,49,1,"1,31",10,29,17
"org.eclipse.jdt.core.dom.PrimitiveType.Code",6,1,2,3,0,0,0,0,40,9,0,0,0,"1,00",1,2,2
"org.eclipse.jdt.core.dom.QualifiedName",13,14,75,89,7,3,1,4,241,121,0,47,1,"1,87",10,38,28
"org.eclipse.jdt.core.dom.QualifiedType",13,13,74,87,8,2,0,4,246,117,0,49,1,"1,93",10,37,27
"org.eclipse.jdt.core.dom.ReturnStatement",12,12,69,81,7,2,0,4,152,70,0,45,2,"1,33",9,31,16
"org.eclipse.jdt.core.dom.SimpleName",66,13,74,87,20,3,1,6,251,124,0,47,1,"2,14",10,35,30
"org.eclipse.jdt.core.dom.SimplePropertyDescriptor",35,4,10,14,2,1,0,2,65,18,0,6,0,"1,33",2,4,4
"org.eclipse.jdt.core.dom.SimpleType",19,11,72,83,8,2,0,4,164,80,0,49,1,"1,58",9,32,19
"org.eclipse.jdt.core.dom.SingleMemberAnnotation",13,13,80,93,9,3,1,4,202,98,0,51,2,"1,77",10,38,23
"org.eclipse.jdt.core.dom.SingleVariableDeclaration",27,24,95,119,16,2,0,3,565,279,0,43,4,"2,21",21,67,64
"org.eclipse.jdt.core.dom.Statement",32,9,57,66,6,1,0,1,186,49,22,43,0,"2,20",2,11,11
"org.eclipse.jdt.core.dom.StringLiteral",16,11,68,79,10,2,0,5,294,168,0,43,1,"2,93",10,33,41
"org.eclipse.jdt.core.dom.StructuralPropertyDescriptor",18,2,7,9,3,0,0,5,121,48,3,0,0,"1,86",6,7,13
"org.eclipse.jdt.core.dom.SuperConstructorInvocation",18,17,73,90,12,2,0,4,279,122,0,44,3,"1,81",13,43,29
"org.eclipse.jdt.core.dom.SuperFieldAccess",16,13,69,82,10,2,0,4,238,107,0,43,1,"1,67",11,38,25
"org.eclipse.jdt.core.dom.SuperMethodInvocation",19,18,72,90,13,2,0,4,340,158,0,42,2,"2,06",14,49,37
"org.eclipse.jdt.core.dom.SwitchCase",13,13,70,83,8,2,0,4,187,85,0,45,2,"1,46",10,35,19
"org.eclipse.jdt.core.dom.SwitchStatement",15,14,71,85,10,2,0,4,213,98,0,44,3,"1,57",11,42,22
"org.eclipse.jdt.core.dom.SynchronizedStatement",14,14,71,85,9,2,0,4,228,117,0,45,2,"1,93",10,38,27
"org.eclipse.jdt.core.dom.TagElement",15,32,67,99,8,1,1,5,343,103,0,41,2,"1,27",12,37,19
"org.eclipse.jdt.core.dom.TextElement",11,12,64,76,6,1,1,5,166,73,0,42,1,"1,42",9,27,17
"org.eclipse.jdt.core.dom.ThisExpression",13,11,66,77,7,2,0,4,155,68,0,43,1,"1,33",9,29,16
"org.eclipse.jdt.core.dom.ThrowStatement",13,12,69,81,8,2,0,4,167,81,0,45,2,"1,58",9,34,19
"org.eclipse.jdt.core.dom.TryStatement",16,16,73,89,10,2,0,4,257,124,0,44,3,"1,69",12,45,27
"org.eclipse.jdt.core.dom.Type",36,8,60,68,10,1,0,7,150,26,6,43,0,"1,00",7,11,8
"org.eclipse.jdt.core.dom.TypeBinding",40,8,104,112,39,0,2,4,836,632,0,0,0,"3,07",52,123,166
"org.eclipse.jdt.core.dom.TypeDeclaration",29,32,110,142,19,3,0,7,747,356,0,54,6,"2,59",26,82,83
"org.eclipse.jdt.core.dom.TypeDeclarationStatement",15,14,72,86,10,2,0,4,276,120,0,45,2,"1,80",11,39,27
"org.eclipse.jdt.core.dom.TypeLiteral",14,11,66,77,8,2,0,4,165,80,0,43,1,"1,58",9,32,19
"org.eclipse.jdt.core.dom.TypeParameter",18,13,67,80,11,1,0,4,228,102,0,41,2,"1,53",12,44,23
"org.eclipse.jdt.core.dom.VariableBinding",25,7,33,40,25,0,2,2,239,184,0,0,0,"3,50",15,51,56
"org.eclipse.jdt.core.dom.VariableDeclaration",13,8,66,74,8,1,0,10,169,26,2,43,0,"1,00",10,17,5
"org.eclipse.jdt.core.dom.VariableDeclarationExpression",22,18,72,90,15,2,0,3,381,170,0,41,3,"2,17",14,52,39
