Complexity metrics,Qui, 26 out 2017 17:44:33 BRST
"org.eclipse.jdt.core.CompletionRequestorAdapter.acceptAnonymousType(char[],char[],char[][],char[][],char[][],char[],int,int,int,int)",1,1,1
"org.eclipse.jdt.core.CompletionRequestorAdapter.acceptClass(char[],char[],char[],int,int,int,int)",1,1,1
"org.eclipse.jdt.core.CompletionRequestorAdapter.acceptError(IProblem)",1,1,1
"org.eclipse.jdt.core.CompletionRequestorAdapter.acceptField(char[],char[],char[],char[],char[],char[],int,int,int,int)",1,1,1
"org.eclipse.jdt.core.CompletionRequestorAdapter.acceptInterface(char[],char[],char[],int,int,int,int)",1,1,1
"org.eclipse.jdt.core.CompletionRequestorAdapter.acceptKeyword(char[],int,int,int)",1,1,1
"org.eclipse.jdt.core.CompletionRequestorAdapter.acceptLabel(char[],int,int,int)",1,1,1
"org.eclipse.jdt.core.CompletionRequestorAdapter.acceptLocalVariable(char[],char[],char[],int,int,int,int)",1,1,1
"org.eclipse.jdt.core.CompletionRequestorAdapter.acceptMethod(char[],char[],char[],char[][],char[][],char[][],char[],char[],char[],int,int,int,int)",1,1,1
"org.eclipse.jdt.core.CompletionRequestorAdapter.acceptMethodDeclaration(char[],char[],char[],char[][],char[][],char[][],char[],char[],char[],int,int,int,int)",1,1,1
"org.eclipse.jdt.core.CompletionRequestorAdapter.acceptModifier(char[],int,int,int)",1,1,1
"org.eclipse.jdt.core.CompletionRequestorAdapter.acceptPackage(char[],char[],int,int,int)",1,1,1
"org.eclipse.jdt.core.CompletionRequestorAdapter.acceptType(char[],char[],char[],int,int,int)",1,1,1
"org.eclipse.jdt.core.CompletionRequestorAdapter.acceptVariableName(char[],char[],char[],char[],int,int,int)",1,1,1
"org.eclipse.jdt.core.CorrectionEngine.CorrectionEngine(Map)",1,1,1
"org.eclipse.jdt.core.CorrectionEngine.computeCorrections(ICompilationUnit,int,int,int,String[],ICorrectionRequestor)",4,4,13
"org.eclipse.jdt.core.CorrectionEngine.computeCorrections(IMarker,ICompilationUnit,int,ICorrectionRequestor)",2,2,3
"org.eclipse.jdt.core.CorrectionEngine.computeCorrections(IProblem,ICompilationUnit,ICorrectionRequestor)",2,2,2
"org.eclipse.jdt.core.CorrectionEngine.correct(char[])",7,4,9
"org.eclipse.jdt.core.CorrectionEngine.getProblemArguments(IMarker)",1,1,1
"org.eclipse.jdt.core.ElementChangedEvent.ElementChangedEvent(IJavaElementDelta,int)",1,1,1
"org.eclipse.jdt.core.ElementChangedEvent.getDelta()",1,1,1
"org.eclipse.jdt.core.ElementChangedEvent.getType()",1,1,1
"org.eclipse.jdt.core.Flags.Flags()",1,1,1
"org.eclipse.jdt.core.Flags.isAbstract(int)",1,1,1
"org.eclipse.jdt.core.Flags.isAnnotation(int)",1,1,1
"org.eclipse.jdt.core.Flags.isBridge(int)",1,1,1
"org.eclipse.jdt.core.Flags.isDeprecated(int)",1,1,1
"org.eclipse.jdt.core.Flags.isEnum(int)",1,1,1
"org.eclipse.jdt.core.Flags.isFinal(int)",1,1,1
"org.eclipse.jdt.core.Flags.isInterface(int)",1,1,1
"org.eclipse.jdt.core.Flags.isNative(int)",1,1,1
"org.eclipse.jdt.core.Flags.isPrivate(int)",1,1,1
"org.eclipse.jdt.core.Flags.isProtected(int)",1,1,1
"org.eclipse.jdt.core.Flags.isPublic(int)",1,1,1
"org.eclipse.jdt.core.Flags.isStatic(int)",1,1,1
"org.eclipse.jdt.core.Flags.isStrictfp(int)",1,1,1
"org.eclipse.jdt.core.Flags.isSynchronized(int)",1,1,1
"org.eclipse.jdt.core.Flags.isSynthetic(int)",1,1,1
"org.eclipse.jdt.core.Flags.isTransient(int)",1,1,1
"org.eclipse.jdt.core.Flags.isVarargs(int)",1,1,1
"org.eclipse.jdt.core.Flags.isVolatile(int)",1,1,1
"org.eclipse.jdt.core.Flags.toString(int)",2,12,13
"org.eclipse.jdt.core.JDTCompilerAdapter.addExtdirs(Path,Path)",3,6,6
"org.eclipse.jdt.core.JDTCompilerAdapter.execute()",1,3,5
"org.eclipse.jdt.core.JDTCompilerAdapter.setupJavacCommand()",5,45,58
"org.eclipse.jdt.core.JavaConventions.JavaConventions()",1,1,1
"org.eclipse.jdt.core.JavaConventions.isOverlappingRoots(IPath,IPath)",4,6,10
"org.eclipse.jdt.core.JavaConventions.scannedIdentifier(String)",4,1,8
"org.eclipse.jdt.core.JavaConventions.validateClassFileName(String)",6,4,6
"org.eclipse.jdt.core.JavaConventions.validateClasspath(IJavaProject,IClasspathEntry[],IPath)",1,1,1
"org.eclipse.jdt.core.JavaConventions.validateClasspathEntry(IJavaProject,IClasspathEntry,boolean)",1,1,1
"org.eclipse.jdt.core.JavaConventions.validateCompilationUnitName(String)",7,5,7
"org.eclipse.jdt.core.JavaConventions.validateFieldName(String)",1,1,1
"org.eclipse.jdt.core.JavaConventions.validateIdentifier(String)",2,2,2
"org.eclipse.jdt.core.JavaConventions.validateImportDeclaration(String)",4,5,5
"org.eclipse.jdt.core.JavaConventions.validateJavaTypeName(String)",9,8,10
"org.eclipse.jdt.core.JavaConventions.validateMethodName(String)",1,1,1
"org.eclipse.jdt.core.JavaConventions.validatePackageName(String)",11,17,20
"org.eclipse.jdt.core.JavaCore.JavaCore()",1,1,1
"org.eclipse.jdt.core.JavaCore.addElementChangedListener(IElementChangedListener)",1,1,1
"org.eclipse.jdt.core.JavaCore.addElementChangedListener(IElementChangedListener,int)",1,1,1
"org.eclipse.jdt.core.JavaCore.addJavaElementMarkerAttributes(Map,IJavaElement)",1,3,4
"org.eclipse.jdt.core.JavaCore.addPreProcessingResourceChangedListener(IResourceChangeListener)",1,1,1
"org.eclipse.jdt.core.JavaCore.configureJavaElementMarker(IMarker,IJavaElement)",1,3,4
"org.eclipse.jdt.core.JavaCore.create(IFile)",1,1,1
"org.eclipse.jdt.core.JavaCore.create(IFolder)",1,1,1
"org.eclipse.jdt.core.JavaCore.create(IProject)",2,1,2
"org.eclipse.jdt.core.JavaCore.create(IResource)",1,1,1
"org.eclipse.jdt.core.JavaCore.create(IWorkspaceRoot)",2,1,2
"org.eclipse.jdt.core.JavaCore.create(String)",1,1,1
"org.eclipse.jdt.core.JavaCore.create(String,WorkingCopyOwner)",2,1,2
"org.eclipse.jdt.core.JavaCore.createClassFileFrom(IFile)",1,1,1
"org.eclipse.jdt.core.JavaCore.createCompilationUnitFrom(IFile)",1,1,1
"org.eclipse.jdt.core.JavaCore.createJarPackageFragmentRootFrom(IFile)",1,1,1
"org.eclipse.jdt.core.JavaCore.getClasspathContainer(IPath,IJavaProject)",2,2,2
"org.eclipse.jdt.core.JavaCore.getClasspathContainerInitializer(String)",7,9,11
"org.eclipse.jdt.core.JavaCore.getClasspathVariable(String)",5,11,13
"org.eclipse.jdt.core.JavaCore.getClasspathVariableInitializer(String)",7,8,10
"org.eclipse.jdt.core.JavaCore.getClasspathVariableNames()",1,1,1
"org.eclipse.jdt.core.JavaCore.getDefaultOptions()",1,3,3
"org.eclipse.jdt.core.JavaCore.getDefaultPreferences()",1,2,2
"org.eclipse.jdt.core.JavaCore.getEncoding()",2,2,3
"org.eclipse.jdt.core.JavaCore.getInstancePreferences()",1,2,2
"org.eclipse.jdt.core.JavaCore.getJavaCore()",1,1,1
"org.eclipse.jdt.core.JavaCore.getOption(String)",4,5,6
"org.eclipse.jdt.core.JavaCore.getOptions()",1,3,3
"org.eclipse.jdt.core.JavaCore.getPlugin()",1,1,1
"org.eclipse.jdt.core.JavaCore.getResolvedClasspathEntry(IClasspathEntry)",13,11,15
"org.eclipse.jdt.core.JavaCore.getResolvedVariablePath(IPath)",4,2,5
"org.eclipse.jdt.core.JavaCore.getSharedWorkingCopies(IBufferFactory)",1,2,2
"org.eclipse.jdt.core.JavaCore.getUserLibraryNames()",1,1,1
"org.eclipse.jdt.core.JavaCore.getWorkingCopies(WorkingCopyOwner)",2,1,3
"org.eclipse.jdt.core.JavaCore.initializeDefaultPreferences()",1,3,3
"org.eclipse.jdt.core.JavaCore.isReferencedBy(IJavaElement,IMarker)",8,6,10
"org.eclipse.jdt.core.JavaCore.isReferencedBy(IJavaElement,IMarkerDelta)",8,6,10
"org.eclipse.jdt.core.JavaCore.newContainerEntry(IPath)",1,1,1
"org.eclipse.jdt.core.JavaCore.newContainerEntry(IPath,IPath[],IPath[],boolean)",1,3,3
"org.eclipse.jdt.core.JavaCore.newContainerEntry(IPath,boolean)",1,1,1
"org.eclipse.jdt.core.JavaCore.newLibraryEntry(IPath,IPath,IPath)",1,1,1
"org.eclipse.jdt.core.JavaCore.newLibraryEntry(IPath,IPath,IPath,IPath[],IPath[],boolean)",1,6,6
"org.eclipse.jdt.core.JavaCore.newLibraryEntry(IPath,IPath,IPath,boolean)",1,1,1
"org.eclipse.jdt.core.JavaCore.newProjectEntry(IPath)",1,1,1
"org.eclipse.jdt.core.JavaCore.newProjectEntry(IPath,IPath[],IPath[],boolean)",1,2,2
"org.eclipse.jdt.core.JavaCore.newProjectEntry(IPath,boolean)",1,2,2
"org.eclipse.jdt.core.JavaCore.newRegion()",1,1,1
"org.eclipse.jdt.core.JavaCore.newSourceEntry(IPath)",1,1,1
"org.eclipse.jdt.core.JavaCore.newSourceEntry(IPath,IPath[])",1,1,1
"org.eclipse.jdt.core.JavaCore.newSourceEntry(IPath,IPath[],IPath)",1,1,1
"org.eclipse.jdt.core.JavaCore.newSourceEntry(IPath,IPath[],IPath[],IPath)",1,5,5
"org.eclipse.jdt.core.JavaCore.newVariableEntry(IPath,IPath,IPath)",1,1,1
"org.eclipse.jdt.core.JavaCore.newVariableEntry(IPath,IPath,IPath,IPath[],IPath[],boolean)",1,3,3
"org.eclipse.jdt.core.JavaCore.newVariableEntry(IPath,IPath,IPath,boolean)",1,1,1
"org.eclipse.jdt.core.JavaCore.removeClasspathVariable(String)",1,1,1
"org.eclipse.jdt.core.JavaCore.removeClasspathVariable(String,IProgressMonitor)",1,1,2
"org.eclipse.jdt.core.JavaCore.removeElementChangedListener(IElementChangedListener)",1,1,1
"org.eclipse.jdt.core.JavaCore.removePreProcessingResourceChangedListener(IResourceChangeListener)",1,1,1
"org.eclipse.jdt.core.JavaCore.run(IWorkspaceRunnable,IProgressMonitor)",1,1,1
"org.eclipse.jdt.core.JavaCore.run(IWorkspaceRunnable,ISchedulingRule,IProgressMonitor)",1,2,2
"org.eclipse.jdt.core.JavaCore.setClasspathContainer(IPath,IJavaProject[],IClasspathContainer[],IProgressMonitor)",15,21,31
"org.eclipse.jdt.core.JavaCore.setClasspathVariable(String,IPath)",1,1,1
"org.eclipse.jdt.core.JavaCore.setClasspathVariable(String,IPath,IProgressMonitor)",1,2,2
"org.eclipse.jdt.core.JavaCore.setClasspathVariables(String[],IPath[],IProgressMonitor)",1,2,2
"org.eclipse.jdt.core.JavaCore.setOptions(Hashtable)",5,5,8
"org.eclipse.jdt.core.JavaCore.start(BundleContext)",1,6,6
"org.eclipse.jdt.core.JavaCore.startIndexing()",1,1,1
"org.eclipse.jdt.core.JavaCore.stop(BundleContext)",1,1,1
"org.eclipse.jdt.core.JavaModelException.JavaModelException(CoreException)",1,1,1
"org.eclipse.jdt.core.JavaModelException.JavaModelException(IJavaModelStatus)",1,1,1
"org.eclipse.jdt.core.JavaModelException.JavaModelException(Throwable,int)",1,1,1
"org.eclipse.jdt.core.JavaModelException.getException()",2,2,2
"org.eclipse.jdt.core.JavaModelException.getJavaModelStatus()",2,1,2
"org.eclipse.jdt.core.JavaModelException.isDoesNotExist()",1,2,2
"org.eclipse.jdt.core.JavaModelException.printStackTrace(PrintStream)",1,2,2
"org.eclipse.jdt.core.JavaModelException.printStackTrace(PrintWriter)",1,2,2
"org.eclipse.jdt.core.JavaModelException.toString()",1,3,3
"org.eclipse.jdt.core.NamingConventions.NamingConventions()",1,1,1
"org.eclipse.jdt.core.NamingConventions.NamingRequestor.acceptNameWithPrefix(char[],boolean)",1,4,4
"org.eclipse.jdt.core.NamingConventions.NamingRequestor.acceptNameWithPrefixAndSuffix(char[],boolean,boolean)",1,8,9
"org.eclipse.jdt.core.NamingConventions.NamingRequestor.acceptNameWithSuffix(char[],boolean)",1,4,4
"org.eclipse.jdt.core.NamingConventions.NamingRequestor.acceptNameWithoutPrefixAndSuffix(char[])",1,2,2
"org.eclipse.jdt.core.NamingConventions.NamingRequestor.getResults()",1,1,1
"org.eclipse.jdt.core.NamingConventions.convertCharsToString(char[][])",1,2,3
"org.eclipse.jdt.core.NamingConventions.convertStringToChars(String[])",1,3,4
"org.eclipse.jdt.core.NamingConventions.removePrefixAndSuffix(char[],char[][],char[][])",1,13,15
"org.eclipse.jdt.core.NamingConventions.removePrefixAndSuffixForArgumentName(IJavaProject,String)",1,1,1
"org.eclipse.jdt.core.NamingConventions.removePrefixAndSuffixForArgumentName(IJavaProject,char[])",1,1,1
"org.eclipse.jdt.core.NamingConventions.removePrefixAndSuffixForFieldName(IJavaProject,String,int)",1,1,1
"org.eclipse.jdt.core.NamingConventions.removePrefixAndSuffixForFieldName(IJavaProject,char[],int)",1,1,3
"org.eclipse.jdt.core.NamingConventions.removePrefixAndSuffixForLocalVariableName(IJavaProject,String)",1,1,1
"org.eclipse.jdt.core.NamingConventions.removePrefixAndSuffixForLocalVariableName(IJavaProject,char[])",1,1,1
"org.eclipse.jdt.core.NamingConventions.suggestAccessorName(IJavaProject,char[],int)",1,3,3
"org.eclipse.jdt.core.NamingConventions.suggestArgumentNames(IJavaProject,String,String,int,String[])",1,1,1
"org.eclipse.jdt.core.NamingConventions.suggestArgumentNames(IJavaProject,char[],char[],int,char[][])",1,1,1
"org.eclipse.jdt.core.NamingConventions.suggestFieldNames(IJavaProject,String,String,int,int,String[])",1,1,1
"org.eclipse.jdt.core.NamingConventions.suggestFieldNames(IJavaProject,char[],char[],int,int,char[][])",1,1,1
"org.eclipse.jdt.core.NamingConventions.suggestGetterName(IJavaProject,String,int,boolean,String[])",1,1,1
"org.eclipse.jdt.core.NamingConventions.suggestGetterName(IJavaProject,char[],int,boolean,char[][])",3,5,5
"org.eclipse.jdt.core.NamingConventions.suggestLocalVariableNames(IJavaProject,String,String,int,String[])",1,1,1
"org.eclipse.jdt.core.NamingConventions.suggestLocalVariableNames(IJavaProject,char[],char[],int,char[][])",1,1,1
"org.eclipse.jdt.core.NamingConventions.suggestNewName(char[],char[][])",2,3,4
"org.eclipse.jdt.core.NamingConventions.suggestSetterName(IJavaProject,String,int,boolean,String[])",1,1,1
"org.eclipse.jdt.core.NamingConventions.suggestSetterName(IJavaProject,char[],int,boolean,char[][])",3,5,5
"org.eclipse.jdt.core.Signature.Signature()",1,1,1
"org.eclipse.jdt.core.Signature.appendArgumentSimpleNames(char[],int,int,StringBuffer)",2,7,10
"org.eclipse.jdt.core.Signature.appendArrayTypeSignature(char[],int,boolean,StringBuffer)",1,1,1
"org.eclipse.jdt.core.Signature.appendArrayTypeSignature(char[],int,boolean,StringBuffer,boolean)",3,2,4
"org.eclipse.jdt.core.Signature.appendClassTypeSignature(char[],int,boolean,StringBuffer)",7,6,16
"org.eclipse.jdt.core.Signature.appendSimpleName(char[],int,int,StringBuffer)",5,7,16
"org.eclipse.jdt.core.Signature.appendTypeArgumentSignature(char[],int,boolean,StringBuffer)",3,4,6
"org.eclipse.jdt.core.Signature.appendTypeArgumentSignatures(char[],int,boolean,StringBuffer)",6,4,7
"org.eclipse.jdt.core.Signature.appendTypeSignature(char[],int,boolean,StringBuffer)",1,1,1
"org.eclipse.jdt.core.Signature.appendTypeSignature(char[],int,boolean,StringBuffer,boolean)",9,8,19
"org.eclipse.jdt.core.Signature.checkArrayDimension(char[],int,int)",6,2,9
"org.eclipse.jdt.core.Signature.checkName(char[],char[],int,int)",6,3,6
"org.eclipse.jdt.core.Signature.checkNextChar(char[],char,int,int,boolean)",3,1,4
"org.eclipse.jdt.core.Signature.consumeWhitespace(char[],int,int)",3,3,4
"org.eclipse.jdt.core.Signature.createArraySignature(String,int)",1,1,1
"org.eclipse.jdt.core.Signature.createArraySignature(char[],int)",2,1,3
"org.eclipse.jdt.core.Signature.createCharArrayTypeSignature(char[],boolean)",4,1,4
"org.eclipse.jdt.core.Signature.createMethodSignature(String[],String)",1,2,2
"org.eclipse.jdt.core.Signature.createMethodSignature(char[][],char[])",1,2,3
"org.eclipse.jdt.core.Signature.createTypeParameterSignature(String,String[])",1,2,2
"org.eclipse.jdt.core.Signature.createTypeParameterSignature(char[],char[][])",2,3,4
"org.eclipse.jdt.core.Signature.createTypeSignature(String,boolean)",1,2,2
"org.eclipse.jdt.core.Signature.createTypeSignature(char[],boolean)",1,1,1
"org.eclipse.jdt.core.Signature.encodeArrayDimension(char[],int,int,StringBuffer)",1,3,3
"org.eclipse.jdt.core.Signature.encodeQualifiedName(char[],int,int,StringBuffer)",6,7,10
"org.eclipse.jdt.core.Signature.encodeTypeSignature(char[],int,boolean,int,StringBuffer)",16,18,29
"org.eclipse.jdt.core.Signature.getArrayCount(String)",1,1,1
"org.eclipse.jdt.core.Signature.getArrayCount(char[])",1,1,3
"org.eclipse.jdt.core.Signature.getElementType(String)",1,1,1
"org.eclipse.jdt.core.Signature.getElementType(char[])",2,1,2
"org.eclipse.jdt.core.Signature.getParameterCount(String)",1,1,1
"org.eclipse.jdt.core.Signature.getParameterCount(char[])",5,2,6
"org.eclipse.jdt.core.Signature.getParameterTypes(String)",1,1,1
"org.eclipse.jdt.core.Signature.getParameterTypes(char[])",6,2,7
"org.eclipse.jdt.core.Signature.getQualifier(String)",2,1,2
"org.eclipse.jdt.core.Signature.getQualifier(char[])",2,1,3
"org.eclipse.jdt.core.Signature.getReturnType(String)",1,1,1
"org.eclipse.jdt.core.Signature.getReturnType(char[])",2,1,2
"org.eclipse.jdt.core.Signature.getSignatureQualifier(String)",1,2,2
"org.eclipse.jdt.core.Signature.getSignatureQualifier(char[])",8,5,10
"org.eclipse.jdt.core.Signature.getSignatureSimpleName(String)",1,2,2
"org.eclipse.jdt.core.Signature.getSignatureSimpleName(char[])",8,5,10
"org.eclipse.jdt.core.Signature.getSimpleName(String)",6,4,11
"org.eclipse.jdt.core.Signature.getSimpleName(char[])",6,3,11
"org.eclipse.jdt.core.Signature.getSimpleNames(String)",1,1,1
"org.eclipse.jdt.core.Signature.getSimpleNames(char[])",6,4,9
"org.eclipse.jdt.core.Signature.getThrownExceptionTypes(String)",1,1,1
"org.eclipse.jdt.core.Signature.getThrownExceptionTypes(char[])",3,2,4
"org.eclipse.jdt.core.Signature.getTypeArguments(String)",1,1,1
"org.eclipse.jdt.core.Signature.getTypeArguments(char[])",7,4,11
"org.eclipse.jdt.core.Signature.getTypeErasure(String)",1,1,1
"org.eclipse.jdt.core.Signature.getTypeErasure(char[])",6,4,9
"org.eclipse.jdt.core.Signature.getTypeParameterBounds(String)",1,1,1
"org.eclipse.jdt.core.Signature.getTypeParameterBounds(char[])",5,3,6
"org.eclipse.jdt.core.Signature.getTypeParameters(String)",1,1,1
"org.eclipse.jdt.core.Signature.getTypeParameters(char[])",9,4,11
"org.eclipse.jdt.core.Signature.getTypeSignatureKind(String)",7,2,7
"org.eclipse.jdt.core.Signature.getTypeSignatureKind(char[])",7,2,7
"org.eclipse.jdt.core.Signature.getTypeVariable(String)",1,1,1
"org.eclipse.jdt.core.Signature.getTypeVariable(char[])",2,1,2
"org.eclipse.jdt.core.Signature.scanArrayTypeSignature(char[],int)",3,1,3
"org.eclipse.jdt.core.Signature.scanBaseTypeSignature(char[],int)",3,1,3
"org.eclipse.jdt.core.Signature.scanClassTypeSignature(char[],int)",6,5,10
"org.eclipse.jdt.core.Signature.scanIdentifier(char[],int)",5,1,10
"org.eclipse.jdt.core.Signature.scanTypeArgumentSignature(char[],int)",4,2,5
"org.eclipse.jdt.core.Signature.scanTypeArgumentSignatures(char[],int)",6,2,6
"org.eclipse.jdt.core.Signature.scanTypeSignature(char[],int)",7,6,7
"org.eclipse.jdt.core.Signature.scanTypeVariableSignature(char[],int)",4,1,4
"org.eclipse.jdt.core.Signature.toCharArray(char[])",2,2,4
"org.eclipse.jdt.core.Signature.toCharArray(char[],char[],char[][],boolean,boolean)",1,1,1
"org.eclipse.jdt.core.Signature.toCharArray(char[],char[],char[][],boolean,boolean,boolean)",2,7,8
"org.eclipse.jdt.core.Signature.toQualifiedName(String[])",1,2,2
"org.eclipse.jdt.core.Signature.toQualifiedName(char[][])",3,2,6
"org.eclipse.jdt.core.Signature.toString(String)",1,1,1
"org.eclipse.jdt.core.Signature.toString(String,String,String[],boolean,boolean)",1,1,1
"org.eclipse.jdt.core.Signature.toString(String,String,String[],boolean,boolean,boolean)",1,4,4
"org.eclipse.jdt.core.ToolFactory.createCodeFormatter()",6,4,7
"org.eclipse.jdt.core.ToolFactory.createCodeFormatter(Map)",1,2,2
"org.eclipse.jdt.core.ToolFactory.createDefaultClassFileBytesDisassembler()",1,1,1
"org.eclipse.jdt.core.ToolFactory.createDefaultClassFileDisassembler()",1,1,1
"org.eclipse.jdt.core.ToolFactory.createDefaultClassFileReader(IClassFile,int)",4,3,5
"org.eclipse.jdt.core.ToolFactory.createDefaultClassFileReader(String,String,int)",3,3,8
"org.eclipse.jdt.core.ToolFactory.createDefaultClassFileReader(String,int)",1,1,3
"org.eclipse.jdt.core.ToolFactory.createDefaultCodeFormatter(Map)",1,2,2
"org.eclipse.jdt.core.ToolFactory.createScanner(boolean,boolean,boolean,String)",1,1,2
"org.eclipse.jdt.core.ToolFactory.createScanner(boolean,boolean,boolean,boolean)",1,1,2
"org.eclipse.jdt.core.WorkingCopyOwner.createBuffer(ICompilationUnit)",1,1,1
"org.eclipse.jdt.core.WorkingCopyOwner.setPrimaryBufferProvider(WorkingCopyOwner)",1,1,1
"org.eclipse.jdt.core.compiler.CharOperation.append(char[],char)",2,1,2
"org.eclipse.jdt.core.compiler.CharOperation.append(char[],int,char[],int,int)",1,2,2
"org.eclipse.jdt.core.compiler.CharOperation.arrayConcat(char[][],char[])",3,1,3
"org.eclipse.jdt.core.compiler.CharOperation.arrayConcat(char[][],char[][])",3,1,3
"org.eclipse.jdt.core.compiler.CharOperation.charArrayToStringArray(char[][])",3,1,4
"org.eclipse.jdt.core.compiler.CharOperation.charToString(char[])",2,1,2
"org.eclipse.jdt.core.compiler.CharOperation.compareWith(char[],char[])",4,1,4
"org.eclipse.jdt.core.compiler.CharOperation.concat(char,char[],char)",2,1,2
"org.eclipse.jdt.core.compiler.CharOperation.concat(char[],char,char[],char,char[])",4,4,4
"org.eclipse.jdt.core.compiler.CharOperation.concat(char[],char[])",3,1,3
"org.eclipse.jdt.core.compiler.CharOperation.concat(char[],char[],char)",5,1,5
"org.eclipse.jdt.core.compiler.CharOperation.concat(char[],char[],char[])",4,4,4
"org.eclipse.jdt.core.compiler.CharOperation.concatWith(char[],char[][],char)",3,4,9
"org.eclipse.jdt.core.compiler.CharOperation.concatWith(char[][],char)",3,3,9
"org.eclipse.jdt.core.compiler.CharOperation.concatWith(char[][],char[],char)",3,4,9
"org.eclipse.jdt.core.compiler.CharOperation.contains(char,char[])",3,1,3
"org.eclipse.jdt.core.compiler.CharOperation.contains(char,char[][])",4,1,4
"org.eclipse.jdt.core.compiler.CharOperation.deepCopy(char[][])",1,2,2
"org.eclipse.jdt.core.compiler.CharOperation.endsWith(char[],char[])",4,1,4
"org.eclipse.jdt.core.compiler.CharOperation.equals(char[],char[])",6,1,7
