Complexity metrics,Sex, 27 out 2017 14:45:55 BRST
"com.mongodb.AggregateIterableImpl.allowDiskUse(Boolean)",1,1,1
"com.mongodb.AggregateIterableImpl.asReadOperation()",2,4,4
"com.mongodb.AggregateIterableImpl.batchSize(int)",1,1,1
"com.mongodb.AggregateIterableImpl.bypassDocumentValidation(Boolean)",1,1,1
"com.mongodb.AggregateIterableImpl.collation(Collation)",1,1,1
"com.mongodb.AggregateIterableImpl.comment(String)",1,1,1
"com.mongodb.AggregateIterableImpl.createAggregateToCollectionOperation(List<BsonDocument>)",1,2,2
"com.mongodb.AggregateIterableImpl.createBsonDocumentList(List<? extends Bson>)",3,2,3
"com.mongodb.AggregateIterableImpl.getOutCollection(List<BsonDocument>)",1,2,2
"com.mongodb.AggregateIterableImpl.hint(Bson)",1,1,1
"com.mongodb.AggregateIterableImpl.maxAwaitTime(long,TimeUnit)",1,1,1
"com.mongodb.AggregateIterableImpl.maxTime(long,TimeUnit)",1,1,1
"com.mongodb.AggregateIterableImpl.toCollection()",2,1,2
"com.mongodb.AggregateIterableImpl.useCursor(Boolean)",1,1,1
"com.mongodb.AggregationOptions.AggregationOptions(Builder)",1,1,1
"com.mongodb.AggregationOptions.Builder.Builder()",1,1,1
"com.mongodb.AggregationOptions.Builder.allowDiskUse(Boolean)",1,1,1
"com.mongodb.AggregationOptions.Builder.batchSize(Integer)",1,1,1
"com.mongodb.AggregationOptions.Builder.build()",1,1,1
"com.mongodb.AggregationOptions.Builder.bypassDocumentValidation(Boolean)",1,1,1
"com.mongodb.AggregationOptions.Builder.collation(Collation)",1,1,1
"com.mongodb.AggregationOptions.Builder.maxTime(long,TimeUnit)",1,1,1
"com.mongodb.AggregationOptions.Builder.outputMode(OutputMode)",1,1,1
"com.mongodb.AggregationOptions.builder()",1,1,1
"com.mongodb.AggregationOptions.getAllowDiskUse()",1,1,1
"com.mongodb.AggregationOptions.getBatchSize()",1,1,1
"com.mongodb.AggregationOptions.getBypassDocumentValidation()",1,1,1
"com.mongodb.AggregationOptions.getCollation()",1,1,1
"com.mongodb.AggregationOptions.getMaxTime(TimeUnit)",1,1,1
"com.mongodb.AggregationOptions.getOutputMode()",1,1,1
"com.mongodb.AggregationOptions.toString()",1,1,1
"com.mongodb.AggregationOutput.AggregationOutput(List<DBObject>)",1,1,1
"com.mongodb.AggregationOutput.results()",1,1,1
"com.mongodb.AuthenticationMechanism.AuthenticationMechanism(String)",1,1,1
"com.mongodb.AuthenticationMechanism.fromMechanismName(String)",2,1,2
"com.mongodb.AuthenticationMechanism.getMechanismName()",1,1,1
"com.mongodb.AuthenticationMechanism.toString()",1,1,1
"com.mongodb.BSONTimestampCodec.decode(BsonReader,DecoderContext)",1,1,1
"com.mongodb.BSONTimestampCodec.encode(BsonWriter,BSONTimestamp,EncoderContext)",1,1,1
"com.mongodb.BSONTimestampCodec.getEncoderClass()",1,1,1
"com.mongodb.BasicDBList.copy()",1,4,4
"com.mongodb.BasicDBList.isPartialObject()",1,1,1
"com.mongodb.BasicDBList.markAsPartialObject()",1,1,1
"com.mongodb.BasicDBList.toString()",1,1,1
"com.mongodb.BasicDBObject.BasicDBObject()",1,1,1
"com.mongodb.BasicDBObject.BasicDBObject(Map)",1,1,1
"com.mongodb.BasicDBObject.BasicDBObject(String,Object)",1,1,1
"com.mongodb.BasicDBObject.BasicDBObject(int)",1,1,1
"com.mongodb.BasicDBObject.append(String,Object)",1,1,1
"com.mongodb.BasicDBObject.copy()",1,4,4
"com.mongodb.BasicDBObject.isPartialObject()",1,1,1
"com.mongodb.BasicDBObject.markAsPartialObject()",1,1,1
"com.mongodb.BasicDBObject.parse(String)",1,1,1
"com.mongodb.BasicDBObject.parse(String,Decoder<BasicDBObject>)",1,1,1
"com.mongodb.BasicDBObject.toBsonDocument(Class<TDocument>,CodecRegistry)",1,1,1
"com.mongodb.BasicDBObject.toJson()",1,1,1
"com.mongodb.BasicDBObject.toJson(Encoder<BasicDBObject>)",1,1,1
"com.mongodb.BasicDBObject.toJson(JsonWriterSettings)",1,1,1
"com.mongodb.BasicDBObject.toJson(JsonWriterSettings,Encoder<BasicDBObject>)",1,1,1
"com.mongodb.BasicDBObject.toString()",1,1,1
"com.mongodb.BasicDBObjectBuilder.BasicDBObjectBuilder()",1,1,1
"com.mongodb.BasicDBObjectBuilder._cur()",1,1,1
"com.mongodb.BasicDBObjectBuilder.add(String,Object)",1,1,1
"com.mongodb.BasicDBObjectBuilder.append(String,Object)",1,1,1
"com.mongodb.BasicDBObjectBuilder.get()",1,1,1
"com.mongodb.BasicDBObjectBuilder.isEmpty()",1,1,1
"com.mongodb.BasicDBObjectBuilder.pop()",2,1,2
"com.mongodb.BasicDBObjectBuilder.push(String)",1,1,1
"com.mongodb.BasicDBObjectBuilder.start()",1,1,1
"com.mongodb.BasicDBObjectBuilder.start(Map)",1,2,2
"com.mongodb.BasicDBObjectBuilder.start(String,Object)",1,1,1
"com.mongodb.BasicDBObjectFactory.getInstance()",1,1,1
"com.mongodb.BasicDBObjectFactory.getInstance(List<String>)",1,1,1
"com.mongodb.BulkUpdateRequestBuilder.BulkUpdateRequestBuilder(BulkWriteOperation,DBObject,boolean,Encoder<DBObject>,Encoder<DBObject>,Collation,List<? extends DBObject>)",1,1,1
"com.mongodb.BulkUpdateRequestBuilder.collation(Collation)",1,1,1
"com.mongodb.BulkUpdateRequestBuilder.getArrayFilters()",1,1,1
"com.mongodb.BulkUpdateRequestBuilder.getCollation()",1,1,1
"com.mongodb.BulkUpdateRequestBuilder.replaceOne(DBObject)",1,1,1
"com.mongodb.BulkUpdateRequestBuilder.update(DBObject)",1,1,1
"com.mongodb.BulkUpdateRequestBuilder.updateOne(DBObject)",1,1,1
"com.mongodb.BulkWriteError.BulkWriteError(int,String,DBObject,int)",1,1,1
"com.mongodb.BulkWriteError.equals(Object)",7,2,8
"com.mongodb.BulkWriteError.getCode()",1,1,1
"com.mongodb.BulkWriteError.getDetails()",1,1,1
"com.mongodb.BulkWriteError.getIndex()",1,1,1
"com.mongodb.BulkWriteError.getMessage()",1,1,1
"com.mongodb.BulkWriteError.hashCode()",1,1,1
"com.mongodb.BulkWriteError.toString()",1,1,1
"com.mongodb.BulkWriteException.BulkWriteException(BulkWriteResult,List<BulkWriteError>,WriteConcernError,ServerAddress)",1,1,3
"com.mongodb.BulkWriteException.equals(Object)",7,3,9
"com.mongodb.BulkWriteException.getWriteConcernError()",1,1,1
"com.mongodb.BulkWriteException.getWriteErrors()",1,1,1
"com.mongodb.BulkWriteException.getWriteResult()",1,1,1
"com.mongodb.BulkWriteException.hashCode()",1,2,2
"com.mongodb.BulkWriteHelper.BulkWriteHelper()",1,1,1
"com.mongodb.BulkWriteHelper.getUpsertedId(BulkWriteUpsert,Decoder<DBObject>)",1,1,1
"com.mongodb.BulkWriteHelper.translateBulkWriteException(MongoBulkWriteException,Decoder<DBObject>)",1,1,1
"com.mongodb.BulkWriteHelper.translateBulkWriteResult(BulkWriteResult,Decoder<DBObject>)",2,3,3
"com.mongodb.BulkWriteHelper.translateBulkWriteUpserts(List<BulkWriteUpsert>,Decoder<DBObject>)",1,2,2
"com.mongodb.BulkWriteHelper.translateWriteConcernError(WriteConcernError)",1,2,2
"com.mongodb.BulkWriteHelper.translateWriteErrors(List<BulkWriteError>)",1,2,2
"com.mongodb.BulkWriteOperation.BulkWriteOperation(boolean,DBCollection)",1,1,1
"com.mongodb.BulkWriteOperation.addRequest(WriteRequest)",1,1,1
"com.mongodb.BulkWriteOperation.execute()",1,1,1
"com.mongodb.BulkWriteOperation.execute(WriteConcern)",1,1,1
"com.mongodb.BulkWriteOperation.find(DBObject)",1,1,1
"com.mongodb.BulkWriteOperation.getBypassDocumentValidation()",1,1,1
"com.mongodb.BulkWriteOperation.insert(DBObject)",1,2,2
"com.mongodb.BulkWriteOperation.isOrdered()",1,1,1
"com.mongodb.BulkWriteOperation.setBypassDocumentValidation(Boolean)",1,1,1
"com.mongodb.BulkWriteRequestBuilder.BulkWriteRequestBuilder(BulkWriteOperation,DBObject,Encoder<DBObject>,Encoder<DBObject>)",1,1,1
"com.mongodb.BulkWriteRequestBuilder.arrayFilters(List<? extends DBObject>)",1,1,1
"com.mongodb.BulkWriteRequestBuilder.collation(Collation)",1,1,1
"com.mongodb.BulkWriteRequestBuilder.getCollation()",1,1,1
"com.mongodb.BulkWriteRequestBuilder.remove()",1,1,1
"com.mongodb.BulkWriteRequestBuilder.removeOne()",1,1,1
"com.mongodb.BulkWriteRequestBuilder.replaceOne(DBObject)",1,1,1
"com.mongodb.BulkWriteRequestBuilder.update(DBObject)",1,1,1
"com.mongodb.BulkWriteRequestBuilder.updateOne(DBObject)",1,1,1
"com.mongodb.BulkWriteRequestBuilder.upsert()",1,1,1
"com.mongodb.BulkWriteUpsert.BulkWriteUpsert(int,Object)",1,1,1
"com.mongodb.BulkWriteUpsert.equals(Object)",5,2,6
"com.mongodb.BulkWriteUpsert.getId()",1,1,1
"com.mongodb.BulkWriteUpsert.getIndex()",1,1,1
"com.mongodb.BulkWriteUpsert.hashCode()",1,1,1
"com.mongodb.BulkWriteUpsert.toString()",1,1,1
"com.mongodb.Bytes.OptionHolder.OptionHolder(OptionHolder)",1,1,1
"com.mongodb.Bytes.OptionHolder.add(int)",1,1,1
"com.mongodb.Bytes.OptionHolder.get()",3,1,3
"com.mongodb.Bytes.OptionHolder.reset()",1,1,1
"com.mongodb.Bytes.OptionHolder.set(int)",1,1,1
"com.mongodb.Bytes.getType(Object)",16,1,21
"com.mongodb.ChangeStreamIterableImpl.ChangeStreamIterableImpl(ClientSession,MongoNamespace,CodecRegistry,ReadPreference,ReadConcern,OperationExecutor,List<? extends Bson>,Class<TResult>)",1,1,1
"com.mongodb.ChangeStreamIterableImpl.asReadOperation()",1,1,1
"com.mongodb.ChangeStreamIterableImpl.batchSize(int)",1,1,1
"com.mongodb.ChangeStreamIterableImpl.collation(Collation)",1,1,1
"com.mongodb.ChangeStreamIterableImpl.createBsonDocumentList(List<? extends Bson>)",3,2,3
"com.mongodb.ChangeStreamIterableImpl.createChangeStreamOperation(Codec<S>)",1,2,2
"com.mongodb.ChangeStreamIterableImpl.fullDocument(FullDocument)",1,1,1
"com.mongodb.ChangeStreamIterableImpl.maxAwaitTime(long,TimeUnit)",1,1,1
"com.mongodb.ChangeStreamIterableImpl.resumeAfter(BsonDocument)",1,1,1
"com.mongodb.ChangeStreamIterableImpl.withDocumentClass(Class<TDocument>)",1,1,1
"com.mongodb.ClientSessionBinding.ClientSessionBinding(ClientSession,boolean,ReadWriteBinding)",1,1,1
"com.mongodb.ClientSessionBinding.SessionBindingConnectionSource.SessionBindingConnectionSource(ConnectionSource)",1,1,1
"com.mongodb.ClientSessionBinding.SessionBindingConnectionSource.getConnection()",1,1,1
"com.mongodb.ClientSessionBinding.SessionBindingConnectionSource.getCount()",1,1,1
"com.mongodb.ClientSessionBinding.SessionBindingConnectionSource.getServerDescription()",1,1,1
"com.mongodb.ClientSessionBinding.SessionBindingConnectionSource.getSessionContext()",1,1,1
"com.mongodb.ClientSessionBinding.SessionBindingConnectionSource.release()",1,1,1
"com.mongodb.ClientSessionBinding.SessionBindingConnectionSource.retain()",1,1,1
"com.mongodb.ClientSessionBinding.closeSessionIfCountIsZero()",1,3,3
"com.mongodb.ClientSessionBinding.getCount()",1,1,1
"com.mongodb.ClientSessionBinding.getReadConnectionSource()",1,1,1
"com.mongodb.ClientSessionBinding.getReadPreference()",1,1,1
"com.mongodb.ClientSessionBinding.getSessionContext()",1,1,1
"com.mongodb.ClientSessionBinding.getWriteConnectionSource()",1,1,1
"com.mongodb.ClientSessionBinding.release()",1,1,1
"com.mongodb.ClientSessionBinding.retain()",1,1,1
"com.mongodb.ClientSessionContext.ClientSessionContext(ClientSession)",1,1,1
"com.mongodb.ClientSessionContext.advanceClusterTime(BsonDocument)",1,1,1
"com.mongodb.ClientSessionContext.advanceOperationTime(BsonTimestamp)",1,1,1
"com.mongodb.ClientSessionContext.advanceTransactionNumber()",1,1,1
"com.mongodb.ClientSessionContext.getClientSession()",1,1,1
"com.mongodb.ClientSessionContext.getClusterTime()",1,1,1
"com.mongodb.ClientSessionContext.getOperationTime()",1,1,1
"com.mongodb.ClientSessionContext.getSessionId()",1,1,1
"com.mongodb.ClientSessionContext.hasSession()",1,1,1
"com.mongodb.ClientSessionContext.isCausallyConsistent()",1,1,1
"com.mongodb.ClientSessionOptions.Builder.Builder()",1,1,1
"com.mongodb.ClientSessionOptions.Builder.build()",1,1,1
"com.mongodb.ClientSessionOptions.Builder.causallyConsistent(boolean)",1,1,1
"com.mongodb.ClientSessionOptions.Builder.initialClusterTime(BsonDocument)",1,1,1
"com.mongodb.ClientSessionOptions.Builder.initialOperationTime(BsonTimestamp)",1,1,1
"com.mongodb.ClientSessionOptions.ClientSessionOptions(Builder)",1,1,1
"com.mongodb.ClientSessionOptions.builder()",1,1,1
"com.mongodb.ClientSessionOptions.getInitialClusterTime()",1,1,1
"com.mongodb.ClientSessionOptions.getInitialOperationTime()",1,1,1
"com.mongodb.ClientSessionOptions.isCausallyConsistent()",1,1,1
"com.mongodb.CommandResult.CommandResult(BsonDocument)",1,1,1
"com.mongodb.CommandResult.CommandResult(BsonDocument,ServerAddress)",1,1,1
"com.mongodb.CommandResult.getErrorMessage()",2,1,2
"com.mongodb.CommandResult.getException()",2,1,2
"com.mongodb.CommandResult.ok()",3,3,3
"com.mongodb.CommandResult.throwOnError()",2,2,2
"com.mongodb.CompoundDBObjectCodec.CompoundDBObjectCodec(Codec<DBObject>)",1,1,1
"com.mongodb.CompoundDBObjectCodec.CompoundDBObjectCodec(Encoder<DBObject>,Decoder<DBObject>)",1,1,1
"com.mongodb.CompoundDBObjectCodec.decode(BsonReader,DecoderContext)",1,1,1
"com.mongodb.CompoundDBObjectCodec.encode(BsonWriter,DBObject,EncoderContext)",1,1,1
"com.mongodb.CompoundDBObjectCodec.getDecoder()",1,1,1
"com.mongodb.CompoundDBObjectCodec.getEncoder()",1,1,1
"com.mongodb.CompoundDBObjectCodec.getEncoderClass()",1,1,1
"com.mongodb.ConnectionString.ConnectionString(String)",6,9,11
"com.mongodb.ConnectionString.buildCompressors(String,Integer)",5,5,6
"com.mongodb.ConnectionString.buildReadPreference(String,List<TagSet>,long)",5,6,7
"com.mongodb.ConnectionString.buildWriteConcern(Boolean,String,Integer,Boolean,Boolean)",2,6,12
"com.mongodb.ConnectionString.countOccurrences(String,String)",1,1,1
"com.mongodb.ConnectionString.createCompressors(Map<String, List<String>>)",3,4,5
"com.mongodb.ConnectionString.createCredentials(Map<String, List<String>>,String,char[])",8,13,22
"com.mongodb.ConnectionString.createReadPreference(Map<String, List<String>>)",3,6,7
"com.mongodb.ConnectionString.createWriteConcern(Map<String, List<String>>)",3,7,8
"com.mongodb.ConnectionString.equals(Object)",21,17,37
"com.mongodb.ConnectionString.getApplicationName()",1,1,1
"com.mongodb.ConnectionString.getCollection()",1,1,1
"com.mongodb.ConnectionString.getCompressorList()",1,1,1
"com.mongodb.ConnectionString.getConnectTimeout()",1,1,1
"com.mongodb.ConnectionString.getConnectionString()",1,1,1
"com.mongodb.ConnectionString.getCredentialList()",1,2,2
"com.mongodb.ConnectionString.getDatabase()",1,1,1
"com.mongodb.ConnectionString.getHeartbeatFrequency()",1,1,1
"com.mongodb.ConnectionString.getHosts()",1,1,1
"com.mongodb.ConnectionString.getLastValue(Map<String, List<String>>,String)",2,1,2
"com.mongodb.ConnectionString.getLocalThreshold()",1,1,1
"com.mongodb.ConnectionString.getMaxConnectionIdleTime()",1,1,1
"com.mongodb.ConnectionString.getMaxConnectionLifeTime()",1,1,1
"com.mongodb.ConnectionString.getMaxConnectionPoolSize()",1,1,1
"com.mongodb.ConnectionString.getMaxWaitTime()",1,1,1
"com.mongodb.ConnectionString.getMinConnectionPoolSize()",1,1,1
"com.mongodb.ConnectionString.getPassword()",1,2,2
"com.mongodb.ConnectionString.getReadConcern()",1,1,1
"com.mongodb.ConnectionString.getReadPreference()",1,1,1
"com.mongodb.ConnectionString.getRequiredReplicaSetName()",1,1,1
"com.mongodb.ConnectionString.getServerSelectionTimeout()",1,1,1
"com.mongodb.ConnectionString.getSocketTimeout()",1,1,1
"com.mongodb.ConnectionString.getSslEnabled()",1,1,1
"com.mongodb.ConnectionString.getSslInvalidHostnameAllowed()",1,1,1
"com.mongodb.ConnectionString.getStreamType()",1,1,1
"com.mongodb.ConnectionString.getTags(String)",4,4,4
"com.mongodb.ConnectionString.getThreadsAllowedToBlockForConnectionMultiplier()",1,1,1
"com.mongodb.ConnectionString.getURI()",1,1,1
"com.mongodb.ConnectionString.getUsername()",1,2,2
"com.mongodb.ConnectionString.getWriteConcern()",1,1,1
"com.mongodb.ConnectionString.hashCode()",1,17,17
"com.mongodb.ConnectionString.parseBoolean(String,String)",1,7,7
"com.mongodb.ConnectionString.parseHosts(List<String>)",8,9,10
"com.mongodb.ConnectionString.parseInteger(String,String)",1,2,2
"com.mongodb.ConnectionString.parseOptions(String)",5,12,16
"com.mongodb.ConnectionString.toString()",1,1,1
"com.mongodb.ConnectionString.translateOptions(Map<String, List<String>>)",3,20,22
"com.mongodb.ConnectionString.urldecode(String)",1,1,1
"com.mongodb.ConnectionString.urldecode(String,boolean)",2,3,3
"com.mongodb.ConnectionString.validatePort(String,String)",2,2,5
"com.mongodb.ConnectionString.warnOnUnsupportedOptions(Map<String, List<String>>)",1,4,4
"com.mongodb.DB.DB(Mongo,String)",1,1,1
"com.mongodb.DB.DB(Mongo,String,OperationExecutor)",1,1,1
"com.mongodb.DB.addOption(int)",1,1,1
"com.mongodb.DB.addUser(String,char[])",1,1,1
"com.mongodb.DB.addUser(String,char[],boolean)",3,4,5
"com.mongodb.DB.collectionExists(String)",3,2,3
"com.mongodb.DB.command(DBObject)",1,1,1
"com.mongodb.DB.command(DBObject,DBEncoder)",1,1,1
"com.mongodb.DB.command(DBObject,ReadPreference)",1,1,1
"com.mongodb.DB.command(DBObject,ReadPreference,DBEncoder)",1,2,2
"com.mongodb.DB.command(String)",1,1,1
"com.mongodb.DB.command(String,ReadPreference)",1,1,1
"com.mongodb.DB.createCollection(String,DBObject)",2,3,3
"com.mongodb.DB.createView(String,String,List<? extends DBObject>)",1,1,1
"com.mongodb.DB.createView(String,String,List<? extends DBObject>,DBCreateViewOptions)",1,2,2
"com.mongodb.DB.doEval(String,Object...)",1,1,1
"com.mongodb.DB.doGetCollection(String)",1,1,1
"com.mongodb.DB.dropDatabase()",1,2,2
"com.mongodb.DB.eval(String,Object...)",1,1,1
"com.mongodb.DB.executeCommand(BsonDocument)",1,1,1
"com.mongodb.DB.executeCommand(BsonDocument,ReadPreference)",1,1,1
"com.mongodb.DB.getBufferPool()",1,1,1
"com.mongodb.DB.getCollection(String)",2,3,5
"com.mongodb.DB.getCollectionFromString(String)",1,1,1
"com.mongodb.DB.getCollectionNames()",1,1,1
"com.mongodb.DB.getCommandReadPreference(DBObject,ReadPreference)",3,3,3
"com.mongodb.DB.getCreateCollectionOperation(String,DBObject)",10,20,29
"com.mongodb.DB.getExecutor()",1,1,1
"com.mongodb.DB.getMongo()",1,1,1
"com.mongodb.DB.getName()",1,1,1
"com.mongodb.DB.getOptionHolder()",1,1,1
"com.mongodb.DB.getOptions()",1,1,1
"com.mongodb.DB.getReadConcern()",1,2,2
"com.mongodb.DB.getReadPreference()",1,2,2
"com.mongodb.DB.getSisterDB(String)",1,1,1
"com.mongodb.DB.getStats()",1,1,1
"com.mongodb.DB.getWriteConcern()",1,2,2
"com.mongodb.DB.removeUser(String)",1,2,2
"com.mongodb.DB.resetOptions()",1,1,1
"com.mongodb.DB.setOptions(int)",1,1,1
"com.mongodb.DB.setReadConcern(ReadConcern)",1,1,1
"com.mongodb.DB.setReadPreference(ReadPreference)",1,1,1
"com.mongodb.DB.setWriteConcern(WriteConcern)",1,1,1
"com.mongodb.DB.slaveOk()",1,1,1
"com.mongodb.DB.toString()",1,1,1
"com.mongodb.DB.wrap(DBObject)",1,1,1
"com.mongodb.DB.wrap(DBObject,DBEncoder)",2,2,2
"com.mongodb.DBAddress.DBAddress(DBAddress,String)",1,1,1
"com.mongodb.DBAddress.DBAddress(InetAddress,int,String)",1,1,1
"com.mongodb.DBAddress.DBAddress(String)",1,1,1
"com.mongodb.DBAddress.DBAddress(String,String)",1,1,1
"com.mongodb.DBAddress.DBAddress(String,int,String)",1,1,1
"com.mongodb.DBAddress._check(String,String)",3,1,3
"com.mongodb.DBAddress._fixName(String)",1,1,1
"com.mongodb.DBAddress._getDBSection(String)",3,2,3
"com.mongodb.DBAddress._getHostSection(String)",3,2,3
"com.mongodb.DBAddress.equals(Object)",3,5,5
"com.mongodb.DBAddress.getDBName()",1,1,1
"com.mongodb.DBAddress.getSister(String)",1,1,1
"com.mongodb.DBAddress.hashCode()",1,1,1
"com.mongodb.DBAddress.toString()",1,1,1
"com.mongodb.DBCollection.DBCollection(DB,String)",1,1,1
"com.mongodb.DBCollection.DBCollection(String,DB,OperationExecutor)",1,1,1
"com.mongodb.DBCollection.addOption(int)",1,1,1
"com.mongodb.DBCollection.aggregate(DBObject,DBObject...)",1,1,1
"com.mongodb.DBCollection.aggregate(List<? extends DBObject>)",1,1,1
"com.mongodb.DBCollection.aggregate(List<? extends DBObject>,AggregationOptions)",1,1,1
"com.mongodb.DBCollection.aggregate(List<? extends DBObject>,AggregationOptions,ReadPreference)",1,1,1
"com.mongodb.DBCollection.aggregate(List<? extends DBObject>,AggregationOptions,ReadPreference,boolean)",4,4,5
"com.mongodb.DBCollection.aggregate(List<? extends DBObject>,ReadPreference)",2,3,3
"com.mongodb.DBCollection.convertOptionsToType(DBObject,String,Class<T>)",1,1,1
"com.mongodb.DBCollection.convertToType(Class<T>,Object,String)",2,10,11
"com.mongodb.DBCollection.count()",1,1,1
"com.mongodb.DBCollection.count(DBObject)",1,1,1
"com.mongodb.DBCollection.count(DBObject,DBCollectionCountOptions)",1,1,1
"com.mongodb.DBCollection.count(DBObject,ReadPreference)",1,1,1
"com.mongodb.DBCollection.createIndex(DBObject)",1,1,1
"com.mongodb.DBCollection.createIndex(DBObject,DBObject)",1,2,2
"com.mongodb.DBCollection.createIndex(DBObject,String)",1,1,1
"com.mongodb.DBCollection.createIndex(DBObject,String,boolean)",1,4,4
"com.mongodb.DBCollection.createIndex(String)",1,1,1
"com.mongodb.DBCollection.createIndexOperation(DBObject,DBObject)",1,20,20
"com.mongodb.DBCollection.createWriteConcernException(MongoWriteConcernException)",1,1,1
"com.mongodb.DBCollection.distinct(String)",1,1,1
"com.mongodb.DBCollection.distinct(String,DBCollectionDistinctOptions)",2,3,4
"com.mongodb.DBCollection.distinct(String,DBObject)",1,1,1
"com.mongodb.DBCollection.distinct(String,DBObject,ReadPreference)",1,1,1
"com.mongodb.DBCollection.distinct(String,ReadPreference)",1,1,1
"com.mongodb.DBCollection.drop()",1,2,2
"com.mongodb.DBCollection.dropIndex(DBObject)",1,1,1
"com.mongodb.DBCollection.dropIndex(String)",1,2,2
"com.mongodb.DBCollection.dropIndexes()",1,1,1
"com.mongodb.DBCollection.dropIndexes(String)",1,1,1
"com.mongodb.DBCollection.executeBulkWriteOperation(boolean,Boolean,List<WriteRequest>)",1,1,1
"com.mongodb.DBCollection.executeBulkWriteOperation(boolean,Boolean,List<WriteRequest>,WriteConcern)",1,2,2
"com.mongodb.DBCollection.executeWriteOperation(BaseWriteOperation)",1,1,1
"com.mongodb.DBCollection.explainAggregate(List<? extends DBObject>,AggregationOptions)",1,1,1
"com.mongodb.DBCollection.find()",1,1,1
"com.mongodb.DBCollection.find(DBObject)",1,1,1
"com.mongodb.DBCollection.find(DBObject,DBCollectionFindOptions)",1,1,1
"com.mongodb.DBCollection.find(DBObject,DBObject)",1,1,1
"com.mongodb.DBCollection.find(DBObject,DBObject,int,int)",1,1,1
"com.mongodb.DBCollection.find(DBObject,DBObject,int,int,int)",1,1,1
"com.mongodb.DBCollection.findAndModify(DBObject,DBCollectionFindAndModifyOptions)",1,6,6
"com.mongodb.DBCollection.findAndModify(DBObject,DBObject)",1,1,1
"com.mongodb.DBCollection.findAndModify(DBObject,DBObject,DBObject)",1,1,1
"com.mongodb.DBCollection.findAndModify(DBObject,DBObject,DBObject,boolean,DBObject,boolean,boolean)",1,1,1
"com.mongodb.DBCollection.findAndModify(DBObject,DBObject,DBObject,boolean,DBObject,boolean,boolean,WriteConcern)",1,1,1
"com.mongodb.DBCollection.findAndModify(DBObject,DBObject,DBObject,boolean,DBObject,boolean,boolean,boolean,long,TimeUnit)",1,1,1
"com.mongodb.DBCollection.findAndModify(DBObject,DBObject,DBObject,boolean,DBObject,boolean,boolean,boolean,long,TimeUnit,WriteConcern)",1,1,2
"com.mongodb.DBCollection.findAndModify(DBObject,DBObject,DBObject,boolean,DBObject,boolean,boolean,long,TimeUnit)",1,1,1
"com.mongodb.DBCollection.findAndModify(DBObject,DBObject,DBObject,boolean,DBObject,boolean,boolean,long,TimeUnit,WriteConcern)",1,1,2
"com.mongodb.DBCollection.findAndRemove(DBObject)",1,1,1
"com.mongodb.DBCollection.findOne()",1,1,1
"com.mongodb.DBCollection.findOne(DBObject)",1,1,1
"com.mongodb.DBCollection.findOne(DBObject,DBCollectionFindOptions)",1,1,1
"com.mongodb.DBCollection.findOne(DBObject,DBObject)",1,1,1
"com.mongodb.DBCollection.findOne(DBObject,DBObject,DBObject)",1,1,1
"com.mongodb.DBCollection.findOne(DBObject,DBObject,DBObject,ReadPreference)",1,1,2
"com.mongodb.DBCollection.findOne(DBObject,DBObject,ReadPreference)",1,1,1
"com.mongodb.DBCollection.findOne(Object)",1,1,1
