,CBO,DIT,LCOM,LongMethod,NOC,RFC,WMC,ev(G),instance,iv(G),project_id,v(G)
24,5.0,1.0,1.0,0.0,1.0,10.0,7.0,2.0,org.apache.tools.ant.NoBannerLogger,4.0,108,5.0
25,3.0,0.0,1.0,0.0,0.0,4.0,15.0,2.0,org.apache.tools.ant.PathTokenizer,17.0,108,19.0
26,585.0,0.0,30.0,0.0,1.0,209.0,217.0,8.0,org.apache.tools.ant.Project,7.0,108,14.0
27,323.0,0.0,3.0,0.0,34.0,11.0,12.0,1.0,org.apache.tools.ant.ProjectComponent,3.0,108,3.0
28,48.0,0.0,22.0,0.0,4.0,54.0,52.0,5.0,org.apache.tools.ant.ProjectHelper,7.0,108,9.0
29,11.0,0.0,3.0,0.0,0.0,16.0,30.0,3.0,org.apache.tools.ant.ProjectHelperRepository,6.0,108,6.0
30,32.0,0.0,2.0,0.0,0.0,60.0,109.0,5.0,org.apache.tools.ant.PropertyHelper,7.0,108,11.0
31,30.0,0.0,3.0,0.0,0.0,55.0,75.0,11.0,org.apache.tools.ant.RuntimeConfigurable,14.0,108,18.0
32,44.0,0.0,2.0,0.0,1.0,44.0,52.0,6.0,org.apache.tools.ant.Target,7.0,108,8.0
33,263.0,1.0,6.0,0.0,145.0,55.0,40.0,2.0,org.apache.tools.ant.Task,5.0,108,6.0
34,12.0,2.0,1.0,0.0,0.0,12.0,11.0,2.0,org.apache.tools.ant.TaskAdapter,6.0,108,9.0
35,3.0,0.0,1.0,0.0,0.0,6.0,7.0,2.0,org.apache.tools.ant.TaskConfigurationChecker,3.0,108,3.0
36,35.0,2.0,1.0,0.0,0.0,93.0,90.0,13.0,org.apache.tools.ant.UnknownElement,8.0,108,15.0
37,4.0,1.0,1.0,0.0,0.0,3.0,2.0,1.0,org.apache.tools.ant.UnsupportedAttributeException,1.0,108,1.0
38,3.0,1.0,1.0,0.0,0.0,3.0,2.0,1.0,org.apache.tools.ant.UnsupportedElementException,1.0,108,1.0
39,15.0,0.0,4.0,0.0,0.0,35.0,46.0,5.0,org.apache.tools.ant.XmlLogger,6.0,108,12.0
40,4.0,1.0,2.0,0.0,0.0,8.0,7.0,1.0,org.apache.tools.ant.attribute.BaseIfAttribute,3.0,108,3.0
41,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,org.apache.tools.ant.attribute.IfBlankAttribute,2.0,108,2.0
42,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,org.apache.tools.ant.attribute.IfSetAttribute,1.0,108,1.0
43,3.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,org.apache.tools.ant.attribute.IfTrueAttribute,1.0,108,1.0
44,3.0,2.0,2.0,0.0,2.0,3.0,3.0,1.0,org.apache.tools.ant.dispatch.DispatchTask,1.0,108,1.0
45,5.0,0.0,1.0,0.0,0.0,5.0,15.0,9.0,org.apache.tools.ant.dispatch.DispatchUtils,17.0,108,23.0
46,3.0,0.0,5.0,0.0,0.0,11.0,19.0,4.0,org.apache.tools.ant.filters.BaseFilterReader,2.0,108,4.0
47,2.0,0.0,1.0,0.0,0.0,4.0,4.0,1.0,org.apache.tools.ant.filters.BaseParamFilterReader,1.0,108,1.0
48,3.0,0.0,2.0,0.0,0.0,5.0,12.0,7.0,org.apache.tools.ant.filters.ClassConstants,8.0,108,15.0
49,2.0,0.0,1.0,0.0,0.0,11.0,24.0,5.0,org.apache.tools.ant.filters.ConcatFilter,9.0,108,9.0
50,2.0,0.0,2.0,0.0,0.0,6.0,9.0,1.0,org.apache.tools.ant.filters.EscapeUnicode,5.0,108,5.0
51,8.0,0.0,1.0,0.0,0.0,11.0,12.0,3.0,org.apache.tools.ant.filters.ExpandProperties,5.0,108,6.0
52,12.0,0.0,1.0,0.0,0.0,29.0,30.0,9.0,org.apache.tools.ant.filters.FixCrLfFilter,10.0,108,29.0
53,4.0,0.0,1.0,0.0,0.0,14.0,23.0,5.0,org.apache.tools.ant.filters.HeadFilter,5.0,108,7.0
54,5.0,0.0,1.0,0.0,0.0,14.0,21.0,5.0,org.apache.tools.ant.filters.LineContains,7.0,108,9.0
55,8.0,0.0,1.0,0.0,0.0,19.0,23.0,5.0,org.apache.tools.ant.filters.LineContainsRegExp,7.0,108,9.0
56,3.0,0.0,1.0,0.0,0.0,9.0,16.0,4.0,org.apache.tools.ant.filters.PrefixLines,5.0,108,8.0
57,6.0,0.0,1.0,0.0,0.0,24.0,37.0,9.0,org.apache.tools.ant.filters.ReplaceTokens,12.0,108,13.0
58,3.0,0.0,1.0,0.0,0.0,14.0,26.0,5.0,org.apache.tools.ant.filters.SortFilter,8.0,108,10.0
59,1.0,1.0,0.0,0.0,0.0,4.0,2.0,1.0,org.apache.tools.ant.filters.StringInputStream,1.0,108,1.0
60,1.0,0.0,2.0,0.0,0.0,4.0,16.0,11.0,org.apache.tools.ant.filters.StripJavaComments,13.0,108,16.0
61,3.0,0.0,1.0,0.0,0.0,9.0,14.0,4.0,org.apache.tools.ant.filters.StripLineBreaks,4.0,108,5.0
62,4.0,0.0,1.0,0.0,0.0,11.0,19.0,7.0,org.apache.tools.ant.filters.StripLineComments,8.0,108,9.0
63,3.0,0.0,1.0,0.0,0.0,9.0,18.0,4.0,org.apache.tools.ant.filters.SuffixLines,7.0,108,10.0
64,3.0,0.0,1.0,0.0,0.0,9.0,14.0,5.0,org.apache.tools.ant.filters.TabsToSpaces,5.0,108,5.0
65,4.0,0.0,1.0,0.0,0.0,14.0,29.0,6.0,org.apache.tools.ant.filters.TailFilter,11.0,108,12.0
66,17.0,0.0,5.0,0.0,0.0,25.0,29.0,5.0,org.apache.tools.ant.filters.TokenFilter,7.0,108,11.0
67,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,org.apache.tools.ant.filters.UniqFilter,2.0,108,3.0
68,20.0,0.0,2.0,0.0,0.0,22.0,32.0,7.0,org.apache.tools.ant.filters.util.ChainReaderHelper,10.0,108,14.0
69,1.0,0.0,1.0,0.0,0.0,1.0,5.0,1.0,org.apache.tools.ant.filters.util.JavaClassHelper,6.0,108,6.0
70,6.0,0.0,9.0,0.0,0.0,39.0,40.0,2.0,org.apache.tools.ant.helper.AntXMLContext,2.0,108,3.0
71,4.0,0.0,2.0,0.0,0.0,4.0,5.0,4.0,org.apache.tools.ant.helper.DefaultExecutor,3.0,108,5.0
72,5.0,0.0,2.0,0.0,0.0,6.0,6.0,5.0,org.apache.tools.ant.helper.IgnoreDependenciesExecutor,3.0,108,6.0
73,23.0,1.0,4.0,1.0,0.0,41.0,33.0,17.0,org.apache.tools.ant.helper.ProjectHelper2,31.0,108,38.0
74,16.0,1.0,1.0,0.0,0.0,24.0,11.0,10.0,org.apache.tools.ant.helper.ProjectHelperImpl,13.0,108,13.0
75,3.0,0.0,2.0,0.0,0.0,5.0,2.0,1.0,org.apache.tools.ant.helper.SingleCheckExecutor,1.0,108,1.0
76,6.0,0.0,1.0,0.0,2.0,5.0,12.0,3.0,org.apache.tools.ant.input.DefaultInputHandler,6.0,108,7.0
77,4.0,0.0,1.0,0.0,0.0,6.0,4.0,3.0,org.apache.tools.ant.input.GreedyInputHandler,3.0,108,5.0
78,1.0,0.0,4.0,0.0,0.0,7.0,8.0,2.0,org.apache.tools.ant.input.InputRequest,1.0,108,2.0
79,1.0,0.0,1.0,0.0,0.0,3.0,4.0,2.0,org.apache.tools.ant.input.MultipleChoiceInputRequest,3.0,108,3.0
80,5.0,0.0,1.0,0.0,0.0,4.0,7.0,3.0,org.apache.tools.ant.input.PropertyFileInputHandler,3.0,108,4.0
81,3.0,0.0,1.0,0.0,0.0,4.0,3.0,1.0,org.apache.tools.ant.input.SecureInputHandler,3.0,108,3.0
82,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,org.apache.tools.ant.launch.LaunchException,1.0,108,1.0
83,4.0,0.0,1.0,0.0,0.0,10.0,46.0,13.0,org.apache.tools.ant.launch.Launcher,21.0,108,27.0
84,6.0,0.0,2.0,0.0,0.0,12.0,53.0,7.0,org.apache.tools.ant.launch.Locator,11.0,108,15.0
85,2.0,1.0,1.0,0.0,0.0,2.0,17.0,2.0,org.apache.tools.ant.listener.AnsiColorLogger,4.0,108,11.0
86,4.0,0.0,3.0,0.0,0.0,16.0,18.0,1.0,org.apache.tools.ant.listener.BigProjectLogger,3.0,108,3.0
87,7.0,0.0,3.0,0.0,0.0,24.0,44.0,2.0,org.apache.tools.ant.listener.CommonsLoggingListener,5.0,108,10.0
88,5.0,0.0,1.0,0.0,0.0,16.0,27.0,2.0,org.apache.tools.ant.listener.Log4jListener,5.0,108,10.0
89,15.0,1.0,1.0,0.0,0.0,74.0,23.0,2.0,org.apache.tools.ant.listener.MailLogger,8.0,108,12.0
90,5.0,1.0,1.0,0.0,0.0,13.0,7.0,1.0,org.apache.tools.ant.listener.ProfileLogger,2.0,108,2.0
91,3.0,1.0,6.0,0.0,0.0,8.0,7.0,1.0,org.apache.tools.ant.listener.SilentLogger,2.0,108,2.0
92,3.0,2.0,1.0,0.0,0.0,3.0,2.0,2.0,org.apache.tools.ant.listener.SimpleBigProjectLogger,1.0,108,3.0
93,1.0,1.0,1.0,0.0,0.0,5.0,2.0,1.0,org.apache.tools.ant.listener.TimestampedLogger,1.0,108,1.0
94,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,org.apache.tools.ant.loader.AntClassLoader2,1.0,108,1.0
95,3.0,1.0,2.0,0.0,0.0,6.0,3.0,1.0,org.apache.tools.ant.loader.AntClassLoader5,1.0,108,1.0
96,10.0,0.0,2.0,0.0,0.0,15.0,12.0,1.0,org.apache.tools.ant.property.LocalProperties,2.0,108,2.0
97,1.0,0.0,1.0,0.0,0.0,8.0,16.0,3.0,org.apache.tools.ant.property.LocalPropertyStack,2.0,108,3.0
98,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,org.apache.tools.ant.property.NullReturn,1.0,108,1.0
99,3.0,0.0,1.0,0.0,0.0,8.0,21.0,4.0,org.apache.tools.ant.property.ParseProperties,6.0,108,8.0
100,4.0,0.0,1.0,0.0,0.0,6.0,11.0,3.0,org.apache.tools.ant.property.ResolvePropertyMap,3.0,108,9.0
101,20.0,2.0,1.0,1.0,4.0,79.0,90.0,5.0,org.apache.tools.ant.taskdefs.AbstractCvsTask,18.0,108,20.0
102,20.0,2.0,4.0,0.0,2.0,56.0,39.0,1.0,org.apache.tools.ant.taskdefs.AbstractJarSignerTask,5.0,108,5.0
103,21.0,2.0,1.0,1.0,0.0,93.0,84.0,8.0,org.apache.tools.ant.taskdefs.Ant,27.0,108,31.0
104,6.0,2.0,3.0,0.0,0.0,19.0,10.0,5.0,org.apache.tools.ant.taskdefs.AntStructure,32.0,108,35.0
105,12.0,2.0,2.0,0.0,0.0,29.0,14.0,4.0,org.apache.tools.ant.taskdefs.Antlib,4.0,108,6.0
106,11.0,2.0,2.0,0.0,4.0,5.0,6.0,2.0,org.apache.tools.ant.taskdefs.AntlibDefinition,1.0,108,3.0
107,11.0,4.0,9.0,0.0,0.0,32.0,21.0,2.0,org.apache.tools.ant.taskdefs.Apt,2.0,108,2.0
108,6.0,3.0,1.0,0.0,0.0,11.0,1.0,1.0,org.apache.tools.ant.taskdefs.AttributeNamespaceDef,1.0,108,1.0
109,5.0,2.0,3.0,0.0,0.0,16.0,11.0,3.0,org.apache.tools.ant.taskdefs.AugmentReference,3.0,108,3.0
110,15.0,2.0,1.0,0.0,0.0,48.0,62.0,14.0,org.apache.tools.ant.taskdefs.Available,21.0,108,23.0
111,8.0,3.0,3.0,0.0,0.0,11.0,7.0,4.0,org.apache.tools.ant.taskdefs.BUnzip2,6.0,108,6.0
112,5.0,3.0,2.0,0.0,0.0,7.0,2.0,1.0,org.apache.tools.ant.taskdefs.BZip2,2.0,108,2.0
113,4.0,2.0,1.0,0.0,0.0,8.0,8.0,3.0,org.apache.tools.ant.taskdefs.Basename,7.0,108,8.0
114,8.0,2.0,1.0,0.0,0.0,15.0,11.0,3.0,org.apache.tools.ant.taskdefs.BindTargets,4.0,108,6.0
115,5.0,2.0,1.0,0.0,0.0,13.0,11.0,4.0,org.apache.tools.ant.taskdefs.BuildNumber,3.0,108,6.0
116,5.0,2.0,1.0,0.0,0.0,8.0,13.0,3.0,org.apache.tools.ant.taskdefs.CVSPass,5.0,108,9.0
117,9.0,2.0,1.0,0.0,0.0,39.0,26.0,2.0,org.apache.tools.ant.taskdefs.CallTarget,3.0,108,3.0
118,17.0,3.0,1.0,1.0,0.0,41.0,76.0,15.0,org.apache.tools.ant.taskdefs.Checksum,19.0,108,37.0
119,17.0,3.0,1.0,1.0,0.0,41.0,76.0,15.0,org.apache.tools.ant.taskdefs.Checksum,19.0,108,37.0
120,14.0,4.0,6.0,0.0,0.0,53.0,24.0,3.0,org.apache.tools.ant.taskdefs.Chmod,7.0,108,7.0
121,9.0,2.0,1.0,0.0,0.0,25.0,25.0,3.0,org.apache.tools.ant.taskdefs.Classloader,13.0,108,19.0
122,7.0,2.0,1.0,0.0,0.0,6.0,4.0,1.0,org.apache.tools.ant.taskdefs.CloseResources,3.0,108,4.0
123,4.0,2.0,1.0,0.0,0.0,7.0,6.0,2.0,org.apache.tools.ant.taskdefs.CommandLauncherTask,3.0,108,3.0
124,1.0,5.0,0.0,0.0,0.0,2.0,1.0,1.0,org.apache.tools.ant.taskdefs.Componentdef,1.0,108,1.0
125,31.0,2.0,4.0,0.0,0.0,61.0,65.0,10.0,org.apache.tools.ant.taskdefs.Concat,8.0,108,15.0
126,7.0,2.0,1.0,0.0,0.0,17.0,12.0,4.0,org.apache.tools.ant.taskdefs.ConditionTask,5.0,108,6.0
127,29.0,2.0,1.0,1.0,2.0,92.0,150.0,12.0,org.apache.tools.ant.taskdefs.Copy,37.0,108,39.0
128,9.0,2.0,2.0,0.0,0.0,23.0,20.0,6.0,org.apache.tools.ant.taskdefs.CopyPath,8.0,108,9.0
129,7.0,3.0,1.0,0.0,0.0,16.0,17.0,6.0,org.apache.tools.ant.taskdefs.Copydir,8.0,108,9.0
130,4.0,2.0,1.0,0.0,0.0,13.0,10.0,5.0,org.apache.tools.ant.taskdefs.Copyfile,8.0,108,8.0
131,2.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,org.apache.tools.ant.taskdefs.Cvs,1.0,108,1.0
132,13.0,3.0,2.0,0.0,3.0,27.0,16.0,2.0,org.apache.tools.ant.taskdefs.DefBase,4.0,108,4.0
133,6.0,2.0,1.0,0.0,0.0,10.0,11.0,2.0,org.apache.tools.ant.taskdefs.DefaultExcludes,9.0,108,10.0
134,19.0,4.0,1.0,1.0,2.0,55.0,65.0,11.0,org.apache.tools.ant.taskdefs.Definer,11.0,108,13.0
135,50.0,3.0,1.0,1.0,1.0,110.0,117.0,9.0,org.apache.tools.ant.taskdefs.Delete,41.0,108,52.0
136,4.0,2.0,1.0,0.0,0.0,6.0,11.0,5.0,org.apache.tools.ant.taskdefs.Deltree,6.0,108,6.0
137,25.0,3.0,1.0,0.0,0.0,43.0,31.0,3.0,org.apache.tools.ant.taskdefs.DependSet,6.0,108,8.0
138,3.0,2.0,1.0,0.0,0.0,2.0,1.0,1.0,org.apache.tools.ant.taskdefs.DiagnosticsTask,1.0,108,1.0
139,4.0,2.0,1.0,0.0,0.0,7.0,5.0,3.0,org.apache.tools.ant.taskdefs.Dirname,3.0,108,3.0
140,10.0,5.0,3.0,0.0,0.0,24.0,11.0,2.0,org.apache.tools.ant.taskdefs.Ear,5.0,108,5.0
141,18.0,2.0,1.0,0.0,0.0,20.0,15.0,2.0,org.apache.tools.ant.taskdefs.Echo,2.0,108,5.0
142,7.0,2.0,1.0,0.0,0.0,11.0,6.0,4.0,org.apache.tools.ant.taskdefs.EchoXML,3.0,108,5.0
143,6.0,2.0,1.0,0.0,0.0,19.0,22.0,9.0,org.apache.tools.ant.taskdefs.Exec,13.0,108,14.0
144,29.0,2.0,1.0,0.0,1.0,96.0,83.0,12.0,org.apache.tools.ant.taskdefs.ExecTask,13.0,108,14.0
145,65.0,0.0,2.0,0.0,1.0,57.0,80.0,7.0,org.apache.tools.ant.taskdefs.Execute,9.0,108,12.0
146,25.0,0.0,2.0,1.0,0.0,57.0,30.0,4.0,org.apache.tools.ant.taskdefs.ExecuteJava,7.0,108,16.0
147,34.0,3.0,1.0,0.0,4.0,83.0,97.0,9.0,org.apache.tools.ant.taskdefs.ExecuteOn,31.0,108,39.0
148,10.0,0.0,1.0,0.0,0.0,13.0,13.0,3.0,org.apache.tools.ant.taskdefs.ExecuteWatchdog,3.0,108,4.0
149,8.0,2.0,1.0,0.0,0.0,22.0,25.0,2.0,org.apache.tools.ant.taskdefs.Exit,11.0,108,16.0
150,21.0,2.0,1.0,1.0,1.0,55.0,58.0,10.0,org.apache.tools.ant.taskdefs.Expand,24.0,108,30.0
151,5.0,2.0,1.0,0.0,0.0,12.0,8.0,2.0,org.apache.tools.ant.taskdefs.Filter,4.0,108,9.0
152,19.0,3.0,1.0,0.0,0.0,46.0,38.0,9.0,org.apache.tools.ant.taskdefs.FixCRLF,11.0,108,20.0
153,7.0,3.0,3.0,0.0,0.0,8.0,5.0,2.0,org.apache.tools.ant.taskdefs.GUnzip,4.0,108,4.0
154,4.0,3.0,2.0,0.0,0.0,6.0,2.0,1.0,org.apache.tools.ant.taskdefs.GZip,2.0,108,2.0
155,6.0,2.0,1.0,0.0,0.0,24.0,30.0,4.0,org.apache.tools.ant.taskdefs.GenerateKey,12.0,108,16.0
156,20.0,2.0,6.0,0.0,0.0,45.0,50.0,8.0,org.apache.tools.ant.taskdefs.Get,13.0,108,17.0
157,4.0,2.0,1.0,0.0,0.0,13.0,32.0,1.0,org.apache.tools.ant.taskdefs.HostInfo,12.0,108,15.0
158,17.0,2.0,1.0,0.0,0.0,49.0,40.0,7.0,org.apache.tools.ant.taskdefs.ImportTask,10.0,108,11.0
159,10.0,2.0,1.0,0.0,0.0,23.0,15.0,4.0,org.apache.tools.ant.taskdefs.Input,8.0,108,10.0
160,10.0,2.0,1.0,0.0,1.0,38.0,44.0,6.0,org.apache.tools.ant.taskdefs.JDBCTask,9.0,108,11.0
161,31.0,4.0,3.0,0.0,2.0,90.0,123.0,7.0,org.apache.tools.ant.taskdefs.Jar,11.0,108,13.0
162,36.0,2.0,1.0,0.0,0.0,160.0,106.0,5.0,org.apache.tools.ant.taskdefs.Java,16.0,108,21.0
163,24.0,3.0,20.0,0.0,2.0,125.0,150.0,7.0,org.apache.tools.ant.taskdefs.Javac,17.0,108,20.0
164,39.0,2.0,1.0,1.0,0.0,223.0,242.0,8.0,org.apache.tools.ant.taskdefs.Javadoc,16.0,108,18.0
165,39.0,2.0,1.0,1.0,0.0,223.0,242.0,8.0,org.apache.tools.ant.taskdefs.Javadoc,16.0,108,18.0
166,6.0,0.0,1.0,0.0,0.0,10.0,6.0,2.0,org.apache.tools.ant.taskdefs.Jikes,6.0,108,8.0
167,4.0,0.0,4.0,0.0,0.0,13.0,22.0,3.0,org.apache.tools.ant.taskdefs.JikesOutputParser,5.0,108,6.0
168,3.0,2.0,1.0,0.0,0.0,8.0,14.0,2.0,org.apache.tools.ant.taskdefs.KeySubst,5.0,108,6.0
169,20.0,2.0,1.0,0.0,0.0,35.0,36.0,7.0,org.apache.tools.ant.taskdefs.Length,5.0,108,8.0
170,2.0,3.0,1.0,0.0,0.0,3.0,1.0,1.0,org.apache.tools.ant.taskdefs.LoadFile,1.0,108,1.0
171,16.0,2.0,1.0,0.0,0.0,40.0,23.0,4.0,org.apache.tools.ant.taskdefs.LoadProperties,6.0,108,9.0
172,10.0,2.0,1.0,1.0,1.0,25.0,26.0,8.0,org.apache.tools.ant.taskdefs.LoadResource,12.0,108,21.0
173,4.0,2.0,1.0,0.0,0.0,6.0,3.0,2.0,org.apache.tools.ant.taskdefs.Local,1.0,108,2.0
174,22.0,1.0,2.0,0.0,2.0,9.0,7.0,1.0,org.apache.tools.ant.taskdefs.LogOutputStream,1.0,108,2.0
175,18.0,1.0,1.0,0.0,0.0,8.0,3.0,1.0,org.apache.tools.ant.taskdefs.LogStreamHandler,1.0,108,2.0
176,17.0,3.0,5.0,0.0,0.0,46.0,54.0,16.0,org.apache.tools.ant.taskdefs.MacroDef,9.0,108,22.0
177,15.0,2.0,2.0,0.0,0.0,66.0,61.0,9.0,org.apache.tools.ant.taskdefs.MacroInstance,16.0,108,19.0
178,11.0,2.0,1.0,0.0,0.0,24.0,28.0,3.0,org.apache.tools.ant.taskdefs.MakeUrl,3.0,108,6.0
179,10.0,0.0,1.0,0.0,0.0,41.0,47.0,7.0,org.apache.tools.ant.taskdefs.Manifest,14.0,108,15.0
180,8.0,2.0,1.0,0.0,0.0,14.0,17.0,7.0,org.apache.tools.ant.taskdefs.ManifestClassPath,7.0,108,15.0
181,7.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,org.apache.tools.ant.taskdefs.ManifestException,1.0,108,1.0
182,12.0,2.0,1.0,0.0,0.0,28.0,23.0,7.0,org.apache.tools.ant.taskdefs.ManifestTask,11.0,108,15.0
183,54.0,2.0,1.0,0.0,22.0,84.0,46.0,1.0,org.apache.tools.ant.taskdefs.MatchingTask,6.0,108,6.0
184,4.0,2.0,1.0,0.0,0.0,9.0,10.0,6.0,org.apache.tools.ant.taskdefs.Mkdir,6.0,108,6.0
185,14.0,3.0,1.0,1.0,0.0,43.0,55.0,12.0,org.apache.tools.ant.taskdefs.Move,21.0,108,25.0
186,4.0,2.0,1.0,0.0,0.0,7.0,6.0,2.0,org.apache.tools.ant.taskdefs.Nice,5.0,108,6.0
187,10.0,2.0,2.0,0.0,2.0,28.0,23.0,4.0,org.apache.tools.ant.taskdefs.Pack,4.0,108,4.0
188,10.0,2.0,2.0,1.0,0.0,21.0,46.0,13.0,org.apache.tools.ant.taskdefs.Parallel,20.0,108,28.0
189,8.0,2.0,1.0,0.0,0.0,31.0,25.0,7.0,org.apache.tools.ant.taskdefs.Patch,10.0,108,10.0
190,18.0,2.0,1.0,0.0,0.0,41.0,48.0,4.0,org.apache.tools.ant.taskdefs.PathConvert,12.0,108,16.0
191,11.0,3.0,1.0,0.0,0.0,15.0,8.0,4.0,org.apache.tools.ant.taskdefs.PreSetDef,5.0,108,5.0
192,3.0,0.0,1.0,0.0,0.0,9.0,16.0,1.0,org.apache.tools.ant.taskdefs.ProcessDestroyer,8.0,108,11.0
193,4.0,2.0,1.0,0.0,0.0,3.0,3.0,1.0,org.apache.tools.ant.taskdefs.ProjectHelperTask,2.0,108,2.0
194,17.0,2.0,1.0,0.0,0.0,66.0,82.0,10.0,org.apache.tools.ant.taskdefs.Property,17.0,108,27.0
195,8.0,2.0,1.0,0.0,0.0,13.0,14.0,3.0,org.apache.tools.ant.taskdefs.PropertyHelperTask,6.0,108,9.0
196,14.0,0.0,1.0,0.0,3.0,24.0,27.0,4.0,org.apache.tools.ant.taskdefs.PumpStreamHandler,8.0,108,12.0
197,11.0,2.0,9.0,0.0,0.0,35.0,28.0,2.0,org.apache.tools.ant.taskdefs.Recorder,3.0,108,4.0
198,10.0,0.0,2.0,0.0,0.0,36.0,44.0,2.0,org.apache.tools.ant.taskdefs.RecorderEntry,4.0,108,5.0
199,27.0,0.0,1.0,0.0,0.0,67.0,91.0,5.0,org.apache.tools.ant.taskdefs.Redirector,17.0,108,29.0
200,5.0,2.0,1.0,0.0,0.0,12.0,7.0,4.0,org.apache.tools.ant.taskdefs.Rename,5.0,108,6.0
201,19.0,3.0,2.0,0.0,0.0,71.0,60.0,7.0,org.apache.tools.ant.taskdefs.Replace,12.0,108,14.0
202,8.0,2.0,1.0,0.0,0.0,15.0,13.0,3.0,org.apache.tools.ant.taskdefs.ResourceCount,2.0,108,3.0
203,6.0,2.0,1.0,0.0,0.0,9.0,10.0,3.0,org.apache.tools.ant.taskdefs.Retry,5.0,108,7.0
204,24.0,3.0,9.0,0.0,0.0,94.0,91.0,6.0,org.apache.tools.ant.taskdefs.Rmic,17.0,108,18.0
205,22.0,3.0,2.0,1.0,0.0,72.0,119.0,7.0,org.apache.tools.ant.taskdefs.SQLExec,23.0,108,27.0
206,1.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0,org.apache.tools.ant.taskdefs.SendEmail,1.0,108,1.0
207,7.0,2.0,1.0,0.0,1.0,7.0,3.0,1.0,org.apache.tools.ant.taskdefs.Sequential,2.0,108,2.0
208,17.0,3.0,1.0,0.0,1.0,51.0,61.0,10.0,org.apache.tools.ant.taskdefs.SignJar,8.0,108,18.0
209,3.0,2.0,1.0,0.0,0.0,12.0,12.0,2.0,org.apache.tools.ant.taskdefs.Sleep,3.0,108,3.0
